Theme,quad,,,
Beach 1,"High Valence, High Arousal",,,
Cat 5,"High Valence, High Arousal",,,
Fireworks 6,"High Valence, High Arousal",,,
Lake 12,"High Valence, High Arousal",,,
Rainbow 2,"High Valence, High Arousal",,,
Rollercoaster 2,"High Valence, High Arousal",,,
Skydiving 1,"High Valence, High Arousal",,,
Tiger 1,"High Valence, High Arousal",,,
Acorns 3,"High Valence, Low Arousal",,,
Bark 3,"High Valence, Low Arousal",,,
Clean 1,"High Valence, Low Arousal",,,
Cold 2,"High Valence, Low Arousal",,,
Crow 1,"High Valence, Low Arousal",,,
Cups 3,"High Valence, Low Arousal",,,
Grass 1,"High Valence, Low Arousal",,,
Heart 3,"High Valence, Low Arousal",,,
Path 1,"High Valence, Low Arousal",,,
Pigeon 3,"High Valence, Low Arousal",,,
Pinecone 3,"High Valence, Low Arousal",,,
Pumpkin 1,"High Valence, Low Arousal",,,
Rocks 1,"High Valence, Low Arousal",,,
Snow 1,"High Valence, Low Arousal",,,
Solar panel 1,"High Valence, Low Arousal",,,
Statue 1,"High Valence, Low Arousal",,,
Street 4,"High Valence, Low Arousal",,,
Wedding 12,"High Valence, Low Arousal",,,
Destruction 2,"Low Valence, Low Arousal",,,
Garbage dump 1,"Low Valence, Low Arousal",,,
Jail 5,"Low Valence, Low Arousal",,,
Prison 2,"Low Valence, Low Arousal",,,
Sidewalk 6,"Low Valence, Low Arousal",,,
Toilet 4,"Low Valence, Low Arousal",,,
Windmill 1,"Low Valence, Low Arousal",,,
Yarn 1,"Low Valence, Low Arousal",,,
Cat 7,"Low Valence, High Arousal",,,
Cockroach 3,"Low Valence, High Arousal",,,
Dirt 1,"Low Valence, High Arousal",,,
Ferret 1,"Low Valence, High Arousal",,,
Fire 10,"Low Valence, High Arousal",,,
Flood 1,"Low Valence, High Arousal",,,
Garbage dump 2,"Low Valence, High Arousal",,,
Gargoyle 2,"Low Valence, High Arousal",,,
Monkey 4,"Low Valence, High Arousal",,,
Opossum 1,"Low Valence, High Arousal",,,
Snake 6,"Low Valence, High Arousal",,,
Thunderstorm 1,"Low Valence, High Arousal",,,
Tornado 4,"Low Valence, High Arousal",,,
Volcano 2,"Low Valence, High Arousal",,,
