song,song,second,valence_raw,arousal_raw,valence_filt,arousal_filt,euclidean_dist_mean
stimuli/10_pieceA_anxious_joy_calm,1,0.5,0.074529705,0.070134912,0.07460247,0.072933312,0.002437664
stimuli/10_pieceA_anxious_joy_calm,2,1,0.075282416,0.075478994,0.074481462,0.075367971,0.003840205
stimuli/10_pieceA_anxious_joy_calm,3,1.5,0.075077165,0.080685861,0.074298736,0.079203826,0.004825775
stimuli/10_pieceA_anxious_joy_calm,4,2,0.072522442,0.086036112,0.074068974,0.084024128,0.005444605
stimuli/10_pieceA_anxious_joy_calm,5,2.5,0.071797855,0.092040299,0.073805336,0.089462346,0.00574448
stimuli/10_pieceA_anxious_joy_calm,6,3,0.072644149,0.10034612,0.073519526,0.095199712,0.005770744
stimuli/10_pieceA_anxious_joy_calm,7,3.5,0.072307678,0.103067643,0.073221857,0.100962774,0.00556629
stimuli/10_pieceA_anxious_joy_calm,8,4,0.072842726,0.105837982,0.072921321,0.106520945,0.005171569
stimuli/10_pieceA_anxious_joy_calm,9,4.5,0.080964273,0.108864787,0.072625649,0.111684055,0.004624589
stimuli/10_pieceA_anxious_joy_calm,10,5,0.070503209,0.113351209,0.072341381,0.116299899,0.003960929
stimuli/10_pieceA_anxious_joy_calm,11,5.5,0.069920081,0.115643972,0.072073932,0.120251788,0.003213762
stimuli/10_pieceA_anxious_joy_calm,12,6,0.071869428,0.11860269,0.071827655,0.1234561,0.002413936
stimuli/10_pieceA_anxious_joy_calm,13,6.5,0.073550555,0.120339223,0.07160591,0.12585983,0.001590281
stimuli/10_pieceA_anxious_joy_calm,14,7,0.073368705,0.121873592,0.071411128,0.127438137,0.000771879
stimuli/10_pieceA_anxious_joy_calm,15,7.5,0.072374354,0.124362899,0.071244876,0.128191899,0.000144672
stimuli/10_pieceA_anxious_joy_calm,16,8,0.071814558,0.124742489,0.071107927,0.128145261,0.000809263
stimuli/10_pieceA_anxious_joy_calm,17,8.5,0.069034269,0.125959273,0.071000321,0.127343184,0.001496268
stimuli/10_pieceA_anxious_joy_calm,18,9,0.067245165,0.127286498,0.070921435,0.125848997,0.002107678
stimuli/10_pieceA_anxious_joy_calm,19,9.5,0.067882772,0.12799016,0.070870045,0.123741946,0.002627324
stimuli/10_pieceA_anxious_joy_calm,20,10,0.069108102,0.129621485,0.070844395,0.121114747,0.003043619
stimuli/10_pieceA_anxious_joy_calm,21,10.5,0.06904937,0.129918334,0.070842262,0.118071129,0.003347789
stimuli/10_pieceA_anxious_joy_calm,22,11,0.069613309,0.129980221,0.070861021,0.114723393,0.003533626
stimuli/10_pieceA_anxious_joy_calm,23,11.5,0.07036514,0.127353218,0.070897712,0.111189957,0.003597416
stimuli/10_pieceA_anxious_joy_calm,24,12,0.071291961,0.125777094,0.070949106,0.107592908,0.003537914
stimuli/10_pieceA_anxious_joy_calm,25,12.5,0.071588988,0.123565981,0.071011769,0.104055549,0.003356332
stimuli/10_pieceA_anxious_joy_calm,26,13,0.072782687,0.081958015,0.071082131,0.100699955,0.002054015
stimuli/10_pieceA_anxious_joy_calm,27,13.5,0.07437618,0.08085154,0.071157549,0.098647325,0.001559518
