"","song","song.1","second","valence_raw","arousal_raw","valence_filt","arousal_filt","euclidean_dist_mean","start_time"
"341","stimuli/11_pieceA_calm_anxious_sad",101,50.5,-0.042951009,0.000632788,-0.043473722,-0.000427471,0.000610887,NA
"342","stimuli/11_pieceA_calm_anxious_sad",102,51,-0.042995415,0.000426193,-0.04379527,-0.000946884,0.000541862,NA
"343","stimuli/11_pieceA_calm_anxious_sad",103,51.5,-0.043688814,7.99e-05,-0.044071316,-0.00141316,0.000522297,NA
"344","stimuli/11_pieceA_calm_anxious_sad",104,52,-0.043870681,7.26e-05,-0.044328588,-0.001867699,0.000495563,NA
"345","stimuli/11_pieceA_calm_anxious_sad",105,52.5,-0.044975057,-0.000857136,-0.044630726,-0.002260503,0.000414954,NA
"346","stimuli/11_pieceA_calm_anxious_sad",106,53,-0.045419805,-0.000858004,-0.044847499,-0.002614334,0.00042536,NA
"347","stimuli/11_pieceA_calm_anxious_sad",107,53.5,-0.044546358,0.000440049,-0.045002421,-0.003010478,0.000243642,NA
"348","stimuli/11_pieceA_calm_anxious_sad",108,54,-0.045545456,0.00057682,-0.045202471,-0.003149551,0.00023423,NA
"349","stimuli/11_pieceA_calm_anxious_sad",109,54.5,-0.046824901,7.27e-05,-0.045434849,-0.003120156,0.000368105,NA
"350","stimuli/11_pieceA_calm_anxious_sad",110,55,-0.047178226,-0.03963529,-0.045753396,-0.002935687,0.000401375,NA
"351","stimuli/11_pieceA_calm_anxious_sad",111,55.5,-0.046393415,0.000753527,-0.045971101,-0.002598483,0.000454292,NA
"352","stimuli/11_pieceA_calm_anxious_sad",112,56,-0.047148976,-0.000130527,-0.046161785,-0.002186147,0.000718896,NA
"353","stimuli/11_pieceA_calm_anxious_sad",113,56.5,-0.048161078,-0.001872692,-0.046316324,-0.001484058,0.000689993,NA
"354","stimuli/11_pieceA_calm_anxious_sad",114,57,-0.048353056,-0.002122524,-0.046400794,-0.000799255,0.000684464,NA
"355","stimuli/11_pieceA_calm_anxious_sad",115,57.5,-0.047796242,-0.001853486,-0.046391728,-0.000114851,0.000643531,NA
"371","stimuli/11_pieceA_calm_anxious_sad",131,65.5,-0.044645376,-0.002930726,-0.042723741,-0.00095699,0.001415354,NA
"372","stimuli/11_pieceA_calm_anxious_sad",132,66,-0.04020379,-0.009251248,-0.042413153,-0.002337846,0.001604765,NA
"373","stimuli/11_pieceA_calm_anxious_sad",133,66.5,-0.039379389,-0.009440908,-0.042164803,-0.003923277,0.001796272,NA
"374","stimuli/11_pieceA_calm_anxious_sad",134,67,-0.039137832,-0.009587054,-0.041879669,-0.005696774,0.001939372,NA
"375","stimuli/11_pieceA_calm_anxious_sad",135,67.5,-0.040549688,-0.009790203,-0.041601174,-0.007616046,0.000344275,NA
"376","stimuli/11_pieceA_calm_anxious_sad",136,68,-0.039120912,-0.009963837,-0.041334675,-0.007833999,0.001365488,NA
"377","stimuli/11_pieceA_calm_anxious_sad",137,68.5,-0.039714549,-0.009959964,-0.041153696,-0.009187441,0.001301077,NA
"378","stimuli/11_pieceA_calm_anxious_sad",138,69,-0.040478516,-0.009568735,-0.041028409,-0.010482472,0.001147381,NA
"379","stimuli/11_pieceA_calm_anxious_sad",139,69.5,-0.039987483,-0.009815986,-0.040923109,-0.011625011,0.000972976,NA
"380","stimuli/11_pieceA_calm_anxious_sad",140,70,-0.039692099,-0.01011137,-0.040828337,-0.01259336,0.000803365,NA
"381","stimuli/11_pieceA_calm_anxious_sad",141,70.5,-0.040061714,-0.01099587,-0.040754503,-0.013393325,0.000675195,NA
"382","stimuli/11_pieceA_calm_anxious_sad",142,71,-0.041222873,-0.011317171,-0.040783254,-0.014067908,0.000581878,NA
"383","stimuli/11_pieceA_calm_anxious_sad",143,71.5,-0.041812137,-0.010800689,-0.040943677,-0.014627235,0.004155441,NA
"384","stimuli/11_pieceA_calm_anxious_sad",144,72,-0.042802264,-0.010243131,-0.044225816,-0.012078656,0.000546276,NA
"385","stimuli/11_pieceA_calm_anxious_sad",145,72.5,-0.042306947,-0.010311161,-0.044590305,-0.012485553,0.000596165,NA
"386","stimuli/11_pieceA_calm_anxious_sad",146,73,-0.042729171,-0.011528424,-0.045091748,-0.012807993,0.000609073,NA
"387","stimuli/11_pieceA_calm_anxious_sad",147,73.5,-0.043497518,-0.012271469,-0.045634076,-0.013085211,0.000600627,NA
"388","stimuli/11_pieceA_calm_anxious_sad",148,74,-0.044837802,-0.012886284,-0.046196481,-0.01329605,0.000540459,NA
"389","stimuli/11_pieceA_calm_anxious_sad",149,74.5,-0.044942074,-0.053740497,-0.046720507,-0.013428311,0.00050903,NA
"390","stimuli/11_pieceA_calm_anxious_sad",150,75,-0.043157333,-0.013343488,-0.047229175,-0.013447503,0.000473392,NA
