Final Label,ID,"original piece (from McClay et al., 2023)",file name,start time,end time
NegLow,NL1,3_pieceB_joyous_anxious_sad,3_1,110,118
NegLow,NL2,5_pieceB_calm_sad_anxious,5_14,62,70
NegLow,NL3,7_pieceB_joyous_anxious_sad,7_13,99,107
NegLow,NL4,11_pieceA_calm_anxious_sad,11_11,117,125
NegHigh,NH1,6_pieceB_anxious_calm_joyous,6_10,24.5,32.5
NegHigh,NH2,7_pieceB_joyous_anxious_sad,7_10,65,73
NegHigh,NH3,5_pieceB_calm_sad_anxious,11_2,75,83
NegHigh,NH4,11_pieceA_calm_anxious_sad,11_10,42,50
PosLow,PL1,2_pieceB_anxious_calm_joyous,2_1,67,75
PosLow,PL2,4_pieceB_sad_joy_calm,4_2,115,123
PosLow,PL3,10_pieceA_anxious_joy_calm,10_1,64.5,72.5
PosLow,PL4,12_pieceA_joyous_sad_anxious,12_2,10,18
PosHigh,PH1,4_pieceB_sad_joy_calm,4_1,62,70
PosHigh,PH2,6_pieceB_anxious_calm_joyous,6_5,95,103
PosHigh,PH3,8_pieceA_dreamy_calm_joyous,8_2,101,109
PosHigh,PH4,10_pieceA_anxious_joy_calm,10_2,79,87
