rh.aparc.thickness	rh_bankssts_thickness	rh_caudalanteriorcingulate_thickness	rh_caudalmiddlefrontal_thickness	rh_cuneus_thickness	rh_entorhinal_thickness	rh_fusiform_thickness	rh_inferiorparietal_thickness	rh_inferiortemporal_thickness	rh_isthmuscingulate_thickness	rh_lateraloccipital_thickness	rh_lateralorbitofrontal_thickness	rh_lingual_thickness	rh_medialorbitofrontal_thickness	rh_middletemporal_thickness	rh_parahippocampal_thickness	rh_paracentral_thickness	rh_parsopercularis_thickness	rh_parsorbitalis_thickness	rh_parstriangularis_thickness	rh_pericalcarine_thickness	rh_postcentral_thickness	rh_posteriorcingulate_thickness	rh_precentral_thickness	rh_precuneus_thickness	rh_rostralanteriorcingulate_thickness	rh_rostralmiddlefrontal_thickness	rh_superiorfrontal_thickness	rh_superiorparietal_thickness	rh_superiortemporal_thickness	rh_supramarginal_thickness	rh_frontalpole_thickness	rh_temporalpole_thickness	rh_transversetemporal_thickness	rh_insula_thickness	rh_MeanThickness_thickness
sub-002	2.633	2.185	2.423	1.716	3.684	2.801	2.626	3.02	2.249	2.165	2.68	1.973	2.337	2.933	2.805	2.498	2.658	2.599	2.675	1.372	2.031	2.576	2.514	2.513	2.662	2.293	2.597	2.177	2.897	2.586	2.561	4.187	2.277	3.333	2.51794
sub-008	2.611	2.567	2.405	1.777	3.528	2.672	2.474	2.712	2.392	2.142	2.697	1.846	2.434	2.89	2.829	2.392	2.535	2.863	2.498	1.323	1.96	2.512	2.524	2.539	2.679	2.233	2.635	2.243	2.719	2.602	3.026	4.111	2.46	3.096	2.44484
sub-013	2.773	2.344	2.598	1.795	3.791	2.85	2.656	2.847	2.622	2.115	2.814	2.054	2.264	2.849	2.844	2.502	2.701	3.004	2.406	1.463	2.055	2.419	2.638	2.427	2.511	2.184	2.704	2.243	2.851	2.705	3.017	3.929	2.586	3.152	2.514
sub-021	2.54	2.185	2.663	1.969	3.565	2.733	2.657	2.795	2.14	2.291	2.541	2.158	2.151	3.029	2.579	2.372	2.853	2.426	2.594	1.669	2.533	2.337	1.967	2.666	2.676	2.306	2.757	2.391	2.748	2.68	2.889	4.076	2.546	3.236	2.53788
sub-022	2.636	2.377	2.533	1.832	3.649	2.766	2.589	2.688	2.126	2.193	2.693	2.071	2.21	2.976	2.927	2.419	2.836	2.836	2.538	1.452	2.12	2.493	2.546	2.448	2.645	2.218	2.623	2.256	2.951	2.654	2.799	4.238	2.868	3.13	2.50462
sub-023	2.442	2.223	2.428	1.946	3.139	2.646	2.433	2.711	2.264	2.066	2.642	1.988	2.465	2.759	2.449	2.08	2.657	2.516	2.263	1.776	2.223	2.468	1.926	2.464	2.657	2.351	2.56	2.016	2.724	2.417	2.628	3.37	2.367	3.064	2.38117
sub-030	2.79	2.034	2.614	2.184	4.023	2.856	2.583	2.762	2.225	2.196	2.655	2.271	2.455	3.034	2.98	2.383	2.59	2.891	2.544	1.641	2.175	2.401	2.633	2.5	2.546	2.344	2.693	2.283	3.065	2.823	2.546	3.765	2.748	3.293	2.56465
sub-033	2.64	2.161	2.442	1.803	3.491	2.666	2.405	2.765	2.289	2.052	2.278	2.05	2.339	2.922	2.972	2.302	2.626	2.716	2.381	1.643	1.955	2.296	2.503	2.341	2.393	2.071	2.584	2.117	2.747	2.602	2.718	3.828	2.146	3.124	2.40243
sub-035	2.698	2.021	2.601	1.706	3.617	2.747	2.545	2.765	2.191	1.964	2.658	2.051	2.33	3.003	2.707	2.35	2.93	2.726	2.449	1.538	1.93	2.285	2.629	2.355	2.613	2.308	2.678	2.143	2.879	2.64	2.773	3.826	2.439	3.021	2.4719
sub-036	2.636	2.377	2.518	1.77	3.723	2.77	2.47	2.807	2.399	2.045	2.675	1.856	2.382	3.049	2.573	2.39	2.723	2.816	2.525	1.574	2.011	2.403	2.478	2.35	2.669	2.351	2.663	2.125	2.917	2.656	2.592	4.323	2.033	3.2	2.47243
sub-042	2.726	2.316	2.431	1.859	3.622	2.759	2.438	2.84	2.248	2.212	2.631	2.206	2.22	2.903	2.836	2.458	2.75	2.791	2.59	1.597	2.096	2.385	2.636	2.436	2.637	2.114	2.56	2.248	3.066	2.537	2.315	3.982	2.264	3.251	2.49005
sub-039	2.581	2.192	2.593	1.809	3.303	2.744	2.524	2.861	2.598	2.227	2.741	2.03	2.182	2.955	2.693	2.42	2.616	2.667	2.471	1.478	2.093	2.469	2.501	2.486	2.585	2.169	2.654	2.172	2.86	2.656	2.512	3.908	2.59	3.188	2.49832
sub-037	2.571	2.333	2.483	1.824	3.41	2.635	2.507	2.659	2.376	2.12	2.813	2.004	2.41	2.845	2.579	2.335	2.643	2.682	2.486	1.373	1.972	2.395	2.692	2.484	2.64	2.216	2.668	2.259	2.939	2.605	2.765	3.863	1.99	3.023	2.46258
sub-043	2.848	2.388	2.613	1.981	3.891	2.888	2.448	2.84	2.576	2.021	2.667	2.051	2.49	3.059	2.746	2.395	2.738	2.664	2.68	1.522	1.878	2.376	2.51	2.431	2.5	2.377	2.77	2.078	2.804	2.648	3.038	4.095	2.407	3.21	2.49659
sub-045	2.735	2.549	2.466	1.927	3.583	2.871	2.436	2.662	2.375	2.208	2.777	1.988	2.479	2.955	2.606	2.367	2.875	2.942	2.72	1.556	2.082	2.465	2.578	2.352	2.799	2.439	2.756	2.084	2.768	2.569	3.406	3.695	2.704	3.233	2.52581
sub-040	2.537	2.106	2.296	1.72	3.466	2.593	2.477	2.732	2.206	2.055	2.619	1.971	2.302	2.908	2.705	2.312	2.488	2.749	2.48	1.589	2.078	2.181	2.486	2.245	2.55	2.261	2.616	2.119	2.791	2.553	2.652	4.05	2.69	2.998	2.41919
sub-046	2.976	2.23	2.737	1.906	3.857	2.927	2.6	2.888	2.43	2.317	2.589	1.954	2.288	3.286	3.094	2.664	2.847	2.588	2.58	1.848	2.293	2.558	2.72	2.577	2.88	2.347	2.729	2.122	2.997	2.9	2.768	4.137	2.357	3.352	2.61096
