session.p_id,session.pilot,session.complete,session.time_started,session.current_time,session.num_restarts,session.language,EDT.q1,EDT.q2,EDT.q3,EDT.q4,EDT.q5,EDT.q6,EDT.q7,EDT.q8,EDT.q9,EDT.q10,EDT.q11,EDT.q12,EDT.q13,EDT.q14,EDT.q15,EDT.q16,EDT.q17,EDT.q18,EDT.ability,EDT.ability_sem,EDT.num_items
TEAM_YA_031,FALSE,TRUE,45:28.4,48:44.0,0,en,2,1,1,1,2,1,2,1,1,2,1,1,2,2,1,2,1,2,0.327524666,0.399810666,18
TEAM_YA_030,FALSE,TRUE,14:04.7,17:30.9,0,en,2,1,2,2,2,1,1,1,2,1,2,2,2,2,1,2,1,2,1.403063944,0.399703073,18
TEAM_YA_036,FALSE,TRUE,32:50.9,36:17.7,0,en,1,2,1,2,2,2,1,2,1,1,1,2,2,1,2,2,2,1,1.38641038,0.402156589,18
TEAM_YA_044,FALSE,TRUE,52:39.8,55:50.1,0,en,1,1,1,2,2,1,2,1,2,2,2,2,1,2,1,2,2,2,0.517252686,0.338338498,18
TEAM_YA_028,FALSE,TRUE,21:51.0,24:45.2,0,en,1,2,2,2,1,2,2,1,2,1,1,1,2,2,2,2,1,2,1.91120662,0.377192902,18
TEAM_YA_045,FALSE,TRUE,23:18.7,26:44.2,0,en,1,2,1,1,2,1,1,2,2,2,2,1,2,2,2,2,2,1,-0.670970759,0.317000771,18
TEAM_YA_053,FALSE,TRUE,24:34.8,28:03.5,0,en,2,2,1,1,1,2,2,2,1,1,1,1,2,1,1,1,2,2,0.124164679,0.313658586,18
TEAM_YA_049,FALSE,TRUE,16:20.6,19:11.6,0,en,2,1,1,1,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2.150144861,0.460264084,18
TEAM_YA_050,FALSE,TRUE,51:59.0,56:10.8,0,en,1,2,1,1,2,2,2,2,1,2,2,1,1,2,2,2,2,1,1.297512785,0.396687122,18
TEAM_YA_047,FALSE,TRUE,17:53.1,20:27.7,0,en,2,2,2,2,2,2,1,1,1,2,1,1,2,2,2,2,2,2,0.808579678,0.331022085,18
TEAM_YA_052,FALSE,TRUE,07:52.2,10:37.7,0,en,2,2,2,2,1,2,2,1,1,1,1,1,1,2,2,2,1,1,1.682433881,0.362728958,18
TEAM_YA_051,FALSE,TRUE,36:47.7,58:43.9,1,en,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1,2,2,1.066081794,0.378366562,18
TEAM_YA_046,FALSE,TRUE,02:25.0,05:06.5,0,en,2,2,2,2,2,2,2,1,1,2,1,1,1,2,1,2,1,2,1.207608147,0.391245856,18
TEAM_YA_055,FALSE,TRUE,26:38.7,31:53.0,0,en,2,1,2,1,2,2,1,2,1,2,2,1,1,2,2,2,2,2,1.297512785,0.396687122,18
TEAM_YA_058,FALSE,TRUE,24:37.8,28:29.3,0,en,1,2,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,1.207608147,0.391245856,18
TEAM_YA_054,FALSE,TRUE,50:15.7,52:53.3,0,en,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2.483089018,0.777132648,18
TEAM_YA_056,FALSE,TRUE,45:54.2,53:18.7,0,en,2,1,1,1,2,2,2,1,2,1,2,1,2,1,2,2,1,1,1.13100797,0.486604202,18
TEAM_YA_048,FALSE,TRUE,19:30.9,21:57.0,0,en,1,2,2,1,1,2,1,1,2,1,2,2,1,1,2,2,1,2,-0.066853196,0.309034556,18
TEAM_YA_059,FALSE,TRUE,27:40.3,31:24.1,0,en,2,2,2,1,2,2,2,2,1,2,2,1,2,1,1,2,2,1,2.054764812,0.468659621,18
TEAM_YA_063,FALSE,TRUE,10:49.5,14:15.3,0,en,2,1,1,1,1,2,1,2,1,1,2,2,1,1,2,2,2,1,0.121466961,0.322439897,18
TEAM_YA_065,FALSE,TRUE,44:37.9,47:23.7,0,en,2,2,2,1,2,2,2,1,1,1,1,1,2,2,1,2,2,2,0.60629532,0.361770679,18
TEAM_YA_069,FALSE,TRUE,05:49.2,08:35.1,0,en,1,1,1,1,2,2,2,1,1,1,2,1,2,2,1,2,2,2,0.469163745,0.348734555,18
TEAM_YA_064,FALSE,TRUE,03:41.8,06:30.3,0,en,1,1,1,1,2,2,1,2,1,2,1,2,2,2,2,2,2,2,1.91120662,0.377192902,18
TEAM_YA_061,FALSE,TRUE,58:14.7,01:19.1,0,en,1,2,2,1,2,2,2,2,1,1,2,1,2,1,2,2,2,1,-0.820619954,0.429660939,18
TEAM_YA_076,FALSE,TRUE,32:51.0,35:53.1,0,en,1,2,1,1,2,2,1,1,2,2,2,2,1,1,2,1,2,2,0.141728264,0.309061065,18
TEAM_YA_067,FALSE,TRUE,58:02.0,03:57.2,1,en,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,2,2,2,0.054541699,0.302682178,18
TEAM_YA_062,FALSE,TRUE,17:45.9,21:00.9,0,en,2,2,1,2,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2.150144861,0.460264084,18
TEAM_YA_074,FALSE,TRUE,43:03.1,58:36.1,1,en,1,1,2,2,2,1,2,1,1,1,1,2,1,2,2,2,1,2,-2.298980745,1.889897778,18
TEAM_YA_078,FALSE,TRUE,43:02.8,45:43.2,0,en,2,2,1,2,1,2,2,2,1,2,2,2,1,2,2,1,1,1,1.714112337,0.360155532,18
TEAM_YA_057,FALSE,TRUE,36:22.6,40:18.4,1,en,1,1,1,1,2,2,2,1,2,2,2,2,2,1,1,2,1,2,0.861035862,0.411834407,18
TEAM_YA_081,FALSE,TRUE,25:45.2,43:07.8,0,en,2,2,1,1,2,2,1,2,1,1,2,2,2,1,1,1,2,1,1.510016945,0.434816311,18
TEAM_YA_077,FALSE,TRUE,26:56.3,32:04.5,1,en,2,1,2,1,2,2,1,2,1,1,2,1,2,1,2,1,2,2,1.712246992,0.566997634,18
TEAM_YA_068,FALSE,TRUE,21:26.3,26:06.8,1,en,2,1,1,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,0.548915658,0.365670525,18
TEAM_YA_072,FALSE,TRUE,31:01.4,44:05.0,0,en,1,1,2,1,2,2,2,2,2,1,2,1,2,1,2,1,2,2,2.150144861,0.460264084,18
TEAM_YA_073,FALSE,TRUE,03:27.7,06:48.8,0,en,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,2,2,2,-0.553694408,0.320983167,18
TEAM_YA_092,FALSE,TRUE,30:14.7,33:25.9,0,en,2,2,2,1,1,1,2,1,1,1,2,2,1,1,2,1,2,2,1.593041384,0.363473286,18
TEAM_YA_075,FALSE,TRUE,27:13.6,31:30.1,0,en,1,1,2,2,1,1,2,2,2,2,2,1,2,1,2,2,1,2,1.898111996,0.376819328,18
TEAM_YA_089,FALSE,TRUE,30:23.3,32:54.1,0,en,2,1,2,2,2,2,2,1,2,1,1,2,2,2,2,2,1,2,1.876397804,0.62939965,18
TEAM_YA_066,FALSE,TRUE,27:33.2,30:20.7,0,en,1,2,2,1,2,1,2,1,1,2,2,1,2,1,2,1,1,2,0.02884535,0.335365563,18
TEAM_YA_079,FALSE,TRUE,38:06.1,41:06.1,0,en,1,1,2,2,2,1,2,1,1,2,1,2,1,1,1,2,2,2,1.297512785,0.396687122,18
TEAM_YA_098,FALSE,TRUE,21:22.0,24:44.4,0,en,2,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,0.804445963,0.329645784,18
TEAM_YA_090,FALSE,TRUE,30:00.7,58:45.1,0,en,1,2,1,1,2,1,2,1,1,2,1,2,2,1,2,2,2,1,0.496078975,0.372056218,18
TEAM_YA_100,FALSE,TRUE,34:31.5,37:25.2,0,en,2,1,2,1,1,1,2,1,1,1,1,2,1,2,1,1,2,1,-0.111385685,0.309092188,18
TEAM_YA_101,FALSE,TRUE,29:11.4,34:10.1,1,en,2,1,2,2,2,2,2,1,2,1,2,1,2,1,1,2,2,2,0.794767017,0.332234664,18
TEAM_YA_099,FALSE,TRUE,03:18.0,06:29.9,0,en,1,1,2,1,2,1,2,2,1,2,2,1,2,2,1,2,2,2,-0.184847633,0.332722845,18
TEAM_YA_103,FALSE,TRUE,57:37.2,00:42.2,0,en,1,1,1,1,1,2,2,1,2,2,1,2,1,1,1,2,1,2,2.137141466,0.459611529,18
TEAM_YA_102,FALSE,TRUE,02:03.8,17:28.9,0,en,2,1,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,0.69375787,0.342736101,18
TEAM_YA_104,FALSE,TRUE,20:40.1,43:39.2,0,en,2,2,2,1,2,1,2,2,1,1,2,2,1,1,2,1,1,1,1.63083322,0.36464052,18
TEAM_YA_112,FALSE,TRUE,52:10.4,56:03.3,0,en,1,2,2,2,1,2,2,1,1,2,2,1,2,2,2,1,2,1,2.150144861,0.460264084,18
TEAM_YA_111,FALSE,TRUE,32:58.1,52:28.4,0,en,2,2,2,1,2,2,2,2,1,2,1,1,1,1,1,2,1,2,2.054764812,0.468659621,18
TEAM_YA_108,FALSE,TRUE,03:25.9,06:38.4,0,en,1,1,2,1,2,2,1,1,2,2,2,2,2,2,1,1,2,1,0.790700566,0.394090633,18
TEAM_YA_106,FALSE,TRUE,57:08.3,01:15.1,0,en,2,2,2,1,1,1,2,2,1,1,1,2,1,2,1,2,2,1,1.868058766,0.380384742,18
TEAM_YA_113,FALSE,TRUE,36:36.3,59:38.3,0,en,2,1,2,1,2,1,2,2,1,2,2,2,1,2,2,1,2,1,0.763911072,0.342374237,18
TEAM_YA_082,FALSE,TRUE,43:45.3,02:07.9,0,en,2,1,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,0.674878807,0.322272283,18
TEAM_YA_084,FALSE,TRUE,02:33.5,05:36.5,0,en,2,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,1.077502819,0.466937336,18
TEAM_YA_085,FALSE,TRUE,57:41.2,07:41.7,0,en,2,1,2,1,2,2,1,1,2,1,1,2,2,2,2,2,1,2,2.483089018,0.777132648,18
TEAM_YA_097,FALSE,TRUE,51:40.2,56:58.1,0,en,2,1,1,1,1,1,2,1,2,2,2,2,2,1,2,1,2,2,0.715755581,0.343521686,18
TEAM_YA_109,FALSE,TRUE,32:08.4,51:44.8,1,en,1,2,2,1,2,1,2,1,2,1,1,2,2,2,1,2,2,2,1.466095803,0.392135038,18
