"","Participant.Public.ID","happy","satisfied","excited","joyful","relaxed","stim","condition"
"1","32368",0,0,0,0,0,"Fire 10.jpg","pic"
"2","32368",0,0,0,0,0,"Prison 2.jpg","pic"
"3","32368",80,28,70,42,71,"Snow 1.jpg","pic"
"4","32368",55,14,10,15,50,"Rainbow 2.jpg","pic"
"5","32368",28,39,27,30,40,"Lake 12.jpg","pic"
"6","32368",0,0,0,0,0,"Destruction 2.jpg","pic"
"7","32368",0,0,0,0,0,"Garbage dump 1.jpg","pic"
"8","32368",0,0,0,0,0,"Dirt 1.jpg","pic"
"9","32368",72,94,91,77,100,"Rocks 1.jpg","pic"
"10","32368",44,35,50,52,48,"Fireworks 6.jpg","pic"
"11","32368",89,64,70,66,70,"Heart 3.jpg","pic"
"12","32368",16,0,13,0,0,"Ferret 1.jpg","pic"
"13","32368",0,31,15,0,76,"Clean 1.jpg","pic"
"14","32368",0,0,0,0,0,"Flood 1.jpg","pic"
"15","32368",0,0,0,0,0,"Toilet 4.jpg","pic"
"16","32368",43,25,24,26,51,"Beach 1.jpg","pic"
"17","32449",5,13,25,36,12,"Fireworks 6.jpg","pic"
"18","32449",6,10,15,9,6,"Garbage dump 1.jpg","pic"
"19","32449",4,56,12,8,43,"Dirt 1.jpg","pic"
"20","32449",47,64,68,55,59,"Lake 12.jpg","pic"
"21","32449",2,1,3,2,2,"Flood 1.jpg","pic"
"22","32449",2,14,3,1,2,"Fire 10.jpg","pic"
"23","32449",1,2,3,0,2,"Destruction 2.jpg","pic"
"24","32449",34,27,74,21,47,"Beach 1.jpg","pic"
"25","32449",18,33,60,31,8,"Heart 3.jpg","pic"
"26","32449",21,19,52,6,50,"Clean 1.jpg","pic"
"27","32449",7,6,8,4,1,"Rainbow 2.jpg","pic"
"28","32449",20,43,22,8,21,"Snow 1.jpg","pic"
"29","32449",0,4,0,1,3,"Prison 2.jpg","pic"
"30","32449",7,3,0,5,0,"Toilet 4.jpg","pic"
"31","32449",3,4,3,2,0,"Ferret 1.jpg","pic"
