"","Participant.Public.ID","gloomy","sad","scared","anxious","upset","stim","condition"
"1","TEAM_YA_045",77,88,61,49,69,"Destruction 2.jpg","pic"
"2","TEAM_YA_045",0,0,0,0,0,"Rocks 1.jpg","pic"
"3","TEAM_YA_045",0,0,0,0,0,"Beach 1.jpg","pic"
"4","TEAM_YA_045",33,42,43,4,38,"Flood 1.jpg","pic"
"5","TEAM_YA_045",16,16,0,0,0,"Toilet 4.jpg","pic"
"6","TEAM_YA_045",0,0,0,0,0,"Dirt 1.jpg","pic"
"7","TEAM_YA_045",22,0,12,35,0,"Fireworks 6.jpg","pic"
"8","TEAM_YA_045",23,8,13,35,0,"Prison 2.jpg","pic"
"9","TEAM_YA_045",0,0,0,0,0,"Snow 1.jpg","pic"
"10","TEAM_YA_045",0,0,0,0,0,"Clean 1.jpg","pic"
"11","TEAM_YA_045",16,9,5,0,0,"Rainbow 2.jpg","pic"
"12","TEAM_YA_045",0,0,0,0,0,"Lake 12.jpg","pic"
"13","TEAM_YA_045",0,0,0,0,0,"Heart 3.jpg","pic"
"14","TEAM_YA_045",28,15,17,18,13,"Fire 10.jpg","pic"
"15","TEAM_YA_045",9,0,41,25,0,"Ferret 1.jpg","pic"
"16","TEAM_YA_045",24,11,19,17,10,"Garbage dump 1.jpg","pic"
"17","TEAM_YA_028",1,1,0,0,0,"Fireworks 6.jpg","pic"
"18","TEAM_YA_028",19,42,37,24,42,"Flood 1.jpg","pic"
"19","TEAM_YA_028",34,43,8,35,41,"Destruction 2.jpg","pic"
"20","TEAM_YA_028",3,1,24,31,11,"Fire 10.jpg","pic"
"21","TEAM_YA_028",0,0,0,0,1,"Rainbow 2.jpg","pic"
"22","TEAM_YA_028",48,39,60,35,38,"Prison 2.jpg","pic"
"23","TEAM_YA_028",0,0,0,0,0,"Clean 1.jpg","pic"
"24","TEAM_YA_028",0,0,1,0,0,"Lake 12.jpg","pic"
"25","TEAM_YA_028",1,1,0,0,0,"Heart 3.jpg","pic"
"26","TEAM_YA_028",71,53,0,1,63,"Garbage dump 1.jpg","pic"
"27","TEAM_YA_028",0,0,0,0,0,"Dirt 1.jpg","pic"
"28","TEAM_YA_028",0,1,24,1,1,"Snow 1.jpg","pic"
"29","TEAM_YA_028",0,0,0,0,1,"Rocks 1.jpg","pic"
"30","TEAM_YA_028",0,0,0,0,0,"Beach 1.jpg","pic"
"31","TEAM_YA_028",0,0,30,67,33,"Ferret 1.jpg","pic"
"32","TEAM_YA_028",0,0,60,87,34,"Toilet 4.jpg","pic"
"33","TEAM_YA_049",2,4,12,4,11,"Heart 3.jpg","pic"
"34","TEAM_YA_049",2,1,4,1,6,"Snow 1.jpg","pic"
"35","TEAM_YA_049",1,1,29,1,0,"Beach 1.jpg","pic"
"36","TEAM_YA_049",97,96,64,55,67,"Destruction 2.jpg","pic"
"37","TEAM_YA_049",94,96,63,53,68,"Prison 2.jpg","pic"
"38","TEAM_YA_049",80,15,69,91,32,"Dirt 1.jpg","pic"
"39","TEAM_YA_049",45,60,18,24,32,"Flood 1.jpg","pic"
"40","TEAM_YA_049",27,56,36,54,75,"Fire 10.jpg","pic"
"41","TEAM_YA_049",2,0,0,2,7,"Clean 1.jpg","pic"
"42","TEAM_YA_049",2,21,29,11,5,"Rainbow 2.jpg","pic"
"43","TEAM_YA_049",42,2,94,96,70,"Toilet 4.jpg","pic"
"44","TEAM_YA_049",11,16,14,18,21,"Rocks 1.jpg","pic"
"45","TEAM_YA_049",1,4,7,2,1,"Lake 12.jpg","pic"
"46","TEAM_YA_049",83,77,89,70,85,"Garbage dump 1.jpg","pic"
"47","TEAM_YA_049",6,15,48,11,95,"Ferret 1.jpg","pic"
"48","TEAM_YA_049",8,20,33,48,30,"Fireworks 6.jpg","pic"
"49","TEAM_YA_053",9,23,0,13,0,"Garbage dump 1.jpg","pic"
"50","TEAM_YA_053",25,27,7,2,36,"Destruction 2.jpg","pic"
"51","TEAM_YA_053",0,5,5,9,7,"Fire 10.jpg","pic"
"52","TEAM_YA_053",12,0,0,0,0,"Clean 1.jpg","pic"
"53","TEAM_YA_053",5,17,0,2,23,"Flood 1.jpg","pic"
"54","TEAM_YA_053",0,16,8,23,22,"Prison 2.jpg","pic"
"55","TEAM_YA_053",27,16,0,0,0,"Heart 3.jpg","pic"
"56","TEAM_YA_053",32,14,65,73,20,"Toilet 4.jpg","pic"
"57","TEAM_YA_053",0,10,0,0,0,"Fireworks 6.jpg","pic"
"58","TEAM_YA_053",13,6,0,0,0,"Rainbow 2.jpg","pic"
"59","TEAM_YA_053",3,24,28,20,33,"Ferret 1.jpg","pic"
"60","TEAM_YA_053",1,1,0,0,0,"Lake 12.jpg","pic"
"61","TEAM_YA_053",15,15,4,22,4,"Dirt 1.jpg","pic"
"62","TEAM_YA_053",4,2,0,7,2,"Beach 1.jpg","pic"
"63","TEAM_YA_053",14,8,0,3,0,"Rocks 1.jpg","pic"
"64","TEAM_YA_053",22,4,0,0,0,"Snow 1.jpg","pic"
"65","TEAM_YA_051",0,0,0,0,0,"Clean 1.jpg","pic"
"66","TEAM_YA_051",0,1,1,0,0,"Fire 10.jpg","pic"
"67","TEAM_YA_051",0,0,0,11,0,"Dirt 1.jpg","pic"
"68","TEAM_YA_051",22,0,4,12,2,"Prison 2.jpg","pic"
"69","TEAM_YA_051",0,0,0,0,0,"Snow 1.jpg","pic"
"70","TEAM_YA_051",0,0,0,0,0,"Rainbow 2.jpg","pic"
"71","TEAM_YA_051",22,0,15,0,43,"Toilet 4.jpg","pic"
"72","TEAM_YA_051",0,0,5,19,0,"Fireworks 6.jpg","pic"
"73","TEAM_YA_051",8,0,0,0,0,"Heart 3.jpg","pic"
"74","TEAM_YA_051",45,72,14,46,63,"Garbage dump 1.jpg","pic"
"75","TEAM_YA_051",0,10,26,13,0,"Ferret 1.jpg","pic"
"76","TEAM_YA_051",0,0,0,0,0,"Lake 12.jpg","pic"
"77","TEAM_YA_051",0,0,0,0,0,"Rocks 1.jpg","pic"
"78","TEAM_YA_051",48,83,54,44,36,"Flood 1.jpg","pic"
"79","TEAM_YA_051",0,98,48,48,0,"Destruction 2.jpg","pic"
"80","TEAM_YA_051",0,0,0,0,0,"Beach 1.jpg","pic"
"81","TEAM_YA_052",57,29,16,58,28,"Fire 10.jpg","pic"
"82","TEAM_YA_052",1,25,11,51,21,"Ferret 1.jpg","pic"
"83","TEAM_YA_052",63,1,21,50,20,"Prison 2.jpg","pic"
"84","TEAM_YA_052",46,63,61,62,81,"Destruction 2.jpg","pic"
"85","TEAM_YA_052",67,1,0,33,1,"Garbage dump 1.jpg","pic"
"86","TEAM_YA_052",3,1,2,0,2,"Rainbow 2.jpg","pic"
"87","TEAM_YA_052",24,0,0,1,1,"Rocks 1.jpg","pic"
"88","TEAM_YA_052",2,1,1,2,2,"Fireworks 6.jpg","pic"
"89","TEAM_YA_052",45,19,5,46,1,"Toilet 4.jpg","pic"
"90","TEAM_YA_052",1,14,1,27,27,"Dirt 1.jpg","pic"
"91","TEAM_YA_052",1,2,1,2,1,"Beach 1.jpg","pic"
"92","TEAM_YA_052",35,49,15,68,41,"Flood 1.jpg","pic"
"93","TEAM_YA_052",1,1,1,1,1,"Snow 1.jpg","pic"
"94","TEAM_YA_052",1,1,1,1,1,"Heart 3.jpg","pic"
"95","TEAM_YA_052",1,0,2,1,1,"Clean 1.jpg","pic"
"96","TEAM_YA_052",1,1,2,1,1,"Lake 12.jpg","pic"
"97","TEAM_YA_050",0,0,0,0,0,"Lake 12.jpg","pic"
"98","TEAM_YA_050",0,28,0,0,0,"Rocks 1.jpg","pic"
