Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-fj4d,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Context,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1766181395556,19/12/2025 21:56:35,1766181395556,-6,19/12/2025 15:56:35,169297,30,questionnaire-fvyp,,51544530,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x773,,,0,Instructions,2,Correct,,,,,info,,BEGIN,,,,,,
3,1766181410509,19/12/2025 21:56:50,1766181410509,-6,19/12/2025 15:56:50,169297,30,questionnaire-fvyp,,51544530,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x773,,,0,Instructions,2,Correct,,,,,info,,END,,14934,,,,
1,1766181762103,19/12/2025 22:02:42,1766181762103,-7,19/12/2025 15:02:42,169297,30,questionnaire-fvyp,,51544660,673e5a3412198a5e62837745,14785843,,complete,,6945caf24f6c8f2faec7395a,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1152x864,1280x632,,,0,Instructions,2,Incorrect~Correct,,,,,info,,BEGIN,,,,,,
3,1766181765733,19/12/2025 22:02:45,1766181765733,-7,19/12/2025 15:02:45,169297,30,questionnaire-fvyp,,51544660,673e5a3412198a5e62837745,14785843,,complete,,6945caf24f6c8f2faec7395a,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1152x864,1280x632,,,0,Instructions,2,Incorrect~Correct,,,,,info,,END,,3616,,,,
1,1766181704822,19/12/2025 22:01:44,1766181704822,-6,19/12/2025 16:01:44,169297,30,questionnaire-fvyp,,51544640,55b249bdfdf99b28e3c14b05,14785844,,complete,,6945caf0d5d377dfc9b6201e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 142.0.0.0,1920x1080,1920x945,,,0,Instructions,2,Incorrect~Correct,,,,,info,,BEGIN,,,,,,
3,1766181728203,19/12/2025 22:02:08,1766181728203,-6,19/12/2025 16:02:08,169297,30,questionnaire-fvyp,,51544640,55b249bdfdf99b28e3c14b05,14785844,,complete,,6945caf0d5d377dfc9b6201e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 142.0.0.0,1920x1080,1920x945,,,0,Instructions,2,Incorrect~Correct,,,,,info,,END,,23350,,,,
1,1766262405146,20/12/2025 20:26:45,1766262405146,-5,20/12/2025 15:26:45,169297,30,questionnaire-fvyp,,51562719,6266e63b82fa38e800e33a24,14788572,,complete,,6947065104ec759dcb1749b8,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1366x768,1366x633,,,0,Instructions,2,Correct,,,,,info,,BEGIN,,,,,,
3,1766262407802,20/12/2025 20:26:47,1766262407802,-5,20/12/2025 15:26:47,169297,30,questionnaire-fvyp,,51562719,6266e63b82fa38e800e33a24,14788572,,complete,,6947065104ec759dcb1749b8,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1366x768,1366x633,,,0,Instructions,2,Correct,,,,,info,,END,,2639,,,,
1,1766262445476,20/12/2025 20:27:25,1766262445476,-5,20/12/2025 15:27:25,169297,30,questionnaire-fvyp,,51562727,60c381c26357c51532f1b378,14788575,,complete,,6947064a50e31375c62f6cb1,computer,Desktop or Laptop,Windows 10,Firefox 146.0,1536x864,1458x750,,,0,Instructions,2,Correct,,,,,info,,BEGIN,,,,,,
3,1766262449587,20/12/2025 20:27:29,1766262449587,-5,20/12/2025 15:27:29,169297,30,questionnaire-fvyp,,51562727,60c381c26357c51532f1b378,14788575,,complete,,6947064a50e31375c62f6cb1,computer,Desktop or Laptop,Windows 10,Firefox 146.0,1536x864,1458x750,,,0,Instructions,2,Correct,,,,,info,,END,,4106,,,,
1,1766262508507,20/12/2025 20:28:28,1766262508507,-5,20/12/2025 15:28:28,169297,30,questionnaire-fvyp,,51562735,67d21364aa4dc87ecd8f3f1b,14788574,,complete,,69470666ff29b62d4b8209ec,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1280x720,1280x585,,,0,Instructions,2,Incorrect~Correct,,,,,info,,BEGIN,,,,,,
3,1766262518457,20/12/2025 20:28:38,1766262518457,-5,20/12/2025 15:28:38,169297,30,questionnaire-fvyp,,51562735,67d21364aa4dc87ecd8f3f1b,14788574,,complete,,69470666ff29b62d4b8209ec,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1280x720,1280x585,,,0,Instructions,2,Incorrect~Correct,,,,,info,,END,,9938,,,,
1,1766262570496,20/12/2025 20:29:30,1766262570496,-9,20/12/2025 11:29:30,169297,30,questionnaire-fvyp,,51562754,62dc4a5fef307ee53c61afcc,14788581,,complete,,69470656a47d482d85d6a132,computer,Desktop or Laptop,Chromium OS 14816.17.0,Chrome 103.0.0.0,1366x768,1366x649,,,0,Instructions,2,Correct,,,,,info,,BEGIN,,,,,,
3,1766262582401,20/12/2025 20:29:42,1766262582401,-9,20/12/2025 11:29:42,169297,30,questionnaire-fvyp,,51562754,62dc4a5fef307ee53c61afcc,14788581,,complete,,69470656a47d482d85d6a132,computer,Desktop or Laptop,Chromium OS 14816.17.0,Chrome 103.0.0.0,1366x768,1366x649,,,0,Instructions,2,Correct,,,,,info,,END,,11848,,,,
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
