Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-fj4d,Manipulation: Randomise questionnaire elements?,Question Key,Response
1,1766181329902,19/12/2025 21:55:29,1766181333603,-6,19/12/2025 15:55:33,169297,30,questionnaire-tyvb,,51544506,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x773,,,,consent_loui,3,Correct,No,BEGIN QUESTIONNAIRE,
2,1766181360729,19/12/2025 21:56:00,1766181364477,-6,19/12/2025 15:56:04,169297,30,questionnaire-tyvb,,51544506,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1585x773,,,,consent_loui,3,Correct,No,consent-yes,1
3,1766181360910,19/12/2025 21:56:00,1766181364479,-6,19/12/2025 15:56:04,169297,30,questionnaire-tyvb,,51544506,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1585x773,,,,consent_loui,3,Correct,No,END QUESTIONNAIRE,30876
1,1766181654476,19/12/2025 22:00:54,1766181653952,-7,19/12/2025 15:00:53,169297,30,questionnaire-tyvb,,51544626,673e5a3412198a5e62837745,14785843,,complete,,6945caf24f6c8f2faec7395a,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1152x864,1280x632,,,,consent_loui,3,Incorrect~Correct,No,BEGIN QUESTIONNAIRE,
2,1766181700825,19/12/2025 22:01:40,1766181700365,-7,19/12/2025 15:01:40,169297,30,questionnaire-tyvb,,51544626,673e5a3412198a5e62837745,14785843,,complete,,6945caf24f6c8f2faec7395a,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1152x864,1263x632,,,,consent_loui,3,Incorrect~Correct,No,consent-yes,1
3,1766181701938,19/12/2025 22:01:41,1766181700367,-7,19/12/2025 15:01:40,169297,30,questionnaire-tyvb,,51544626,673e5a3412198a5e62837745,14785843,,complete,,6945caf24f6c8f2faec7395a,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1152x864,1263x632,,,,consent_loui,3,Incorrect~Correct,No,END QUESTIONNAIRE,46415
1,1766181670577,19/12/2025 22:01:10,1766181669589,-6,19/12/2025 16:01:09,169297,30,questionnaire-tyvb,,51544633,55b249bdfdf99b28e3c14b05,14785844,,complete,,6945caf0d5d377dfc9b6201e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 142.0.0.0,1920x1080,1920x945,,,,consent_loui,3,Incorrect~Correct,No,BEGIN QUESTIONNAIRE,
2,1766181674313,19/12/2025 22:01:14,1766181673391,-6,19/12/2025 16:01:13,169297,30,questionnaire-tyvb,,51544633,55b249bdfdf99b28e3c14b05,14785844,,complete,,6945caf0d5d377dfc9b6201e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 142.0.0.0,1920x1080,1920x945,,,,consent_loui,3,Incorrect~Correct,No,consent-yes,1
3,1766181674537,19/12/2025 22:01:14,1766181673394,-6,19/12/2025 16:01:13,169297,30,questionnaire-tyvb,,51544633,55b249bdfdf99b28e3c14b05,14785844,,complete,,6945caf0d5d377dfc9b6201e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 142.0.0.0,1920x1080,1920x945,,,,consent_loui,3,Incorrect~Correct,No,END QUESTIONNAIRE,3805
1,1766262369904,20/12/2025 20:26:09,1766262369327,-5,20/12/2025 15:26:09,169297,30,questionnaire-tyvb,,51562714,6266e63b82fa38e800e33a24,14788572,,complete,,6947065104ec759dcb1749b8,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1366x768,1366x633,,,,consent_loui,3,Correct,No,BEGIN QUESTIONNAIRE,
