Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-fj4d,Manipulation: Spreadsheet,Manipulation: EarlyExitButtonText,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,3
1,1766181363021,19/12/2025 21:56:03,1766181366588,-6,19/12/2025 15:56:06,169297,30,task-quo2,,51544520,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x773,,,,Task: Browser sound check,2,Correct,Spreadsheet1,,,,BEGIN TASK,,,,,,,,,,,,,,,,,,NaN
2,1766181377370,19/12/2025 21:56:17,1766181381121,-6,19/12/2025 15:56:21,169297,30,task-quo2,,51544520,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x773,,,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,1,1,1,Screen 3,advancementZone,continue_button,13804.399999856949,,,,0,0,,,,,,,Intro,NaN
3,1766181381879,19/12/2025 21:56:21,1766181385617,-6,19/12/2025 15:56:25,169297,30,task-quo2,,51544520,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x773,,,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,1,1,2,Screen 4,buttonA,response_button_text,4478,,,yes,1,1,,,,,,,Intro,NaN
4,1766181382860,19/12/2025 21:56:22,1766181386613,-6,19/12/2025 15:56:26,169297,30,task-quo2,,51544520,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x773,,,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,1,1,4,continue,Zone2,timelimit_screen,1000,,,,0,0,,,,1,,,Intro,NaN
5,1766181387152,19/12/2025 21:56:27,1766181390880,-6,19/12/2025 15:56:30,169297,30,task-quo2,,51544520,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x773,,,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,4183.599999904633,,,,0,0,,,,,,,end,NaN
6,1766181387311,19/12/2025 21:56:27,1766181390893,-6,19/12/2025 15:56:30,169297,30,task-quo2,,51544520,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x773,,,,Task: Browser sound check,2,Correct,Spreadsheet1,,,,END TASK,,,,,24305,,,,,,,,,,,,,NaN
1,1766181711618,19/12/2025 22:01:51,1766181711091,-7,19/12/2025 15:01:51,169297,30,task-quo2,,51544645,673e5a3412198a5e62837745,14785843,,complete,,6945caf24f6c8f2faec7395a,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1152x864,1280x632,,,,Task: Browser sound check,2,Incorrect~Correct,Spreadsheet1,,,,BEGIN TASK,,,,,,,,,,,,,,,,,,NaN
2,1766181726835,19/12/2025 22:02:06,1766181726080,-7,19/12/2025 15:02:06,169297,30,task-quo2,,51544645,673e5a3412198a5e62837745,14785843,,complete,,6945caf24f6c8f2faec7395a,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1152x864,1280x632,,,,Task: Browser sound check,2,Incorrect~Correct,Spreadsheet1,,Spreadsheet1,1,1,1,Screen 3,advancementZone,continue_button,10401.399999976158,,,,0,0,,,,,,,Intro,NaN
3,1766181730922,19/12/2025 22:02:10,1766181729094,-7,19/12/2025 15:02:09,169297,30,task-quo2,,51544645,673e5a3412198a5e62837745,14785843,,complete,,6945caf24f6c8f2faec7395a,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1152x864,1280x632,,,,Task: Browser sound check,2,Incorrect~Correct,Spreadsheet1,,Spreadsheet1,1,1,2,Screen 4,buttonA,response_button_text,2980.699999988079,,,yes,1,1,,,,,,,Intro,NaN
4,1766181731875,19/12/2025 22:02:11,1766181730089,-7,19/12/2025 15:02:10,169297,30,task-quo2,,51544645,673e5a3412198a5e62837745,14785843,,complete,,6945caf24f6c8f2faec7395a,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1152x864,1280x632,,,,Task: Browser sound check,2,Incorrect~Correct,Spreadsheet1,,Spreadsheet1,1,1,4,continue,Zone2,timelimit_screen,1000.0999999999985,,,,0,0,,,,1,,,Intro,NaN
5,1766181733618,19/12/2025 22:02:13,1766181732942,-7,19/12/2025 15:02:12,169297,30,task-quo2,,51544645,673e5a3412198a5e62837745,14785843,,complete,,6945caf24f6c8f2faec7395a,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1152x864,1280x632,,,,Task: Browser sound check,2,Incorrect~Correct,Spreadsheet1,,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,2809.199999988079,,,,0,0,,,,,,,end,NaN
6,1766181734243,19/12/2025 22:02:14,1766181732947,-7,19/12/2025 15:02:12,169297,30,task-quo2,,51544645,673e5a3412198a5e62837745,14785843,,complete,,6945caf24f6c8f2faec7395a,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1152x864,1280x632,,,,Task: Browser sound check,2,Incorrect~Correct,Spreadsheet1,,,,END TASK,,,,,21856,,,,,,,,,,,,,NaN
1,1766181677231,19/12/2025 22:01:17,1766181676238,-6,19/12/2025 16:01:16,169297,30,task-quo2,,51544634,55b249bdfdf99b28e3c14b05,14785844,,complete,,6945caf0d5d377dfc9b6201e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 142.0.0.0,1920x1080,1920x945,,,,Task: Browser sound check,2,Incorrect~Correct,Spreadsheet1,,,,BEGIN TASK,,,,,,,,,,,,,,,,,,NaN
2,1766181683702,19/12/2025 22:01:23,1766181683131,-6,19/12/2025 16:01:23,169297,30,task-quo2,,51544634,55b249bdfdf99b28e3c14b05,14785844,,complete,,6945caf0d5d377dfc9b6201e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 142.0.0.0,1920x1080,1920x945,,,,Task: Browser sound check,2,Incorrect~Correct,Spreadsheet1,,Spreadsheet1,1,1,1,Screen 3,advancementZone,continue_button,5217.699999999255,,,,0,0,,,,,,,Intro,NaN
3,1766181689694,19/12/2025 22:01:29,1766181688189,-6,19/12/2025 16:01:28,169297,30,task-quo2,,51544634,55b249bdfdf99b28e3c14b05,14785844,,complete,,6945caf0d5d377dfc9b6201e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 142.0.0.0,1920x1080,1920x945,,,,Task: Browser sound check,2,Incorrect~Correct,Spreadsheet1,,Spreadsheet1,1,1,2,Screen 4,buttonA,response_button_text,5025.699999999255,,,yes,1,1,,,,,,,Intro,NaN
4,1766181689884,19/12/2025 22:01:29,1766181689182,-6,19/12/2025 16:01:29,169297,30,task-quo2,,51544634,55b249bdfdf99b28e3c14b05,14785844,,complete,,6945caf0d5d377dfc9b6201e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 142.0.0.0,1920x1080,1920x945,,,,Task: Browser sound check,2,Incorrect~Correct,Spreadsheet1,,Spreadsheet1,1,1,4,continue,Zone2,timelimit_screen,1000,,,,0,0,,,,1,,,Intro,NaN
5,1766181695134,19/12/2025 22:01:35,1766181694100,-6,19/12/2025 16:01:34,169297,30,task-quo2,,51544634,55b249bdfdf99b28e3c14b05,14785844,,complete,,6945caf0d5d377dfc9b6201e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 142.0.0.0,1920x1080,1920x945,,,,Task: Browser sound check,2,Incorrect~Correct,Spreadsheet1,,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,4049.699999999255,,,,0,0,,,,,,,end,NaN
6,1766181695489,19/12/2025 22:01:35,1766181694116,-6,19/12/2025 16:01:34,169297,30,task-quo2,,51544634,55b249bdfdf99b28e3c14b05,14785844,,complete,,6945caf0d5d377dfc9b6201e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 142.0.0.0,1920x1080,1920x945,,,,Task: Browser sound check,2,Incorrect~Correct,Spreadsheet1,,,,END TASK,,,,,17878,,,,,,,,,,,,,NaN
1,1766262375870,20/12/2025 20:26:15,1766262375271,-5,20/12/2025 15:26:15,169297,30,task-quo2,,51562715,6266e63b82fa38e800e33a24,14788572,,complete,,6947065104ec759dcb1749b8,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1366x768,1366x633,,,,Task: Browser sound check,2,Correct,Spreadsheet1,,,,BEGIN TASK,,,,,,,,,,,,,,,,,,NaN
2,1766262392445,20/12/2025 20:26:32,1766262391907,-5,20/12/2025 15:26:31,169297,30,task-quo2,,51562715,6266e63b82fa38e800e33a24,14788572,,complete,,6947065104ec759dcb1749b8,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1366x768,1366x633,,,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,1,1,1,Screen 3,advancementZone,continue_button,15680.5,,,,0,0,,,,,,,Intro,NaN
3,1766262396306,20/12/2025 20:26:36,1766262395767,-5,20/12/2025 15:26:35,169297,30,task-quo2,,51562715,6266e63b82fa38e800e33a24,14788572,,complete,,6947065104ec759dcb1749b8,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1366x768,1366x633,,,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,1,1,2,Screen 4,buttonA,response_button_text,3838.2999999523163,,,yes,1,1,,,,,,,Intro,NaN
4,1766262397435,20/12/2025 20:26:37,1766262396880,-5,20/12/2025 15:26:36,169297,30,task-quo2,,51562715,6266e63b82fa38e800e33a24,14788572,,complete,,6947065104ec759dcb1749b8,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1366x768,1366x633,,,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,1,1,4,continue,Zone2,timelimit_screen,1000,,,,0,0,,,,1,,,Intro,NaN
5,1766262401396,20/12/2025 20:26:41,1766262400859,-5,20/12/2025 15:26:40,169297,30,task-quo2,,51562715,6266e63b82fa38e800e33a24,14788572,,complete,,6947065104ec759dcb1749b8,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1366x768,1366x633,,,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,3788.4000000953674,,,,0,0,,,,,,,end,NaN
