Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-fj4d,Manipulation: Randomise questionnaire elements?,Question Key,Response
1,1766159806998,19/12/2025 15:56:46,1766159806501,-5,19/12/2025 10:56:46,169297,29,questionnaire-tyvb,,51527860,682c3f62f2680e9a67130379,14783598,,complete,,6945759d8d2aed5bf583e031,computer,Desktop or Laptop,Windows 10,Chrome 141.0.0.0,1366x768,1280x593,,,,consent_loui,3,Correct,No,BEGIN QUESTIONNAIRE,
2,1766159866331,19/12/2025 15:57:46,1766159864090,-5,19/12/2025 10:57:44,169297,29,questionnaire-tyvb,,51527860,682c3f62f2680e9a67130379,14783598,,complete,,6945759d8d2aed5bf583e031,computer,Desktop or Laptop,Windows 10,Chrome 141.0.0.0,1366x768,1265x593,,,,consent_loui,3,Correct,No,consent-yes,1
3,1766159866954,19/12/2025 15:57:46,1766159864091,-5,19/12/2025 10:57:44,169297,29,questionnaire-tyvb,,51527860,682c3f62f2680e9a67130379,14783598,,complete,,6945759d8d2aed5bf583e031,computer,Desktop or Laptop,Windows 10,Chrome 141.0.0.0,1366x768,1265x593,,,,consent_loui,3,Correct,No,END QUESTIONNAIRE,57590
1,1766165661247,19/12/2025 17:34:21,1766165661133,-6,19/12/2025 11:34:21,169297,29,questionnaire-tyvb,,51534307,62a889993e01c9e01ee7066e,14784435,,complete,,69458c92850ce8798a57b02e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1680x1050,1680x962,,,,consent_loui,3,Correct,No,BEGIN QUESTIONNAIRE,
2,1766165664294,19/12/2025 17:34:24,1766165664201,-6,19/12/2025 11:34:24,169297,29,questionnaire-tyvb,,51534307,62a889993e01c9e01ee7066e,14784435,,complete,,69458c92850ce8798a57b02e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1680x1050,1680x962,,,,consent_loui,3,Correct,No,consent-yes,1
3,1766165664465,19/12/2025 17:34:24,1766165664202,-6,19/12/2025 11:34:24,169297,29,questionnaire-tyvb,,51534307,62a889993e01c9e01ee7066e,14784435,,complete,,69458c92850ce8798a57b02e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1680x1050,1680x962,,,,consent_loui,3,Correct,No,END QUESTIONNAIRE,3069
1,1766165667456,19/12/2025 17:34:27,1766165664193,-5,19/12/2025 12:34:24,169297,29,questionnaire-tyvb,,51534314,66f9a40196d53f05f2232cff,14784436,,complete,,69458c826bd0834fb98e1a75,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1366x768,1358x636,,,,consent_loui,3,Correct,No,BEGIN QUESTIONNAIRE,
2,1766165672037,19/12/2025 17:34:32,1766165668820,-5,19/12/2025 12:34:28,169297,29,questionnaire-tyvb,,51534314,66f9a40196d53f05f2232cff,14784436,,complete,,69458c826bd0834fb98e1a75,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1366x768,1343x636,,,,consent_loui,3,Correct,No,consent-yes,1
3,1766165672163,19/12/2025 17:34:32,1766165668822,-5,19/12/2025 12:34:28,169297,29,questionnaire-tyvb,,51534314,66f9a40196d53f05f2232cff,14784436,,complete,,69458c826bd0834fb98e1a75,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1366x768,1343x636,,,,consent_loui,3,Correct,No,END QUESTIONNAIRE,4629
1,1766165686807,19/12/2025 17:34:46,1766165686476,-5,19/12/2025 12:34:46,169297,29,questionnaire-tyvb,,51534336,62d43cee3d60ac98c1dcacc8,14784441,,complete,,69458cacab748cbf2ed1eb60,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1300x657,,,,consent_loui,3,Correct,No,BEGIN QUESTIONNAIRE,
