Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-fj4d,Manipulation: Spreadsheet,Manipulation: correctAnswerCount,Manipulation: EarlyExitButtonText,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,stimuli,ShowProgressBar
1,1766181412406,19/12/2025 21:56:52,1766181416095,-6,19/12/2025 15:56:56,169297,30,task-cusq,repeat-xtpj#1,51544538,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x773,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,,,BEGIN TASK,,,,,,,,,,,,,,,,,,,,
2,1766181419983,19/12/2025 21:56:59,1766181423719,-6,19/12/2025 15:57:03,169297,30,task-cusq,repeat-xtpj#1,51544538,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x773,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,1,Screen 5,Zone1,continue_button,6965.600000143051,,,,0,0,,,,,,,Instructions,,,
3,1766181432664,19/12/2025 21:57:12,1766181436399,-6,19/12/2025 15:57:16,169297,30,task-cusq,repeat-xtpj#1,51544538,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x773,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,2,Screen 2,Zone1,content_web_audio,12668.700000047684,,,AUDIO PLAY REQUESTED,1,0,,,,,,,Instructions,,,
4,1766181438307,19/12/2025 21:57:18,1766181442031,-6,19/12/2025 15:57:22,169297,30,task-cusq,repeat-xtpj#1,51544538,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x773,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,2,Screen 2,script,force_advance,18312.9,,,,0,0,,,,,,,Instructions,,,
5,1766181485891,19/12/2025 21:58:05,1766181489636,-6,19/12/2025 15:58:09,169297,30,task-cusq,repeat-xtpj#1,51544538,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x900,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,3,Screen 1,Zone2,content_web_audio,47584.90000009537,,,AUDIO PLAY REQUESTED,1,0,,,,,,,Instructions,,,
6,1766181491897,19/12/2025 21:58:11,1766181495641,-6,19/12/2025 15:58:15,169297,30,task-cusq,repeat-xtpj#1,51544538,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x900,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,3,Screen 1,Zone2,content_web_audio,53588.799999952316,,,,0,0,,,,,,,Instructions,,,
7,1766181500185,19/12/2025 21:58:20,1766181503932,-6,19/12/2025 15:58:23,169297,30,task-cusq,repeat-xtpj#1,51544538,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x900,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,4,Screen 6,Zone1,continue_button,8263.299999952316,,,,0,0,,,,,,,Instructions,,,
8,1766181523575,19/12/2025 21:58:43,1766181527323,-6,19/12/2025 15:58:47,169297,30,task-cusq,repeat-xtpj#1,51544538,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x900,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,5,Screen 3,Zone1,continue_button,23380.5,,,,0,0,,,,,,,Instructions,,,
9,1766181524572,19/12/2025 21:58:44,1766181528317,-6,19/12/2025 15:58:48,169297,30,task-cusq,repeat-xtpj#1,51544538,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x900,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,3,1,1,Screen 3,Zone3,timelimit_screen,1000,,,,0,0,,,,1,,1,Trial,3,HugginsPitch_2_3.flac,1
10,1766181524731,19/12/2025 21:58:44,1766181528342,-6,19/12/2025 15:58:48,169297,30,task-cusq,repeat-xtpj#1,51544538,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x900,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,3,1,2,Screen 1,content,content_web_audio,2.5,,,AUDIO PLAY REQUESTED,1,0,,,,,,1,Trial,3,HugginsPitch_2_3.flac,1
11,1766181530642,19/12/2025 21:58:50,1766181534381,-6,19/12/2025 15:58:54,169297,30,task-cusq,repeat-xtpj#1,51544538,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x900,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,3,1,2,Screen 1,content,content_web_audio,6041.5,,,,0,0,,,,,,1,Trial,3,HugginsPitch_2_3.flac,1
12,1766181531895,19/12/2025 21:58:51,1766181535643,-6,19/12/2025 15:58:55,169297,30,task-cusq,repeat-xtpj#1,51544538,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x900,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,3,1,3,Screen 2,buttonC,response_button_text,1232.8999998569489,,,3,1,1,,,,,,1,Trial,3,HugginsPitch_2_3.flac,1
13,1766181532873,19/12/2025 21:58:52,1766181536630,-6,19/12/2025 15:58:56,169297,30,task-cusq,repeat-xtpj#1,51544538,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x900,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,4,2,1,Screen 3,Zone3,timelimit_screen,999.9000000000087,,,,0,0,,,,1,,1,Trial,2,HugginsPitch_3_2.flac,1
14,1766181533034,19/12/2025 21:58:53,1766181536651,-6,19/12/2025 15:58:56,169297,30,task-cusq,repeat-xtpj#1,51544538,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x900,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,4,2,2,Screen 1,content,content_web_audio,1.9000000953674316,,,AUDIO PLAY REQUESTED,1,0,,,,,,1,Trial,2,HugginsPitch_3_2.flac,1
15,1766181538919,19/12/2025 21:58:58,1766181542653,-6,19/12/2025 15:59:02,169297,30,task-cusq,repeat-xtpj#1,51544538,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x900,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,4,2,2,Screen 1,content,content_web_audio,6004.299999952316,,,,0,0,,,,,,1,Trial,2,HugginsPitch_3_2.flac,1
16,1766181540283,19/12/2025 21:59:00,1766181544027,-6,19/12/2025 15:59:04,169297,30,task-cusq,repeat-xtpj#1,51544538,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x900,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,4,2,3,Screen 2,buttonB,response_button_text,1347.7999999523163,,,2,1,1,,,,,,1,Trial,2,HugginsPitch_3_2.flac,1
17,1766181541268,19/12/2025 21:59:01,1766181545011,-6,19/12/2025 15:59:05,169297,30,task-cusq,repeat-xtpj#1,51544538,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x900,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,6,3,1,Screen 3,Zone3,timelimit_screen,1000.1000000000058,,,,0,0,,,,1,,1,Trial,3,HugginsPitch_5_3.flac,1
18,1766181541408,19/12/2025 21:59:01,1766181545033,-6,19/12/2025 15:59:05,169297,30,task-cusq,repeat-xtpj#1,51544538,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x900,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,6,3,2,Screen 1,content,content_web_audio,2.299999952316284,,,AUDIO PLAY REQUESTED,1,0,,,,,,1,Trial,3,HugginsPitch_5_3.flac,1
19,1766181547304,19/12/2025 21:59:07,1766181551037,-6,19/12/2025 15:59:11,169297,30,task-cusq,repeat-xtpj#1,51544538,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x900,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,6,3,2,Screen 1,content,content_web_audio,6005.799999952316,,,,0,0,,,,,,1,Trial,3,HugginsPitch_5_3.flac,1
20,1766181548547,19/12/2025 21:59:08,1766181552298,-6,19/12/2025 15:59:12,169297,30,task-cusq,repeat-xtpj#1,51544538,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x900,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,6,3,3,Screen 2,buttonC,response_button_text,1233.1000001430511,,,3,1,1,,,,,,1,Trial,3,HugginsPitch_5_3.flac,1
21,1766181549561,19/12/2025 21:59:09,1766181553293,-6,19/12/2025 15:59:13,169297,30,task-cusq,repeat-xtpj#1,51544538,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x900,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,10,4,1,Screen 3,Zone3,timelimit_screen,999.8999999999942,,,,0,0,,,,1,,1,Trial,2,HugginsPitch_9_2.flac,1
22,1766181549732,19/12/2025 21:59:09,1766181553314,-6,19/12/2025 15:59:13,169297,30,task-cusq,repeat-xtpj#1,51544538,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x900,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,10,4,2,Screen 1,content,content_web_audio,1.8000001907348633,,,AUDIO PLAY REQUESTED,1,0,,,,,,1,Trial,2,HugginsPitch_9_2.flac,1
23,1766181555599,19/12/2025 21:59:15,1766181559326,-6,19/12/2025 15:59:19,169297,30,task-cusq,repeat-xtpj#1,51544538,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x900,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,10,4,2,Screen 1,content,content_web_audio,6012.800000190735,,,,0,0,,,,,,1,Trial,2,HugginsPitch_9_2.flac,1
24,1766181556773,19/12/2025 21:59:16,1766181560530,-6,19/12/2025 15:59:20,169297,30,task-cusq,repeat-xtpj#1,51544538,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x900,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,10,4,3,Screen 2,buttonB,response_button_text,1178.2000000476837,,,2,1,1,,,,,,1,Trial,2,HugginsPitch_9_2.flac,1
25,1766181557789,19/12/2025 21:59:17,1766181561525,-6,19/12/2025 15:59:21,169297,30,task-cusq,repeat-xtpj#1,51544538,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x900,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,12,5,1,Screen 3,Zone3,timelimit_screen,1000,,,,0,0,,,,1,,1,Trial,3,HugginsPitch_11_3.flac,1
26,1766181557946,19/12/2025 21:59:17,1766181561549,-6,19/12/2025 15:59:21,169297,30,task-cusq,repeat-xtpj#1,51544538,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x900,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,12,5,2,Screen 1,content,content_web_audio,1.9000000953674316,,,AUDIO PLAY REQUESTED,1,0,,,,,,1,Trial,3,HugginsPitch_11_3.flac,1
27,1766181563808,19/12/2025 21:59:23,1766181567552,-6,19/12/2025 15:59:27,169297,30,task-cusq,repeat-xtpj#1,51544538,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x900,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,12,5,2,Screen 1,content,content_web_audio,6004.600000143051,,,,0,0,,,,,,1,Trial,3,HugginsPitch_11_3.flac,1
28,1766181564841,19/12/2025 21:59:24,1766181568577,-6,19/12/2025 15:59:28,169297,30,task-cusq,repeat-xtpj#1,51544538,60463896f9a82809f6eda231,14785832,,complete,,6945c9b8f591afc7c4b7d251,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1600x900,1600x900,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,12,5,3,Screen 2,buttonC,response_button_text,1013.9000000953674,,,3,1,1,,,,,,1,Trial,3,HugginsPitch_11_3.flac,1
