StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,POSDEV_36_1,POSDEV_74_1,POSDEVrm_9_1,POSDEV_46_1,POSDEV_30_1,gmsi39,id,PUBLICID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,I felt safe sharing my feelings and problems with my caregiver(s). - Not at all true:Very true,My close friends knew a lot about me. - Not at all true:Very true,This positive role model knew a lot about me. - Not at all true:Very true,"I would do fun activities (e.g., go to a park, museum, movie, live theater, music performance, etc.) with my caregiver(s). - Not at all true:Very true",I felt comfortable being myself around my caregiver(s). - Not at all true:Very true,"I engaged in regular, daily practice of a musical instrument (including voice) for ___ years.",id,PUBLICID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID13""}","{""ImportId"":""id""}","{""ImportId"":""PUBLICID""}"
2024-11-19 12:28:31,2024-11-19 12:29:40,0,155.33.135.8,100,69,1,2024-11-19 12:29:41,R_58Syo29eKH28WYa,,,,,42.3252,-71.095,anonymous,EN,4,2,4,5,4,7,TEAM_YA_080,
2024-11-19 14:20:59,2024-11-19 14:22:13,0,155.33.135.13,100,74,1,2024-11-19 14:22:14,R_5Gx69fHWkn5v58l,,,,,42.3252,-71.095,anonymous,EN,2,4,5,4,3,1,TEAM_YA_065,
2024-12-02 08:38:25,2024-12-02 08:38:47,0,155.33.134.32,100,22,1,2024-12-02 08:38:48,R_6ps4ADVsywC570p,,,,,42.3252,-71.095,anonymous,EN,4,5,5,5,5,7,,
2024-12-03 09:56:08,2024-12-03 09:58:40,0,155.33.133.19,100,152,1,2024-12-03 09:58:41,R_78J65hnQHxIze9C,,,,,42.3252,-71.095,anonymous,EN,5,5,2,1,4,6,513,
2024-12-03 11:11:29,2024-12-03 11:13:10,0,155.33.133.2,100,101,1,2024-12-03 11:13:11,R_1ipfq1GhMiVj35n,,,,,42.3252,-71.095,anonymous,EN,5,5,4,5,5,6,503,
2024-12-03 13:47:28,2024-12-03 13:48:47,0,155.33.133.10,100,78,1,2024-12-03 13:48:47,R_33qKgYcjaWzSPS7,,,,,42.3252,-71.095,anonymous,EN,5,5,5,5,5,6,TEAM_YA_067,
2024-12-04 13:51:53,2024-12-04 13:52:59,0,155.33.133.36,100,65,1,2024-12-04 13:52:59,R_3kuDkFAjMoTucS4,,,,,42.3252,-71.095,anonymous,EN,1,3,3,4,4,1,TEAM_YA_074,
2024-12-05 13:27:35,2024-12-05 13:28:27,0,155.33.132.55,100,52,1,2024-12-05 13:28:28,R_6OTZffE0dilyqcQ,,,,,42.3252,-71.095,anonymous,EN,5,5,5,5,5,1,522,
2024-12-06 08:36:31,2024-12-06 08:37:13,0,155.33.134.61,100,41,1,2024-12-06 08:37:14,R_1zhl5naOM4KF0Pv,,,,,42.3252,-71.095,anonymous,EN,5,5,5,5,5,6,TEAM_YA_072,
2024-12-06 11:56:51,2024-12-06 11:57:45,0,155.33.134.61,100,53,1,2024-12-06 11:57:46,R_5EX4ouopgM3kWhp,,,,,42.3252,-71.095,anonymous,EN,3,5,4,4,4,1,TEAM_YA_073,
2024-12-06 13:58:26,2024-12-06 13:59:16,0,155.33.134.61,100,49,1,2024-12-06 13:59:16,R_14Jtu8AkKHTwTcZ,,,,,42.3252,-71.095,anonymous,EN,4,4,5,5,5,5,TEAM_YA_077,
2024-12-07 15:05:56,2024-12-07 15:07:32,0,73.218.227.99,100,95,1,2024-12-07 15:07:33,R_3m8pocSTwPjkDSN,,,,,42.2904,-71.0712,anonymous,EN,4,3,2,2,4,2,544,
2024-12-02 07:13:05,2024-12-02 07:13:13,0,65.112.8.24,8,8,0,2024-12-09 07:13:17,R_1i9jgt7sgZgUII6,,,,,,,anonymous,EN,,,,,,,,
2024-12-03 11:57:32,2024-12-03 11:58:37,0,155.33.132.55,83,64,0,2024-12-10 11:58:41,R_10ZpoddSqGQMQj7,,,,,,,anonymous,EN,4,3,4,5,5,,TEAM_YA_071,
2024-12-12 08:26:52,2024-12-12 08:27:23,0,65.112.8.27,100,31,1,2024-12-12 08:27:24,R_514MVU5d4e66CGw,,,,,42.3737,-71.1284,anonymous,EN,4,4,4,4,4,5,530,
2024-12-09 10:13:29,2024-12-09 10:15:39,0,155.33.135.30,83,130,0,2024-12-16 10:15:40,R_67JB4JGJvRmE8zM,,,,,,,anonymous,EN,5,4,1,4,4,,TEAM_YA_092,
2024-12-17 15:24:15,2024-12-17 15:25:06,0,155.33.132.3,100,51,1,2024-12-17 15:25:07,R_7ND8HP4Zqyr7Pgq,,,,,42.3531,-71.0958,anonymous,EN,4,5,1,4,4,1,TEAM_YA_066,
2024-12-20 13:19:07,2024-12-20 13:20:07,0,69.248.139.224,100,59,1,2024-12-20 13:20:07,R_1FDtH2sISE61THy,,,,,40.4311,-74.4061,anonymous,EN,4,5,3,3,5,3,536,
2024-12-19 09:58:22,2024-12-19 09:59:34,0,155.33.132.3,8,72,0,2024-12-26 09:59:38,R_55z2DCDb4OSXvgb,,,,,42.3531,-71.0958,anonymous,EN,,,,,,,TEAM_YA_079,
2024-12-26 15:40:04,2024-12-26 15:41:00,0,72.85.59.112,100,56,1,2024-12-26 15:41:01,R_6nPGD7yoT6hyzNI,,,,,39.268,-76.851,anonymous,EN,3,5,3,3,2,7,531,
2024-12-28 11:12:37,2024-12-28 11:14:51,0,99.137.15.220,100,133,1,2024-12-28 11:14:52,R_68PehzCtsUoG6Q5,,,,,42.4649,-83.3684,anonymous,EN,2,3,3,5,2,6,523,
2025-01-22 13:29:04,2025-01-22 15:31:10,0,155.33.132.42,8,7326,0,2025-01-29 15:31:14,R_6aqMl4NL8iwaaju,,,,,42.3253,-71.0951,anonymous,EN,,,,,,,TEAM_YA_103,
2025-01-28 11:14:35,2025-01-28 11:15:54,0,155.33.133.55,8,78,0,2025-02-04 11:15:56,R_67PWMhzriS9O1KK,,,,,42.3253,-71.0951,anonymous,EN,,,,,,,TEAM_YA_108,
2025-01-30 12:56:52,2025-01-30 12:56:55,0,155.33.132.21,8,2,0,2025-02-06 12:56:56,R_1dGVnEnVQsaRpX9,,,,,42.3253,-71.0951,anonymous,EN,,,,,,,TEAM_YA_109,
2025-02-05 11:57:41,2025-02-08 08:38:57,0,155.33.134.38,8,247276,0,2025-02-15 08:39:00,R_6HjhuXlyJyEms38,,,,,42.3253,-71.0951,anonymous,EN,,,,,,,TEAM_YA_101,
