Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: randomise_block,Spreadsheet: emotion_rating,Spreadsheet: randomise_trial,Spreadsheet: emotion,Spreadsheet: Audio,Spreadsheet: angry_rating,Spreadsheet: disgusted_rating,Spreadsheet: scared_rating,Spreadsheet: sad_rating,Spreadsheet: anxious_rating,Spreadsheet: happy_rating,Spreadsheet: proud_rating,Spreadsheet: excited_rating,Spreadsheet: joyful_rating,Spreadsheet: satisfied_rating,Manipulation: Spreadsheet
1,1720804820040,12/07/2024 17:20:20,1720790420040,-4,12/07/2024 09:20:20,169297,8,task-6dig,,38946487,TEAM_YA_029,11419166,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1536x864,1488x750,,,0,rating-task,9,Spreadsheet,Spreadsheet,,,,,,info,START SUBSYSTEM base.component.audioSubsystem,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1720804830709,12/07/2024 17:20:30,1720790430709,-4,12/07/2024 09:20:30,169297,8,task-6dig,,38946487,TEAM_YA_029,11419166,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1536x864,1488x750,,,0,rating-task,9,Spreadsheet,Spreadsheet,,,,,,info,SUBSYSTEM READY base.component.audioSubsystem,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1720804830717,12/07/2024 17:20:30,1720790430717,-4,12/07/2024 09:20:30,169297,8,task-6dig,,38946487,TEAM_YA_029,11419166,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1536x864,1488x750,,,0,rating-task,9,Spreadsheet,Spreadsheet,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1720804866170,12/07/2024 17:21:06,1720790466170,-4,12/07/2024 09:21:06,169297,8,task-6dig,,38946487,TEAM_YA_029,11419166,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1536x864,1536x864,,,0,rating-task,9,Spreadsheet,Spreadsheet,1,Instructions,Screen 1,per9qq,1,continue,,34793.500000000044,34783.600000000006,34793.500000000044,34793.500000000044,34783.600000000006,34793.500000000044,1,34793.500000000044,0,0,,Click To Continue,Continue Button,2,object-4,Instructions,,,,,,,,,,,,,,,,,
5,1720804869126,12/07/2024 17:21:09,1720790469126,-4,12/07/2024 09:21:09,169297,8,task-6dig,,38946487,TEAM_YA_029,11419166,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1536x864,1536x864,,,0,rating-task,9,Spreadsheet,Spreadsheet,1,Fixation_Image_Practice,Screen 1,pli4rm,1,continue,,2966.699999999997,2966.699999999997,2966.699999999997,2966.699999999997,2966.699999999997,2966.699999999997,1,2966.699999999997,0,0,,Fixation Timing,Fixation Cross,1,object-67,Fixation_Image_Practice,Coffee 1.jpg,,,,,,,,,,,,,,,,
6,1720804877124,12/07/2024 17:21:17,1720790477124,-4,12/07/2024 09:21:17,169297,8,task-6dig,,38946487,TEAM_YA_029,11419166,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1536x864,1536x864,,,0,rating-task,9,Spreadsheet,Spreadsheet,1,Fixation_Image_Practice,Screen 2,g2ouef,2,timedOut,,0,0,0,8002.599999999955,8000,8002.599999999955,1,0,0,0,,Time Limit,screen,0,screen,Fixation_Image_Practice,Coffee 1.jpg,,,,,,,,,,,,,,,,
7,1720804877131,12/07/2024 17:21:17,1720790477131,-4,12/07/2024 09:21:17,169297,8,task-6dig,,38946487,TEAM_YA_029,11419166,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1536x864,1536x864,,,0,rating-task,9,Spreadsheet,Spreadsheet,1,Ratings_Practice,Screen 1,smykl5,1,info,,9.799999999908323,0,9.799999999908323,9.799999999908323,0,9.799999999908323,1,9.799999999908323,0,0,,Slider,Anxious Slider,3,object-118,Ratings_Practice,Coffee 1.jpg,,,,,,angry,,,,anxious,,,excited,,satisfied,
8,1720804877131,12/07/2024 17:21:17,1720790477131,-4,12/07/2024 09:21:17,169297,8,task-6dig,,38946487,TEAM_YA_029,11419166,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1536x864,1536x864,,,0,rating-task,9,Spreadsheet,Spreadsheet,1,Ratings_Practice,Screen 1,smykl5,1,info,,10.200000000048021,0,10.200000000048021,10.200000000048021,0,10.200000000048021,1,10.200000000048021,0,0,,Slider,Satisfied Slider,5,object-120,Ratings_Practice,Coffee 1.jpg,,,,,,angry,,,,anxious,,,excited,,satisfied,
9,1720804877131,12/07/2024 17:21:17,1720790477131,-4,12/07/2024 09:21:17,169297,8,task-6dig,,38946487,TEAM_YA_029,11419166,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1536x864,1536x864,,,0,rating-task,9,Spreadsheet,Spreadsheet,1,Ratings_Practice,Screen 1,smykl5,1,info,,10.400000000001455,0,10.400000000001455,10.400000000001455,0,10.400000000001455,1,10.400000000001455,0,0,,Slider,Angry Slider,7,object-122,Ratings_Practice,Coffee 1.jpg,,,,,,angry,,,,anxious,,,excited,,satisfied,
10,1720804877132,12/07/2024 17:21:17,1720790477132,-4,12/07/2024 09:21:17,169297,8,task-6dig,,38946487,TEAM_YA_029,11419166,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1536x864,1536x864,,,0,rating-task,9,Spreadsheet,Spreadsheet,1,Ratings_Practice,Screen 1,smykl5,1,info,,10.599999999954889,0,10.599999999954889,10.599999999954889,0,10.599999999954889,1,10.599999999954889,0,0,,Slider,Excited Slider,9,object-124,Ratings_Practice,Coffee 1.jpg,,,,,,angry,,,,anxious,,,excited,,satisfied,
11,1720804983844,12/07/2024 17:23:03,1720790583844,-4,12/07/2024 09:23:03,169297,8,task-6dig,,38946487,TEAM_YA_029,11419166,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1536x864,1488x750,,,0,rating-task,9,Spreadsheet,Spreadsheet,1,Ratings_Practice,Screen 1,smykl5,1,continue,,106715.49999999985,106701.5,106715.49999999985,106715.49999999985,106701.5,106715.49999999985,1,106715.49999999985,0,0,,Click To Continue,Continue,10,object-125,Ratings_Practice,Coffee 1.jpg,,,,,,angry,,,,anxious,,,excited,,satisfied,
