Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,EarlyExitButtonText,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,3
1,1720804795537,12/07/2024 17:19:55,1720804795709,-4,12/07/2024 13:19:55,169297,8,task-t8eh,,38946479,TEAM_YA_029,11419166,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1536x864,1488x750,,,,Task: Browser sound check,2,Spreadsheet1,,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1720804805744,12/07/2024 17:20:05,1720804805953,-4,12/07/2024 13:20:05,169297,8,task-t8eh,,38946479,TEAM_YA_029,11419166,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1536x864,1488x750,,,,Task: Browser sound check,2,Spreadsheet1,,Spreadsheet1,1,1,1,Screen 3,advancementZone,continue_button,9664,,,,,0,1,0,,,,,,Intro,
3,1720804811240,12/07/2024 17:20:11,1720804811475,-4,12/07/2024 13:20:11,169297,8,task-t8eh,,38946479,TEAM_YA_029,11419166,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1536x864,1488x750,,,,Task: Browser sound check,2,Spreadsheet1,,Spreadsheet1,1,1,2,Screen 4,buttonA,response_button_text,5506.199999999953,,,yes,1,1,0,0,,,,,,Intro,
4,1720804812246,12/07/2024 17:20:12,1720804812466,-4,12/07/2024 13:20:12,169297,8,task-t8eh,,38946479,TEAM_YA_029,11419166,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1536x864,1488x750,,,,Task: Browser sound check,2,Spreadsheet1,,Spreadsheet1,1,1,4,continue,Zone2,timelimit_screen,1000.1000000000022,,,,,0,1,0,,,1,,,Intro,
5,1720804815310,12/07/2024 17:20:15,1720804815528,-4,12/07/2024 13:20:15,169297,8,task-t8eh,,38946479,TEAM_YA_029,11419166,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1536x864,1488x750,,,,Task: Browser sound check,2,Spreadsheet1,,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,2978.4000000001397,,,,,0,1,0,,,,,,end,
6,1720804815409,12/07/2024 17:20:15,1720804815542,-4,12/07/2024 13:20:15,169297,8,task-t8eh,,38946479,TEAM_YA_029,11419166,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1536x864,1488x750,,,,Task: Browser sound check,2,Spreadsheet1,,,,END TASK,,,,,19833,,,,,0,1,0,,,,,,,
1,1720807130373,12/07/2024 17:58:50,1720807130216,-4,12/07/2024 13:58:50,169297,8,task-t8eh,,38947001,240712CPAR,11419382,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x690,,,,Task: Browser sound check,2,Spreadsheet1,,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1720807137746,12/07/2024 17:58:57,1720807137648,-4,12/07/2024 13:58:57,169297,8,task-t8eh,,38947001,240712CPAR,11419382,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x690,,,,Task: Browser sound check,2,Spreadsheet1,,Spreadsheet1,1,1,1,Screen 3,advancementZone,continue_button,7130.399999991059,,,,,0,1,0,,,,,,Intro,
3,1720807141628,12/07/2024 17:59:01,1720807141498,-4,12/07/2024 13:59:01,169297,8,task-t8eh,,38947001,240712CPAR,11419382,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x690,,,,Task: Browser sound check,2,Spreadsheet1,,Spreadsheet1,1,1,2,Screen 4,buttonA,response_button_text,3836,,,yes,1,1,0,0,,,,,,Intro,
4,1720807142582,12/07/2024 17:59:02,1720807142480,-4,12/07/2024 13:59:02,169297,8,task-t8eh,,38947001,240712CPAR,11419382,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x690,,,,Task: Browser sound check,2,Spreadsheet1,,Spreadsheet1,1,1,4,continue,Zone2,timelimit_screen,998.8999999999996,,,,,0,1,0,,,1,,,Intro,
5,1720807144833,12/07/2024 17:59:04,1720807144729,-4,12/07/2024 13:59:04,169297,8,task-t8eh,,38947001,240712CPAR,11419382,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x690,,,,Task: Browser sound check,2,Spreadsheet1,,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,2193.4000000059605,,,,,0,1,0,,,,,,end,
6,1720807144927,12/07/2024 17:59:04,1720807144730,-4,12/07/2024 13:59:04,169297,8,task-t8eh,,38947001,240712CPAR,11419382,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x690,,,,Task: Browser sound check,2,Spreadsheet1,,,,END TASK,,,,,14514,,,,,0,1,0,,,,,,,
END OF FILE
