"","Participant.Public.ID","Response","Object.Name","Spreadsheet..Audio"
"1","TEAM_YA_029",33,"Anxious Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"2","TEAM_YA_029",19,"Satisfied Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"3","TEAM_YA_029",22,"Angry Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"4","TEAM_YA_029",4,"Excited Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"5","TEAM_YA_029",0,"Happy Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"6","TEAM_YA_029",10,"Disgusted Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"7","TEAM_YA_029",17,"Sad Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"8","TEAM_YA_029",3,"Proud Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"9","TEAM_YA_029",14,"Scared Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"10","TEAM_YA_029",0,"Joyful Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"11","TEAM_YA_029",9,"Anxious Slider","5_pieceB_calm_sad_anxious_7.mp3"
"12","TEAM_YA_029",36,"Satisfied Slider","5_pieceB_calm_sad_anxious_7.mp3"
"13","TEAM_YA_029",0,"Angry Slider","5_pieceB_calm_sad_anxious_7.mp3"
"14","TEAM_YA_029",28,"Excited Slider","5_pieceB_calm_sad_anxious_7.mp3"
"15","TEAM_YA_029",26,"Happy Slider","5_pieceB_calm_sad_anxious_7.mp3"
"16","TEAM_YA_029",0,"Disgusted Slider","5_pieceB_calm_sad_anxious_7.mp3"
"17","TEAM_YA_029",12,"Sad Slider","5_pieceB_calm_sad_anxious_7.mp3"
"18","TEAM_YA_029",16,"Proud Slider","5_pieceB_calm_sad_anxious_7.mp3"
"19","TEAM_YA_029",1,"Scared Slider","5_pieceB_calm_sad_anxious_7.mp3"
"20","TEAM_YA_029",24,"Joyful Slider","5_pieceB_calm_sad_anxious_7.mp3"
"21","TEAM_YA_029",8,"Anxious Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"22","TEAM_YA_029",36,"Satisfied Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"23","TEAM_YA_029",0,"Angry Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"24","TEAM_YA_029",39,"Excited Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"25","TEAM_YA_029",22,"Happy Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"26","TEAM_YA_029",0,"Disgusted Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"27","TEAM_YA_029",10,"Sad Slider","12_pieceA_joyous_sad_anxious_2.mp3"
