Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-fj4d,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
﻿1,1744941294109,"18/04/2025, 01:54:54",1744916094109,-7,"17/04/2025, 11:54:54",169297,28,questionnaire-fvyp,,45489679,35335,13221100,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 134.0.0.0,1710x1107,1710x981,,Instructions,2,Correct,,,,,info,,BEGIN,,,,,
3,1744941295888,"18/04/2025, 01:54:55",1744916095888,-7,"17/04/2025, 11:54:55",169297,28,questionnaire-fvyp,,45489679,35335,13221100,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 134.0.0.0,1710x1107,1710x981,,Instructions,2,Correct,,,,,info,,END,1771,,,,
﻿1,1746474407184,"05/05/2025, 19:46:47",1746460007184,-4,"05/05/2025, 11:46:47",169297,28,questionnaire-fvyp,,45879142,36118,13351342,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5,1470x956,1470x817,,Instructions,2,Correct,,,,,info,,BEGIN,,,,,
3,1746474462444,"05/05/2025, 19:47:42",1746460062444,-4,"05/05/2025, 11:47:42",169297,28,questionnaire-fvyp,,45879142,36118,13351342,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5,1470x956,1470x817,,Instructions,2,Correct,,,,,info,,END,55249,,,,
﻿1,1746477047651,"05/05/2025, 20:30:47",1746451847651,-7,"05/05/2025, 06:30:47",169297,28,questionnaire-fvyp,,45879909,35464,13351546,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1536x864,1536x730,,Instructions,2,Correct,,,,,info,,BEGIN,,,,,
3,1746477053996,"05/05/2025, 20:30:53",1746451853996,-7,"05/05/2025, 06:30:53",169297,28,questionnaire-fvyp,,45879909,35464,13351546,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1536x864,1536x730,,Instructions,2,Correct,,,,,info,,END,6330,,,,
﻿1,1746486137167,"05/05/2025, 23:02:17",1746471737167,-4,"05/05/2025, 15:02:17",169297,28,questionnaire-fvyp,,45881937,35581,13352263,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.3.1,1470x956,1324x767,,Instructions,2,Correct,,,,,info,,BEGIN,,,,,
3,1746486141373,"05/05/2025, 23:02:21",1746471741373,-4,"05/05/2025, 15:02:21",169297,28,questionnaire-fvyp,,45881937,35581,13352263,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.3.1,1470x956,1324x767,,Instructions,2,Correct,,,,,info,,END,4195,,,,
﻿1,1746502090440,"06/05/2025, 03:28:10",1746487690440,-4,"05/05/2025, 19:28:10",169297,28,questionnaire-fvyp,,45884786,35692,13352785,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1422x952,,Instructions,2,Correct,,,,,info,,BEGIN,,,,,
3,1746502095486,"06/05/2025, 03:28:15",1746487695486,-4,"05/05/2025, 19:28:15",169297,28,questionnaire-fvyp,,45884786,35692,13352785,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1422x952,,Instructions,2,Correct,,,,,info,,END,5040,,,,
﻿1,1746555458205,"06/05/2025, 18:17:38",1746541058205,-4,"06/05/2025, 10:17:38",169297,28,questionnaire-fvyp,,45909286,35503,13359454,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 132.0.0.0,1366x768,1366x681,,Instructions,2,Correct,,,,,info,,BEGIN,,,,,
3,1746555491463,"06/05/2025, 18:18:11",1746541091463,-4,"06/05/2025, 10:18:11",169297,28,questionnaire-fvyp,,45909286,35503,13359454,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 132.0.0.0,1366x768,1366x681,,Instructions,2,Correct,,,,,info,,END,33228,,,,
﻿1,1746556725081,"06/05/2025, 18:38:45",1746542325081,-4,"06/05/2025, 10:38:45",169297,28,questionnaire-fvyp,,45909881,35725,13359615,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 118.0.0.0,1707x1067,1666x911,,Instructions,2,Correct,,,,,info,,BEGIN,,,,,
3,1746556733960,"06/05/2025, 18:38:53",1746542333960,-4,"06/05/2025, 10:38:53",169297,28,questionnaire-fvyp,,45909881,35725,13359615,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 118.0.0.0,1707x1067,1666x911,,Instructions,2,Correct,,,,,info,,END,8873,,,,
﻿1,1746566411070,"06/05/2025, 21:20:11",1746541211070,-7,"06/05/2025, 07:20:11",169297,28,questionnaire-fvyp,,45914255,35593,13360780,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1329x747,,Instructions,2,Incorrect~Incorrect~Correct,,,,,info,,BEGIN,,,,,
3,1746566429880,"06/05/2025, 21:20:29",1746541229880,-7,"06/05/2025, 07:20:29",169297,28,questionnaire-fvyp,,45914255,35593,13360780,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1329x747,,Instructions,2,Incorrect~Incorrect~Correct,,,,,info,,END,18801,,,,
﻿1,1746574732242,"06/05/2025, 23:38:52",1746560332242,-4,"06/05/2025, 15:38:52",169297,28,questionnaire-fvyp,,45915793,35518,13361151,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1280x720,1280x585,,Instructions,2,Incorrect~Correct,,,,,info,,BEGIN,,,,,
3,1746574745852,"06/05/2025, 23:39:05",1746560345852,-4,"06/05/2025, 15:39:05",169297,28,questionnaire-fvyp,,45915793,35518,13361151,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1280x720,1280x585,,Instructions,2,Incorrect~Correct,,,,,info,,END,13598,,,,
