Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response,branch-fj4d
﻿1,1744941270056,"18/04/2025, 01:54:30",1744941269892,-7,"17/04/2025, 18:54:29",169297,28,questionnaire-tyvb,,45489677,35335,13221100,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 134.0.0.0,1710x1107,1710x981,,consent_loui,3,No,BEGIN QUESTIONNAIRE,,Correct
2,1744941272942,"18/04/2025, 01:54:32",1744941272825,-7,"17/04/2025, 18:54:32",169297,28,questionnaire-tyvb,,45489677,35335,13221100,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 134.0.0.0,1710x1107,1710x981,,consent_loui,3,No,consent-yes,1,Correct
3,1744941273120,"18/04/2025, 01:54:33",1744941272827,-7,"17/04/2025, 18:54:32",169297,28,questionnaire-tyvb,,45489677,35335,13221100,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 134.0.0.0,1710x1107,1710x981,,consent_loui,3,No,END QUESTIONNAIRE,2935,Correct
﻿1,1746474369147,"05/05/2025, 19:46:09",1746474368834,-4,"05/05/2025, 15:46:08",169297,28,questionnaire-tyvb,,45879127,36118,13351342,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5,1470x956,1470x817,,consent_loui,3,No,BEGIN QUESTIONNAIRE,,Correct
2,1746474386894,"05/05/2025, 19:46:26",1746474386637,-4,"05/05/2025, 15:46:26",169297,28,questionnaire-tyvb,,45879127,36118,13351342,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5,1470x956,1470x817,,consent_loui,3,No,consent-yes,1,Correct
3,1746474387204,"05/05/2025, 19:46:27",1746474386640,-4,"05/05/2025, 15:46:26",169297,28,questionnaire-tyvb,,45879127,36118,13351342,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5,1470x956,1470x817,,consent_loui,3,No,END QUESTIONNAIRE,17806,Correct
﻿1,1746476977135,"05/05/2025, 20:29:37",1746476973290,-7,"05/05/2025, 13:29:33",169297,28,questionnaire-tyvb,,45879884,35464,13351546,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1536x864,1536x730,,consent_loui,3,No,BEGIN QUESTIONNAIRE,,Correct
2,1746477024795,"05/05/2025, 20:30:24",1746477021027,-7,"05/05/2025, 13:30:21",169297,28,questionnaire-tyvb,,45879884,35464,13351546,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1536x864,1521x730,,consent_loui,3,No,consent-yes,1,Correct
3,1746477025086,"05/05/2025, 20:30:25",1746477021028,-7,"05/05/2025, 13:30:21",169297,28,questionnaire-tyvb,,45879884,35464,13351546,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1536x864,1521x730,,consent_loui,3,No,END QUESTIONNAIRE,47738,Correct
﻿1,1746486115148,"05/05/2025, 23:01:55",1746486115001,-4,"05/05/2025, 19:01:55",169297,28,questionnaire-tyvb,,45881933,35581,13352263,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.3.1,1470x956,1324x767,,consent_loui,3,No,BEGIN QUESTIONNAIRE,,Correct
