Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,correctAnswerCount,EarlyExitButtonText,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,stimuli,ShowProgressBar,branch-fj4d
﻿1,1744941300050,"18/04/2025, 01:55:00",1744941299915,-7,"17/04/2025, 18:54:59",169297,28,task-cusq,repeat-xtpj#1,45489680,35335,13221100,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 134.0.0.0,1710x1107,1710x981,,Headphone Screen using Huggins' Pitch,2,Spreadsheet1,correctAnswerCount,,,,BEGIN TASK,,,,,,,,,,,,,,,,,,,,,Correct
2,1744941303619,"18/04/2025, 01:55:03",1744941303497,-7,"17/04/2025, 18:55:03",169297,28,task-cusq,repeat-xtpj#1,45489680,35335,13221100,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 134.0.0.0,1710x1107,1710x981,,Headphone Screen using Huggins' Pitch,2,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,1,Screen 5,Zone1,continue_button,1878.2999999523163,,,,0,,,,,,,,Instructions,,,,Correct
3,1744941305035,"18/04/2025, 01:55:05",1744941304911,-7,"17/04/2025, 18:55:04",169297,28,task-cusq,repeat-xtpj#1,45489680,35335,13221100,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 134.0.0.0,1710x1107,1710x981,,Headphone Screen using Huggins' Pitch,2,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,2,Screen 2,Zone1,content_web_audio,1407.7999999523163,,,AUDIO PLAY REQUESTED,1,,,,,,,,Instructions,,,,Correct
4,1744941305999,"18/04/2025, 01:55:05",1744941305864,-7,"17/04/2025, 18:55:05",169297,28,task-cusq,repeat-xtpj#1,45489680,35335,13221100,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 134.0.0.0,1710x1107,1710x981,,Headphone Screen using Huggins' Pitch,2,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,2,Screen 2,script,force_advance,2366.7,,,,0,,,,,,,,Instructions,,,,Correct
5,1744941307034,"18/04/2025, 01:55:07",1744941306937,-7,"17/04/2025, 18:55:06",169297,28,task-cusq,repeat-xtpj#1,45489680,35335,13221100,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 134.0.0.0,1710x1107,1710x1069,,Headphone Screen using Huggins' Pitch,2,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,3,Screen 1,Zone2,content_web_audio,1066.9000000953674,,,AUDIO PLAY REQUESTED,1,,,,,,,,Instructions,,,,Correct
6,1744941313037,"18/04/2025, 01:55:13",1744941312940,-7,"17/04/2025, 18:55:12",169297,28,task-cusq,repeat-xtpj#1,45489680,35335,13221100,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 134.0.0.0,1710x1107,1710x1069,,Headphone Screen using Huggins' Pitch,2,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,3,Screen 1,Zone2,content_web_audio,7070.200000047684,,,,0,,,,,,,,Instructions,,,,Correct
7,1744941313287,"18/04/2025, 01:55:13",1744941313174,-7,"17/04/2025, 18:55:13",169297,28,task-cusq,repeat-xtpj#1,45489680,35335,13221100,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 134.0.0.0,1710x1107,1710x1069,,Headphone Screen using Huggins' Pitch,2,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,4,Screen 6,Zone2,content_web_audio,226.30000007152557,,,AUDIO PLAY REQUESTED,1,,,,,,,,Instructions,,,,Correct
8,1744941314883,"18/04/2025, 01:55:14",1744941314753,-7,"17/04/2025, 18:55:14",169297,28,task-cusq,repeat-xtpj#1,45489680,35335,13221100,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 134.0.0.0,1710x1107,1710x1069,,Headphone Screen using Huggins' Pitch,2,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,4,Screen 6,Zone1,continue_button,1803.8000000715256,,,,0,,,,,,,,Instructions,,,,Correct
9,1744941316608,"18/04/2025, 01:55:16",1744941316466,-7,"17/04/2025, 18:55:16",169297,28,task-cusq,repeat-xtpj#1,45489680,35335,13221100,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 134.0.0.0,1710x1107,1710x1069,,Headphone Screen using Huggins' Pitch,2,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,5,Screen 3,Zone1,continue_button,1705.5,,,,0,,,,,,,,Instructions,,,,Correct
10,1744941317626,"18/04/2025, 01:55:17",1744941317454,-7,"17/04/2025, 18:55:17",169297,28,task-cusq,repeat-xtpj#1,45489680,35335,13221100,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 134.0.0.0,1710x1107,1710x1069,,Headphone Screen using Huggins' Pitch,2,Spreadsheet1,correctAnswerCount,,Spreadsheet1,4,1,1,Screen 3,Zone3,timelimit_screen,999.3999999999978,,,,0,,,,,1,,1,Trial,2,HugginsPitch_3_2.flac,1,Correct
