Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-fj4d,Spreadsheet,EarlyExitButtonText,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,3
﻿1,1744941275176,"18/04/2025, 01:54:35",1744941275019,-7,"17/04/2025, 18:54:35",169297,28,task-quo2,,45489678,35335,13221100,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 134.0.0.0,1710x1107,1710x981,,Task: Browser sound check,2,Correct,Spreadsheet1,,,,BEGIN TASK,,,,,,,,,,,,,,,,,,
2,1744941278817,"18/04/2025, 01:54:38",1744941278700,-7,"17/04/2025, 18:54:38",169297,28,task-quo2,,45489678,35335,13221100,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 134.0.0.0,1710x1107,1710x981,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,1,1,1,Screen 3,advancementZone,continue_button,1669.6000000238419,,,,0,,,,,,,,Intro,
3,1744941280618,"18/04/2025, 01:54:40",1744941280489,-7,"17/04/2025, 18:54:40",169297,28,task-quo2,,45489678,35335,13221100,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 134.0.0.0,1710x1107,1710x981,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,1,1,2,Screen 4,buttonA,response_button_text,1776.0999999046326,,,yes,1,1,,,,,,,Intro,
4,1744941281593,"18/04/2025, 01:54:41",1744941281487,-7,"17/04/2025, 18:54:41",169297,28,task-quo2,,45489678,35335,13221100,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 134.0.0.0,1710x1107,1710x981,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,1,1,4,continue,Zone2,timelimit_screen,1000,,,,0,,,,,1,,,Intro,
5,1744941287919,"18/04/2025, 01:54:47",1744941287812,-7,"17/04/2025, 18:54:47",169297,28,task-quo2,,45489678,35335,13221100,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 134.0.0.0,1710x1107,1710x981,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,6283.600000023842,,,,0,,,,,,,,end,
6,1744941288110,"18/04/2025, 01:54:48",1744941287820,-7,"17/04/2025, 18:54:47",169297,28,task-quo2,,45489678,35335,13221100,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 134.0.0.0,1710x1107,1710x981,,Task: Browser sound check,2,Correct,Spreadsheet1,,,,END TASK,,,,,12801,,,,,,,,,,,,,
﻿1,1746474389781,"05/05/2025, 19:46:29",1746474389473,-4,"05/05/2025, 15:46:29",169297,28,task-quo2,,45879135,36118,13351342,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5,1470x956,1470x817,,Task: Browser sound check,2,Correct,Spreadsheet1,,,,BEGIN TASK,,,,,,,,,,,,,,,,,,
2,1746474393369,"05/05/2025, 19:46:33",1746474393080,-4,"05/05/2025, 15:46:33",169297,28,task-quo2,,45879135,36118,13351342,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5,1470x956,1470x817,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,1,1,1,Screen 3,advancementZone,continue_button,1545,,,,0,,,,,,,,Intro,
3,1746474396028,"05/05/2025, 19:46:36",1746474395758,-4,"05/05/2025, 15:46:35",169297,28,task-quo2,,45879135,36118,13351342,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5,1470x956,1470x817,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,1,1,2,Screen 4,buttonA,response_button_text,2667,,,yes,1,1,,,,,,,Intro,
4,1746474397026,"05/05/2025, 19:46:37",1746474396743,-4,"05/05/2025, 15:46:36",169297,28,task-quo2,,45879135,36118,13351342,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5,1470x956,1470x817,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,1,1,4,continue,Zone2,timelimit_screen,1000,,,,0,,,,,1,,,Intro,
