participant_id,redcap_survey_identifier,participant_info_survey_complete,barcelona_music_reward_questionnaire_bmrq_timestamp,ebmrq_1,ebmrq_2,ebmrq_3,ebmrq_4,ebmrq_5,ebmrq_6,ebmrq_7,ebmrq_8,ebmrq_9,ebmrq_10,ebmrq_11,ebmrq_12,ebmrq_13,ebmrq_14,ebmrq_15,ebmrq_16,ebmrq_17,ebmrq_18,ebmrq_19,ebmrq_20,barcelona_music_reward_questionnaire_bmrq_complete,absorption_in_music_scale_aims_timestamp,aims_1,aims_2,aims_3,aims_4,aims_5,aims_6,aims_7,aims_8,aims_9,aims_10,aims_11,aims_12,aims_13,aims_14,aims_15,aims_16,aims_17,aims_18,aims_19,aims_20,aims_21,aims_22,aims_23,aims_24,aims_25,aims_26,aims_27,aims_28,aims_29,aims_30,aims_31,aims_32,aims_33,aims_34,absorption_in_music_scale_aims_complete,musichome_retrospective_mhr_timestamp,mhr_1,mhr_2,mhr_3,mhr_4,mhr_5,mhr_6,mhr_7,mhr_8,mhr_9,mhr_10,mhr_11,mhr_12,mhr_13,mhr_14,mhr_15,mhr_16,mhr_17,mhr_18,mhr_19,mhr_20,musichome_retrospective_mhr_complete,range_and_differentiation_of_emotional_experience__timestamp,rdees_1,rdees_2,rdees_3,rdees_4,rdees_5,rdees_6,rdees_7,rdees_8,rdees_9,rdees_10,rdees_11,rdees_12,rdees_13,rdees_14,range_and_differentiation_of_emotional_experience__complete,goldsmiths_musical_sophistication_index_goldmsi_timestamp,goldmsi_1_v2,goldmsi_2_v2,goldmsi_3_v2,goldmsi_4_v2,goldmsi_5_v2,goldmsi_6_v2,goldmsi_7_v2,goldmsi_8_v2,goldmsi_9_v2,goldmsi_10_v2,goldmsi_11_v2,goldmsi_12_v2,goldmsi_13_v2,goldmsi_14_v2,goldmsi_15_v2,goldmsi_16_v2,goldmsi_17_v2,goldmsi_18_v2,goldmsi_19_v2,goldmsi_20_v2,goldmsi_21_v2,goldmsi_22_v2,goldmsi_23_v2,goldmsi_24_v2,goldmsi_25_v2,goldmsi_26_v2,goldmsi_27_v2,goldmsi_28_v2,goldmsi_29_v2,goldmsi_30_v2,goldmsi_31_v2,goldmsi_32_v2,goldmsi_33_v2,goldmsi_34_v2,goldmsi_35_v2,goldmsi_36_v2,goldmsi_37_v2,goldmsi_38_v2,goldsmiths_musical_sophistication_index_goldmsi_complete
1,,2,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
TEAM_YA_001,,2,"2024-03-26 15:00:58",3,2,4,3,1,4,2,4,3,5,4,2,4,3,2,5,2,5,4,4,2,"2024-03-26 15:04:54",2,4,5,2,1,2,2,4,4,4,4,3,3,3,5,5,4,4,2,3,4,4,3,4,5,4,4,4,4,4,5,5,4,5,2,"2024-03-26 15:29:05",7,7,5,6,7,1,5,7,6,3,5,1,2,2,5,5,6,2,5,3,2,"2024-03-26 15:26:44",2,4,5,4,1,5,5,4,3,1,1,5,5,5,2,"2024-03-26 15:38:50",2,5,1,2,6,4,5,3,2,1,3,6,4,5,4,7,2,6,6,7,6,6,7,3,6,5,6,3,5,3,6,3,3,4,6,3,1,piano,2
TEAM_YA_002,,2,"2024-04-05 12:45:33",4,1,4,5,1,5,4,5,5,5,4,2,3,5,5,3,2,5,5,5,2,"2024-04-05 12:47:46",4,4,5,4,5,2,3,3,5,5,4,3,4,5,3,3,4,2,4,4,4,5,5,4,5,2,3,3,4,4,5,5,5,3,2,"2024-04-05 13:00:58",1,4,5,2,6,5,3,6,4,2,NA,7,1,6,5,5,4,2,2,2,2,"2024-04-05 13:45:01",1,4,5,5,2,5,5,5,2,3,1,4,4,4,2,"2024-04-05 13:51:04",7,7,2,5,4,6,7,4,2,1,4,5,5,4,5,7,4,7,5,7,7,7,1,7,1,4,7,4,4,1,7,1,3,1,1,1,6,Voice,2
TEAM_YA_003,,2,"2024-04-05 15:47:52",5,1,5,5,1,5,5,5,5,3,2,5,5,5,5,5,3,4,5,5,2,"2024-04-05 15:49:52",5,3,4,5,5,3,3,3,4,5,5,2,4,5,5,5,5,4,3,5,3,5,4,4,5,5,5,4,3,3,2,4,3,5,2,"2024-04-05 16:00:14",7,5,6,7,6,2,3,6,4,4,7,2,1,5,1,1,5,4,1,1,2,"2024-04-05 16:24:56",1,5,5,5,1,4,5,5,1,3,1,4,5,5,2,"2024-04-05 16:33:01",6,7,2,5,6,7,6,5,1,7,3,7,1,1,6,7,1,7,7,7,3,7,1,5,7,5,1,4,4,3,7,4,4,3,5,5,3,Voice,2
TEAM_YA_004,,2,"2024-04-10 11:45:45",5,1,5,5,2,4,4,5,4,3,5,4,4,5,5,5,5,5,5,5,2,"2024-04-10 11:48:43",5,4,3,4,3,4,3,3,2,3,3,2,5,5,4,3,4,4,4,4,1,4,4,4,3,1,4,4,3,4,5,5,5,4,2,"2024-04-10 12:02:28",7,6,7,7,7,2,2,1,4,3,4,2,2,1,1,1,2,1,1,1,2,"2024-04-10 12:28:24",2,4,5,5,2,5,5,5,2,2,1,4,4,3,2,"2024-04-10 12:35:42",7,7,1,4,5,6,6,7,1,7,2,7,1,2,6,7,3,7,6,7,2,7,1,7,4,7,1,7,4,2,7,6,4,4,7,4,7,Cello,2
TEAM_YA_005,,2,"2024-04-10 14:09:05",4,1,4,5,2,4,5,4,4,4,5,4,5,4,2,5,3,3,4,3,2,"2024-04-10 14:12:18",4,2,4,2,2,3,2,5,2,2,3,4,3,5,3,4,4,4,5,4,2,5,5,2,5,4,2,1,2,5,3,5,5,3,2,"2024-04-10 14:31:54",7,7,5,7,7,1,1,7,7,7,1,1,5,7,7,3,7,1,1,1,2,"2024-04-10 15:06:05",2,3,4,4,3,4,2,4,4,4,2,4,2,4,2,"2024-04-10 15:15:28",6,7,1,4,7,4,7,6,3,4,1,7,1,1,7,7,1,7,6,3,3,7,1,7,5,5,2,7,6,1,3,6,5,6,7,4,7,"Vocals and Piano",2
TEAM_YA_006,,2,"2024-04-12 16:13:04",4,1,4,5,2,5,3,5,4,3,5,4,2,5,5,5,3,4,5,5,2,"2024-04-12 16:16:50",3,3,2,2,4,1,3,2,2,2,1,2,2,4,3,2,5,2,4,3,1,5,2,4,5,1,3,4,2,4,3,4,4,2,2,"2024-04-12 16:36:04",6,4,3,6,6,2,2,5,7,7,1,2,6,6,7,7,3,5,1,1,2,"2024-04-12 17:06:34",2,2,3,2,3,1,3,1,2,1,2,2,4,1,2,"2024-04-12 17:17:51",6,7,1,1,5,6,4,2,1,2,5,2,2,3,1,5,6,6,2,4,4,5,4,6,7,3,6,4,2,1,7,4,1,1,5,1,4,Voice,2
TEAM_YA_007,,2,"2024-04-17 13:54:14",4,1,3,5,2,4,3,3,4,4,4,2,5,5,4,4,2,4,5,5,2,"2024-04-17 13:57:49",4,2,4,3,4,3,2,3,3,3,2,2,3,3,3,3,4,4,5,4,3,1,3,2,4,2,4,3,3,2,2,2,4,3,2,"2024-04-17 14:12:18",6,5,5,5,6,4,4,4,3,3,4,6,3,3,3,3,4,3,6,2,2,"2024-04-17 14:35:24",2,3,4,4,3,3,4,4,3,3,3,3,3,3,2,"2024-04-17 14:43:21",6,4,2,3,4,3,2,4,2,1,2,2,4,3,4,6,3,3,3,3,3,3,5,7,5,3,5,4,2,1,4,5,2,3,5,4,6,Piano,2
TEAM_YA_008,,2,"2024-05-08 13:47:24",4,1,5,5,2,4,4,5,5,4,4,2,3,4,5,5,5,4,4,4,2,"2024-05-08 13:50:17",3,4,2,3,3,4,4,3,4,5,2,3,4,4,3,5,5,3,5,3,2,5,5,4,5,1,2,2,3,4,4,5,4,2,2,"2024-05-08 14:05:43",7,7,7,6,6,3,3,6,3,3,4,1,4,5,5,5,4,2,2,4,2,"2024-05-08 14:34:02",2,4,5,3,1,2,5,4,1,3,1,3,5,2,2,"2024-05-08 14:41:56",5,5,1,5,4,3,5,6,1,3,3,4,2,3,5,7,6,6,4,6,2,5,3,7,6,6,3,7,6,3,6,6,6,4,6,2,3,Violin,2
TEAM_YA_009,,2,"2024-04-26 15:58:20",4,1,5,2,1,5,3,5,4,4,5,5,4,4,5,4,4,5,5,5,2,"2024-04-26 16:02:22",5,5,4,4,2,4,3,4,3,3,4,4,4,5,5,5,5,3,5,5,2,5,5,4,5,4,5,4,4,4,5,5,5,5,2,"2024-04-26 16:26:28",7,7,7,7,7,3,1,7,5,3,1,1,4,7,4,1,7,1,1,1,2,"2024-04-26 17:10:54",1,5,5,3,1,5,5,5,3,5,1,5,5,5,2,"2024-04-26 17:21:46",5,4,1,5,5,4,5,4,1,6,4,4,4,1,4,7,5,7,5,7,1,7,1,6,1,4,3,6,3,4,7,4,5,2,7,2,4,Violin,2
TEAM_YA_010,,2,"2024-05-09 10:24:50",3,1,5,5,1,5,4,5,5,4,5,5,5,5,5,4,2,4,4,5,2,"2024-05-09 10:30:21",1,3,3,3,4,2,3,4,3,2,2,2,2,3,3,3,4,3,4,5,4,4,3,3,5,2,3,2,3,4,3,3,4,3,2,"2024-05-09 11:00:14",6,6,5,4,3,6,6,4,4,4,6,7,4,5,7,5,5,2,1,1,2,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
TEAM_YA_011,,2,"2024-04-22 10:16:22",5,1,5,5,1,5,5,5,5,5,5,5,5,5,5,NA,2,3,5,5,2,"2024-04-22 10:18:05",5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,3,5,2,5,5,5,5,5,5,2,"2024-04-22 10:31:18",7,7,7,7,7,1,1,7,3,2,4,1,2,2,3,5,4,3,2,2,2,"2024-04-22 10:52:55",1,5,5,5,1,3,5,3,2,3,4,4,5,4,2,"2024-04-22 10:59:39",7,7,5,7,1,7,7,7,1,7,3,6,2,1,6,7,2,7,4,6,NA,7,1,7,1,6,1,5,5,7,7,5,1,6,5,4,7,Voice,2
TEAM_YA_012,,2,"2024-04-26 11:21:56",5,1,5,4,4,4,5,2,3,2,4,1,1,4,4,3,1,3,4,4,2,"2024-04-26 11:25:09",1,5,3,5,2,5,4,5,3,4,1,2,3,3,1,2,5,5,4,5,4,1,3,3,5,3,3,1,3,3,2,3,2,2,2,"2024-04-26 11:41:24",2,3,3,2,2,7,7,2,2,2,5,7,4,6,6,2,3,4,1,2,2,"2024-04-26 12:16:50",3,4,5,4,1,4,5,4,1,3,1,5,5,5,2,"2024-04-26 12:24:27",1,4,1,1,5,6,1,4,1,1,7,3,5,7,1,7,1,5,6,5,7,5,7,5,7,3,7,5,1,1,7,5,2,2,3,1,3,"I used to play the clarinet",2
TEAM_YA_013,,2,"2024-04-25 14:51:55",5,1,5,5,3,4,4,5,5,4,2,4,5,5,5,4,2,4,4,5,2,"2024-04-25 14:57:15",4,1,4,2,4,1,4,2,2,5,4,4,1,2,4,2,4,2,2,4,4,5,2,4,1,1,2,4,1,4,2,4,2,3,2,"2024-04-25 15:19:16",5,5,6,2,7,2,6,3,7,5,3,7,2,2,2,2,1,5,4,2,2,"2024-04-25 15:50:55",1,5,5,5,1,5,5,5,1,5,1,5,5,5,2,"2024-04-25 16:02:38",7,5,5,5,6,6,7,6,1,7,2,7,1,1,6,7,1,6,3,7,7,5,2,6,1,6,1,6,6,3,7,5,5,5,6,3,2,Voice,2
TEAM_YA_014,,2,"2024-05-01 11:48:20",3,4,5,4,2,2,3,4,4,4,2,2,2,4,5,2,1,4,3,5,2,"2024-05-01 11:52:50",1,1,1,2,2,2,1,2,1,1,1,3,2,2,3,4,3,1,1,4,1,1,1,2,4,4,3,1,2,3,3,5,3,4,2,"2024-05-01 12:16:10",3,1,1,1,3,6,6,4,1,1,7,2,1,1,1,1,4,4,2,NA,2,"2024-05-01 12:51:40",1,2,4,2,3,3,2,3,4,3,2,3,5,3,2,"2024-05-01 13:01:03",1,1,1,1,4,3,2,3,2,3,6,1,5,7,2,7,4,5,2,3,7,3,5,2,6,2,6,4,4,1,6,5,3,1,5,2,2,Violin,2
TEAM_YA_015,,2,"2024-05-13 16:21:13",2,1,4,4,3,4,2,1,5,2,2,1,1,4,5,4,2,2,5,2,2,"2024-05-13 16:23:52",1,3,1,2,2,3,2,2,1,3,1,1,3,4,1,1,4,2,3,3,1,3,2,5,5,2,3,1,1,5,3,1,2,1,2,"2024-05-13 16:35:58",6,4,3,2,1,3,1,3,2,3,1,3,1,1,5,5,6,3,2,1,2,"2024-05-13 16:57:02",3,4,5,3,4,4,2,4,4,2,3,2,1,1,2,"2024-05-13 17:04:17",3,1,1,1,4,5,3,2,3,1,3,5,1,7,1,5,5,6,3,2,7,5,1,2,7,6,7,4,3,3,5,3,4,4,4,1,5,Voice,2
TEAM_YA_016,,2,"2024-05-14 12:11:41",4,1,4,4,3,4,4,5,4,2,3,2,4,4,4,4,5,4,5,4,2,"2024-05-14 12:13:37",5,2,2,4,4,2,4,4,2,2,2,4,2,4,2,2,4,2,4,4,4,4,4,4,5,5,2,4,2,5,1,2,5,4,2,"2024-05-14 12:25:46",6,3,3,1,6,3,2,5,2,6,5,5,2,5,5,5,4,1,1,1,2,"2024-05-14 12:45:59",2,3,5,2,4,3,2,4,4,1,5,2,2,2,2,"2024-05-14 12:51:53",3,5,1,6,3,3,5,3,2,6,3,5,2,3,2,6,5,6,5,2,2,2,3,5,6,5,7,6,3,3,6,2,6,3,5,2,3,Voice,2
TEAM_YA_017,,2,"2024-05-15 11:58:29",4,2,2,4,1,4,4,4,5,3,5,4,5,5,5,3,4,5,5,5,2,"2024-05-15 12:01:58",1,1,2,2,2,1,3,4,1,2,1,5,2,5,1,2,3,4,2,5,2,1,3,2,4,1,3,2,1,3,3,3,1,3,2,"2024-05-15 12:15:17",5,5,5,3,7,1,1,7,7,7,2,1,2,6,7,7,7,1,1,1,2,"2024-05-15 12:52:52",2,5,5,5,3,5,5,3,3,3,3,5,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
TEAM_YA_018,,2,"2024-05-21 16:24:50",3,1,5,4,1,2,4,5,4,3,3,3,3,3,3,4,3,4,4,3,2,"2024-05-21 16:31:02",5,2,3,5,2,4,3,4,2,1,1,5,4,2,4,2,4,1,3,3,3,5,2,4,3,4,2,1,4,3,3,4,3,1,2,"2024-05-21 17:03:25",7,3,2,4,6,2,2,5,3,2,4,1,2,2,6,4,7,4,2,1,2,"2024-05-21 17:31:00",4,3,3,2,4,2,3,3,5,2,3,2,3,2,2,"2024-05-21 17:40:46",5,2,1,1,4,3,5,4,5,1,5,3,1,2,5,6,7,6,3,3,3,5,6,6,5,2,7,6,7,5,7,5,5,1,5,4,2,Piano,2
TEAM_YA_019,,2,"2024-05-17 10:55:15",3,1,3,5,2,4,4,4,4,4,4,2,3,4,4,3,1,4,5,5,2,"2024-05-17 11:00:06",3,3,3,3,3,3,5,4,3,4,3,1,3,3,4,4,5,3,3,2,2,4,5,5,4,3,5,4,3,4,4,4,4,4,2,"2024-05-17 11:20:54",5,4,4,3,6,2,4,4,3,2,6,2,3,1,7,2,3,3,2,1,2,"2024-05-17 11:49:16",2,5,4,3,2,2,5,4,2,1,2,4,5,3,2,"2024-05-17 11:59:18",3,5,1,1,6,6,7,4,3,1,2,6,2,3,4,7,4,6,6,5,7,7,4,5,6,6,3,5,3,2,6,6,1,1,7,2,3,Viola,2
TEAM_YA_020,,2,"2024-06-05 12:50:46",4,1,5,5,3,4,4,5,4,4,5,4,3,4,5,5,3,2,5,5,2,"2024-06-05 12:52:59",2,2,3,3,4,3,4,3,2,2,4,3,3,4,2,2,4,3,4,4,4,4,3,3,5,5,3,4,3,5,3,5,5,3,2,"2024-06-05 13:07:19",2,2,1,1,4,6,5,6,2,2,6,6,1,3,5,1,6,5,6,6,2,"2024-06-05 13:30:45",2,3,5,3,2,4,5,3,2,1,2,3,5,2,2,"2024-06-05 13:37:16",3,2,1,4,6,6,7,6,1,1,2,2,5,7,6,6,3,7,7,5,6,6,1,6,7,7,7,6,7,6,7,1,4,1,1,1,6,Voice,2
TEAM_YA_021,,2,"2024-06-05 15:58:29",4,1,4,5,2,5,5,4,4,4,5,3,2,4,2,5,4,5,5,3,2,"2024-06-05 16:01:56",1,4,4,3,5,2,2,4,2,3,2,4,4,4,3,4,5,2,4,4,4,2,4,4,5,3,4,2,4,4,3,4,5,5,2,"2024-06-05 16:19:10",6,4,4,3,5,4,6,5,6,7,7,6,2,6,2,3,2,1,1,1,2,"2024-06-05 16:37:58",1,4,5,4,1,2,5,5,1,5,1,5,5,5,2,"2024-06-05 16:49:28",4,6,2,3,5,6,5,6,1,2,6,5,2,6,3,7,3,5,5,7,2,5,5,6,7,5,7,7,5,1,7,3,4,1,5,2,4,Saxophone,2
TEAM_YA_022,,2,"2024-05-22 14:17:25",4,1,5,5,2,5,5,5,5,3,3,5,4,5,5,5,5,5,5,3,2,"2024-05-22 14:20:17",3,2,5,3,5,4,5,3,2,5,3,5,2,5,5,5,5,3,5,4,5,5,5,3,5,3,2,4,5,2,4,5,5,5,2,"2024-05-22 14:39:48",4,7,6,5,7,1,1,7,7,7,3,2,5,7,7,7,7,1,1,1,2,"2024-05-22 15:08:25",2,2,5,3,1,4,5,5,2,3,1,3,4,3,2,"2024-05-22 15:19:39",5,5,6,6,7,3,7,5,1,6,2,6,3,1,7,7,1,7,6,7,1,7,2,5,5,5,5,5,5,2,7,3,7,1,6,1,6,Voice,2
TEAM_YA_023,,2,,5,1,5,4,2,5,4,5,3,2,4,4,5,5,4,5,2,5,5,2,2,,2,4,5,5,4,4,2,4,4,4,4,5,2,3,5,5,5,4,2,4,4,2,5,5,2,5,4,2,4,4,2,2,2,5,2,,7,7,7,7,7,1,1,6,6,7,2,1,5,4,3,5,7,3,2,2,2,,2,5,5,5,2,5,4,4,2,5,1,4,4,4,2,,7,6,5,6,7,6,4,6,1,7,1,7,1,1,5,6,1,7,7,7,3,7,1,4,1,6,1,6,6,2,7,3,7,4,6,3,2,Voice,2
TEAM_YA_024,,2,"2024-05-23 15:49:06",5,1,4,5,2,5,5,5,4,4,5,2,4,4,5,4,4,5,5,5,2,"2024-05-23 15:52:03",2,3,3,3,2,5,3,4,2,5,4,5,2,5,2,3,5,1,5,5,4,5,3,3,5,1,2,4,3,3,3,4,5,4,2,"2024-05-23 16:07:55",7,7,7,7,7,1,1,6,7,7,4,1,7,7,7,7,7,1,1,1,2,"2024-05-23 16:32:29",1,4,5,5,1,4,5,5,1,4,1,5,5,5,2,"2024-05-23 16:40:19",5,6,2,4,6,6,7,5,1,7,1,6,1,1,7,7,2,7,5,6,3,7,2,7,4,5,3,5,3,2,7,5,7,4,6,4,5,Piano,2
TEAM_YA_025,,2,"2024-05-29 12:59:59",4,4,5,4,1,5,3,3,4,5,2,1,3,3,5,4,5,4,5,5,2,"2024-05-29 13:03:55",4,3,4,2,2,2,4,4,2,2,3,2,4,4,4,1,4,3,1,5,5,5,5,4,5,1,3,4,4,3,5,1,1,2,2,"2024-05-29 13:24:25",7,7,4,6,7,2,1,6,7,7,1,1,7,5,5,7,6,6,6,6,2,"2024-05-29 13:59:15",2,2,5,2,3,2,3,2,2,1,2,1,5,1,2,"2024-05-29 14:10:33",4,3,1,1,6,5,3,1,3,2,2,4,6,5,6,7,5,7,6,2,3,6,5,4,3,6,7,6,3,3,7,3,6,2,5,1,3,Cello,2
