rh.aparc.thickness,rh_bankssts_thickness,rh_caudalanteriorcingulate_thickness,rh_caudalmiddlefrontal_thickness,rh_cuneus_thickness,rh_entorhinal_thickness,rh_fusiform_thickness,rh_inferiorparietal_thickness,rh_inferiortemporal_thickness,rh_isthmuscingulate_thickness,rh_lateraloccipital_thickness,rh_lateralorbitofrontal_thickness,rh_lingual_thickness,rh_medialorbitofrontal_thickness,rh_middletemporal_thickness,rh_parahippocampal_thickness,rh_paracentral_thickness,rh_parsopercularis_thickness,rh_parsorbitalis_thickness,rh_parstriangularis_thickness,rh_pericalcarine_thickness,rh_postcentral_thickness,rh_posteriorcingulate_thickness,rh_precentral_thickness,rh_precuneus_thickness,rh_rostralanteriorcingulate_thickness,rh_rostralmiddlefrontal_thickness,rh_superiorfrontal_thickness,rh_superiorparietal_thickness,rh_superiortemporal_thickness,rh_supramarginal_thickness,rh_frontalpole_thickness,rh_temporalpole_thickness,rh_transversetemporal_thickness,rh_insula_thickness,rh_MeanThickness_thickness
sub-001,2.849,2.201,2.383,1.762,3.715,2.859,2.418,2.777,2.145,2.184,2.566,2.063,2.504,2.938,2.804,2.393,2.35,2.708,2.411,1.574,2.039,2.452,2.413,2.447,2.644,2.221,2.624,2.159,2.845,2.653,2.692,3.747,2.408,3.232,2.46536
sub-002,2.646,2.188,2.441,1.744,3.93,2.828,2.639,3.026,2.277,2.23,2.614,2.029,2.388,2.936,2.711,2.516,2.648,2.577,2.642,1.427,2.064,2.599,2.497,2.542,2.669,2.299,2.57,2.205,2.925,2.635,2.77,4.253,2.311,3.253,2.53299
sub-003,2.55,2.347,2.402,1.81,3.644,2.746,2.455,2.639,2.176,1.911,2.672,1.955,2.428,2.875,2.57,2.268,2.625,2.527,2.339,1.585,2.007,2.22,2.512,2.295,2.484,2.225,2.497,1.998,2.734,2.586,2.411,3.974,2.643,3.105,2.37706
sub-004,2.566,1.989,2.185,1.972,3.595,2.644,2.335,2.653,2.219,1.977,2.492,2.283,2.724,2.857,2.733,1.873,2.554,2.619,2.506,1.532,2.177,2.322,1.694,2.312,2.392,2.267,2.473,1.957,2.724,2.449,2.613,4.114,2.302,3.126,2.36784
sub-005,2.774,2.485,2.648,2.052,4.135,2.797,2.624,2.927,2.312,2.122,2.663,2.286,2.267,2.848,3.031,2.418,2.742,2.777,2.741,1.894,2.208,2.412,2.665,2.468,2.591,2.298,2.659,2.257,3.016,2.722,2.566,4.015,2.635,3.299,2.56174
sub-006,2.906,2.609,2.498,1.823,3.568,2.681,2.518,2.835,2.305,2.237,2.793,2.052,2.362,3.004,2.401,2.44,2.786,2.655,2.622,1.405,1.955,2.559,2.459,2.557,2.587,2.18,2.698,2.314,2.863,2.731,2.873,3.844,2.13,3.319,2.51948
sub-007,2.596,2.214,2.445,1.604,3.493,2.759,2.508,2.778,2.307,2.075,2.548,1.994,2.17,2.912,2.859,2.112,2.461,2.773,2.551,1.475,2.304,2.34,1.988,2.286,2.671,2.141,2.545,1.94,2.879,2.414,2.857,4.229,2.595,3.198,2.39521
sub-008,2.636,2.492,2.428,1.832,3.537,2.686,2.482,2.678,2.343,2.179,2.734,1.96,2.351,2.895,2.801,2.377,2.489,2.666,2.379,1.369,1.974,2.462,2.521,2.523,2.601,2.221,2.605,2.253,2.685,2.603,2.749,4.054,2.494,3.003,2.44065
sub-009,2.655,2.08,2.516,1.846,3.726,2.9,2.566,2.622,2.488,2.176,2.535,2.086,2.292,2.962,2.741,2.182,2.557,2.878,2.547,1.669,2.019,2.155,2.446,2.375,2.588,2.314,2.567,2.085,2.92,2.606,2.581,4.216,2.446,3.078,2.46951
sub-010,2.481,2.357,2.56,1.681,3.684,2.802,2.423,2.916,2.305,2.083,2.769,2.126,2.166,2.861,2.741,2.425,2.637,2.522,2.406,1.627,2.038,2.479,2.511,2.354,2.717,2.213,2.663,2.102,2.71,2.537,2.45,3.834,2.523,3.006,2.46583
sub-011,2.651,2.104,2.377,2.015,3.315,2.698,2.469,2.718,2.273,2.094,2.535,2.05,2.397,3,2.83,2.511,2.426,2.321,2.294,1.756,2.047,2.248,2.479,2.449,2.395,2.175,2.657,2.168,2.778,2.68,2.623,3.646,2.328,3.123,2.43819
sub-012,2.714,2.206,2.495,1.867,3.62,2.812,2.538,2.879,2.237,2.082,2.607,1.962,2.322,3.196,2.647,2.535,2.767,2.404,2.65,1.461,1.939,2.574,2.678,2.387,2.645,2.296,2.629,2.125,2.93,2.715,2.992,3.888,2.372,3.343,2.50537
sub-013,2.756,2.326,2.591,1.803,3.807,2.852,2.652,2.811,2.57,2.098,2.846,2.034,2.182,2.85,2.849,2.503,2.687,2.98,2.418,1.461,2.048,2.409,2.638,2.401,2.497,2.184,2.715,2.232,2.851,2.697,3.024,3.95,2.588,3.148,2.50955
sub-014,2.694,2.033,2.457,1.723,2.975,2.751,2.485,2.711,2.187,2.024,2.424,1.917,2.252,2.986,2.458,2.382,2.54,2.681,2.377,1.714,2.027,1.965,2.455,2.405,3.062,2.257,2.709,2.017,3.034,2.507,2.787,4.299,2.323,3.032,2.42086
sub-015,2.65,1.941,2.361,1.903,3.238,2.862,2.544,2.9,2.344,2.134,2.582,2.253,2.378,3.058,2.398,2.354,2.515,2.592,2.315,1.522,2.081,2.263,2.494,2.465,2.326,2.218,2.491,2.13,2.933,2.611,2.922,3.857,2.698,3.125,2.47201
sub-016,2.834,2.227,2.617,1.741,3.891,2.87,2.679,2.724,2.573,2.147,2.785,2.037,2.265,3,2.388,2.456,2.769,2.753,2.459,1.507,2.11,2.487,2.714,2.523,2.329,2.375,2.611,2.28,3.056,2.834,2.842,3.986,2.516,3.313,2.54243
sub-018,2.763,2.512,2.791,2.005,3.825,2.878,2.648,2.934,2.413,2.132,2.847,2.044,2.166,2.878,2.636,2.293,2.875,2.518,2.489,1.656,1.993,2.31,2.752,2.562,2.689,2.301,2.797,2.305,2.634,2.697,2.995,3.838,2.666,3.253,2.54354
sub-019,2.644,2.359,2.728,1.769,3.872,2.695,2.474,2.622,2.62,2.052,2.583,2.12,2.631,2.819,2.319,2.432,2.872,2.708,2.355,1.702,2.131,2.464,2.623,2.407,2.928,2.281,2.657,2.159,2.661,2.664,2.965,3.975,2.348,3.242,2.47839
sub-020,2.59,2.233,2.451,1.983,3.924,2.809,2.427,2.903,2.46,2.09,2.692,2.101,2.283,3.049,2.913,2.24,2.626,2.605,2.657,1.685,2.047,2.245,2.604,2.373,2.443,2.254,2.511,2.01,2.83,2.613,2.729,4.183,2.339,3.342,2.45782
sub-021,2.568,2.219,2.646,1.966,3.509,2.763,2.636,2.79,2.129,2.297,2.671,2.141,2.241,3.031,2.561,2.368,2.844,2.466,2.58,1.71,2.517,2.351,1.956,2.675,2.647,2.312,2.755,2.383,2.742,2.661,2.919,4.064,2.557,3.247,2.54096
