lh.aparc.a2009s.thickness	lh_G_and_S_frontomargin_thickness	lh_G_and_S_occipital_inf_thickness	lh_G_and_S_paracentral_thickness	lh_G_and_S_subcentral_thickness	lh_G_and_S_transv_frontopol_thickness	lh_G_and_S_cingul-Ant_thickness	lh_G_and_S_cingul-Mid-Ant_thickness	lh_G_and_S_cingul-Mid-Post_thickness	lh_G_cingul-Post-dorsal_thickness	lh_G_cingul-Post-ventral_thickness	lh_G_cuneus_thickness	lh_G_front_inf-Opercular_thickness	lh_G_front_inf-Orbital_thickness	lh_G_front_inf-Triangul_thickness	lh_G_front_middle_thickness	lh_G_front_sup_thickness	lh_G_Ins_lg_and_S_cent_ins_thickness	lh_G_insular_short_thickness	lh_G_occipital_middle_thickness	lh_G_occipital_sup_thickness	lh_G_oc-temp_lat-fusifor_thickness	lh_G_oc-temp_med-Lingual_thickness	lh_G_oc-temp_med-Parahip_thickness	lh_G_orbital_thickness	lh_G_pariet_inf-Angular_thickness	lh_G_pariet_inf-Supramar_thickness	lh_G_parietal_sup_thickness	lh_G_postcentral_thickness	lh_G_precentral_thickness	lh_G_precuneus_thickness	lh_G_rectus_thickness	lh_G_subcallosal_thickness	lh_G_temp_sup-G_T_transv_thickness	lh_G_temp_sup-Lateral_thickness	lh_G_temp_sup-Plan_polar_thickness	lh_G_temp_sup-Plan_tempo_thickness	lh_G_temporal_inf_thickness	lh_G_temporal_middle_thickness	lh_Lat_Fis-ant-Horizont_thickness	lh_Lat_Fis-ant-Vertical_thickness	lh_Lat_Fis-post_thickness	lh_Pole_occipital_thickness	lh_Pole_temporal_thickness	lh_S_calcarine_thickness	lh_S_central_thickness	lh_S_cingul-Marginalis_thickness	lh_S_circular_insula_ant_thickness	lh_S_circular_insula_inf_thickness	lh_S_circular_insula_sup_thickness	lh_S_collat_transv_ant_thickness	lh_S_collat_transv_post_thickness	lh_S_front_inf_thickness	lh_S_front_middle_thickness	lh_S_front_sup_thickness	lh_S_interm_prim-Jensen_thickness	lh_S_intrapariet_and_P_trans_thickness	lh_S_oc_middle_and_Lunatus_thickness	lh_S_oc_sup_and_transversal_thickness	lh_S_occipital_ant_thickness	lh_S_oc-temp_lat_thickness	lh_S_oc-temp_med_and_Lingual_thickness	lh_S_orbital_lateral_thickness	lh_S_orbital_med-olfact_thickness	lh_S_orbital-H_Shaped_thickness	lh_S_parieto_occipital_thickness	lh_S_pericallosal_thickness	lh_S_postcentral_thickness	lh_S_precentral-inf-part_thickness	lh_S_precentral-sup-part_thickness	lh_S_suborbital_thickness	lh_S_subparietal_thickness	lh_S_temporal_inf_thickness	lh_S_temporal_sup_thickness	lh_S_temporal_transverse_thickness	lh_MeanThickness_thickness
sub-002	2.598	2.716	2.191	2.578	2.535	2.899	2.487	2.578	2.859	2.572	1.897	2.843	3.262	2.932	2.808	2.994	3.103	3.608	2.463	2.006	2.804	1.888	3.057	3.246	2.786	2.741	2.51	1.934	2.806	2.613	2.84	3.008	2.277	3.126	3.996	2.607	2.811	2.473	2.99	2.428	2.463	1.532	3.281	1.798	1.933	2.236	2.971	3.16	2.6	2.328	2.294	2.311	2.163	2.37	2.454	2.29	1.949	2.401	2.504	2.658	2.55	2.184	2.571	3.028	2.42	2.154	1.997	2.71	2.38	2.088	2.481	2.456	2.559	2.231	2.54342
sub-008	2.239	2.386	2.349	2.751	2.787	2.857	2.906	2.738	3.128	2.583	1.635	2.751	2.74	2.795	2.745	3.033	3.361	3.643	2.449	1.961	2.801	1.817	2.971	2.851	2.84	2.937	2.449	2.152	2.846	2.755	2.671	2.733	2.365	3.122	3.452	2.595	2.636	2.966	2.508	2.239	2.52	1.749	3.363	1.653	1.912	2.398	2.985	2.541	2.721	2.29	2.238	2.139	1.952	2.164	2.819	2.103	2.157	2.178	2.341	2.484	2.308	2.04	2.504	2.945	2.177	1.837	2.149	2.479	2.583	2.645	2.431	2.628	2.679	2.51	2.51584
sub-013	2.433	2.545	2.13	2.752	2.723	2.782	2.776	2.684	3.088	3.166	1.736	2.92	2.931	2.894	2.816	2.96	3.583	3.604	2.268	1.936	2.854	1.985	3.071	2.908	2.575	2.668	2.405	2.112	3.076	2.677	2.598	3.051	2.603	2.857	3.527	2.606	2.567	2.971	2.657	2.593	2.691	1.657	2.97	1.846	2.027	2.374	3.037	3.114	2.832	2.14	2.27	2.363	2.277	2.441	2.176	2.162	2.003	2.137	2.443	2.38	2.801	2.262	2.714	2.908	2.34	2.139	2.27	2.622	2.608	2.564	2.54	2.721	2.557	2.211	2.5624
sub-021	2.069	2.536	2.608	2.672	2.672	2.642	2.646	2.64	2.916	2.574	1.918	2.986	2.832	2.493	2.668	3.019	3.346	3.68	2.635	2.192	2.644	2.029	2.775	2.836	2.779	2.792	2.614	1.958	2.974	2.726	2.622	2.97	2.807	3.106	3.531	2.43	2.548	3.1	2.267	2.709	2.333	1.864	3.53	1.835	2.042	2.337	2.734	2.734	2.385	1.761	2.401	2.143	1.885	2.512	2.789	2.31	2.225	2.241	2.468	2.346	2.407	2.029	2.77	2.658	2.44	1.692	2.148	2.335	2.546	2.111	2.561	2.565	2.452	2.38	2.52359
sub-022	2.777	2.529	2.273	2.973	3.036	2.671	2.585	2.532	2.939	2.822	1.917	2.866	2.899	2.704	2.639	2.882	3.501	4.009	2.594	2.031	2.877	2.097	2.948	3.213	2.754	2.956	2.252	2.208	2.767	2.645	2.97	2.979	2.552	3.228	3.61	2.567	2.703	3.382	2.318	2.552	2.559	1.72	3.583	1.832	1.874	2.299	3.253	2.8	2.706	1.901	2.147	2.336	2.078	2.42	2.727	2.155	2.252	2.168	2.476	2.665	2.426	2.043	2.641	2.913	2.346	1.724	2.341	2.589	2.462	2.288	2.236	2.709	2.631	2.599	2.55521
sub-023	2.302	2.549	2.075	2.821	2.452	2.635	2.437	2.535	2.969	2.9	1.976	2.902	2.761	2.546	2.59	2.741	3.44	3.504	2.512	1.983	2.807	1.974	2.853	2.829	2.411	2.544	2.227	1.813	2.748	2.473	2.412	2.753	2.161	2.967	3.209	2.347	2.804	2.938	1.836	2.701	2.359	1.444	2.832	1.915	1.761	2.311	2.865	2.574	2.48	2.476	2.204	2.323	2.07	2.42	2.553	2.004	2.183	2.128	2.484	2.249	2.311	1.884	2.513	2.878	2.182	1.63	1.856	2.475	2.441	2.101	2.301	2.511	2.448	2.056	2.40567
sub-030	2.367	2.737	2.244	2.949	2.715	2.553	2.4	2.424	2.733	2.38	1.994	2.896	3.049	2.798	2.835	2.96	3.33	3.722	2.554	1.941	2.858	2.065	3.286	2.997	2.809	2.901	2.29	2.07	2.971	2.639	2.345	2.804	2.594	3.401	3.437	2.638	2.672	3.112	2.401	2.558	2.622	1.603	3.435	1.954	1.991	2.021	3.166	3.084	2.673	2.538	2.121	2.31	2.064	2.417	2.656	2.154	2.231	2.018	2.633	2.534	2.658	2.305	2.523	2.716	2.145	1.643	2.311	2.64	2.367	2.588	2.351	2.603	2.589	2.52	2.55241
sub-033	2.376	2.38	2.138	2.882	2.094	2.42	2.593	2.33	2.872	2.772	1.779	2.75	2.752	2.517	2.487	2.803	3.348	3.72	2.334	1.771	2.675	1.887	3.084	2.878	2.662	2.948	2.365	2.033	2.773	2.528	2.239	2.437	2.165	2.996	3.054	2.678	2.951	3.099	2.181	2.355	2.418	1.699	2.953	1.882	1.836	2.187	2.947	3.001	2.578	2.294	1.941	2.213	2.024	2.064	2.098	2.117	1.985	2.005	2.386	2.559	2.327	2.121	2.643	2.44	2.064	1.691	2.233	2.488	2.491	2.069	2.286	2.465	2.498	2.304	2.43437
sub-035	2.308	2.579	2.223	2.879	2.416	2.717	2.595	2.52	2.859	2.132	1.66	2.859	2.83	3.027	2.711	2.902	3.081	3.921	2.339	2.071	2.644	1.983	2.862	2.867	2.703	2.851	2.331	1.981	3.102	2.399	2.96	2.822	2.376	3.26	3.224	2.964	3.074	3.268	2.23	3.456	2.41	1.598	3.53	1.835	1.823	2.154	2.763	2.62	2.569	2.638	1.763	2.311	1.989	2.426	2.112	1.927	1.971	1.797	2.024	2.519	2.242	2.139	2.902	2.68	2.103	1.588	2.106	2.615	2.633	2.22	2.295	2.714	2.485	2.333	2.49542
sub-036	2.407	2.507	2.041	2.92	2.692	2.621	2.823	2.551	3.038	2.95	1.929	3.077	2.636	2.776	2.794	3.031	3.658	3.867	2.411	2.085	2.776	1.851	3.052	3.082	2.611	2.997	2.26	2.025	2.645	2.502	2.789	2.999	2.544	3.118	3.767	2.532	2.836	3.071	2.02	2.621	2.361	1.572	3.585	1.869	1.699	2.186	2.61	3.06	2.895	3.039	1.956	2.294	2.235	2.391	2.258	2.112	1.967	1.895	2.494	2.57	2.258	1.938	2.57	2.941	2.173	1.685	2.257	2.525	2.399	2.252	2.359	2.695	2.608	2.721	2.52248
