lh.aparc.thickness	lh_bankssts_thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_frontalpole_thickness	lh_temporalpole_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness
sub-002	2.609	2.775	2.563	1.843	3.311	2.702	2.589	2.7	2.297	2.107	3.12	2.022	2.552	2.568	2.895	2.354	2.737	2.919	2.624	1.515	1.955	2.497	2.598	2.526	3.305	2.467	2.761	2.329	2.868	2.607	3.113	3.683	2.134	3.104	2.54342
sub-008	2.582	2.954	2.589	1.658	3.01	2.647	2.606	2.614	2.242	2.115	2.875	1.905	2.628	2.895	2.735	2.454	2.559	2.654	2.422	1.397	2.052	2.638	2.706	2.55	3.096	2.299	2.852	2.279	2.881	2.688	3.062	3.74	2.317	3.106	2.51584
sub-013	2.531	2.693	2.726	1.88	3.03	2.762	2.456	2.524	2.696	2.095	2.914	2.11	2.622	2.866	3.185	2.445	2.692	2.893	2.745	1.497	2.08	2.536	2.792	2.561	3.084	2.513	2.789	2.248	2.77	2.551	3.041	3.047	2.499	3.322	2.5624
sub-021	2.475	2.381	2.633	1.995	3.049	2.485	2.532	2.523	2.286	2.271	2.836	2.061	2.594	2.932	2.618	2.589	2.672	2.613	2.41	1.747	2.022	2.428	2.689	2.551	2.99	2.249	2.82	2.397	2.756	2.632	2.579	3.804	2.56	3.012	2.52359
sub-022	2.764	2.486	2.578	2.091	2.899	2.637	2.596	2.697	2.32	2.178	3.05	2.126	2.699	3.121	2.846	2.417	2.674	2.949	2.512	1.522	2.134	2.426	2.575	2.429	3.025	2.462	2.717	2.181	2.918	2.768	3.174	3.707	2.431	3.216	2.55521
sub-023	2.464	2.17	2.557	2.019	3.45	2.573	2.367	2.653	2.368	2.131	2.88	2.09	2.405	2.76	2.3	2.214	2.711	2.633	2.334	1.676	1.878	2.514	2.546	2.342	2.772	2.323	2.652	2.076	2.659	2.429	2.757	3.261	1.925	3.07	2.40567
sub-030	2.559	2.31	2.734	1.977	3.953	2.766	2.608	2.637	2.148	2.14	2.871	2.203	2.504	3.012	2.833	2.361	2.759	2.957	2.525	1.67	2.111	2.232	2.707	2.451	2.571	2.469	2.755	2.173	2.983	2.738	2.87	3.527	2.506	3.265	2.55241
sub-033	2.609	2.359	2.438	1.788	3.207	2.579	2.453	2.686	2.298	2.047	2.724	2.0	2.121	2.938	2.755	2.234	2.552	2.742	2.437	1.676	2.02	2.253	2.619	2.348	2.677	2.26	2.567	2.179	2.718	2.65	2.387	3.21	2.189	3.001	2.43437
sub-035	2.501	2.304	2.677	1.674	3.445	2.529	2.434	2.987	2.107	2.039	2.835	2.015	2.644	3.114	2.398	2.345	2.795	2.759	2.617	1.61	1.953	2.328	2.741	2.331	2.687	2.369	2.74	2.1	2.844	2.627	2.728	3.445	2.406	3.056	2.49542
sub-036	2.58	2.564	2.584	1.906	3.681	2.788	2.457	2.804	2.524	2.03	2.917	1.895	2.632	2.978	2.553	2.383	2.797	2.944	2.583	1.651	2.021	2.26	2.47	2.363	2.891	2.464	2.817	2.193	2.883	2.696	2.686	4.058	2.423	3.308	2.52248
sub-042	2.554	2.333	2.42	2.011	3.047	2.605	2.515	2.527	2.214	2.147	2.864	2.013	2.594	2.686	3.005	2.29	2.653	2.416	2.648	1.618	1.905	2.393	2.729	2.515	2.985	2.298	2.615	2.164	2.765	2.62	2.317	3.549	2.497	3.209	2.46939
sub-039	2.595	2.199	2.588	1.983	3.172	2.612	2.588	2.798	2.508	2.027	2.8	2.228	2.497	2.948	2.871	2.287	2.541	2.635	2.515	1.675	2.162	2.483	2.637	2.448	2.477	2.391	2.634	2.213	2.939	2.694	2.665	3.087	2.472	3.159	2.53239
sub-037	2.555	2.492	2.598	1.798	3.335	2.697	2.442	2.62	2.425	2.012	2.871	2.016	2.53	2.933	2.518	2.572	2.669	3.059	2.561	1.493	1.96	2.487	2.639	2.454	2.647	2.412	2.861	2.254	2.923	2.604	3.064	3.385	1.989	3.024	2.49525
sub-043	2.513	2.302	2.543	1.803	3.706	2.739	2.453	2.892	2.252	2.034	2.738	2.076	2.687	3.052	2.982	2.341	2.695	2.819	2.614	1.506	1.91	2.299	2.595	2.542	2.622	2.434	2.835	2.069	2.87	2.593	2.749	3.259	2.563	3.141	2.51389
sub-045	2.555	2.414	2.586	1.736	3.059	2.797	2.445	2.746	2.232	2.236	2.919	2.117	2.661	2.854	3.112	2.415	2.739	3.019	2.527	1.592	2.111	2.32	2.688	2.476	3.183	2.487	2.817	2.168	2.737	2.5	3.114	3.813	2.549	3.189	2.55064
sub-040	2.527	2.224	2.476	1.796	3.317	2.812	2.387	2.827	2.406	2.113	2.755	2.046	2.375	2.951	2.945	2.296	2.492	2.878	2.466	1.612	2.15	2.19	2.566	2.359	2.704	2.455	2.723	2.171	2.928	2.714	2.388	3.798	2.504	2.992	2.50409
sub-046	2.569	2.341	2.82	1.84	3.778	2.839	2.617	2.748	2.412	2.156	2.964	2.04	2.407	3.103	3.11	2.529	2.694	2.787	2.695	1.625	2.257	2.531	2.795	2.559	3.053	2.472	2.928	2.199	2.915	2.788	2.81	3.73	2.36	3.263	2.61829
sub-047	2.639	2.414	2.452	1.776	3.521	2.912	2.529	2.583	2.237	2.179	2.725	2.082	2.22	2.919	2.976	2.198	2.67	2.644	2.445	1.604	2.086	2.318	2.621	2.354	2.564	2.206	2.465	2.019	2.913	2.614	2.666	3.904	2.413	3.039	2.45407
sub-049	2.522	2.446	2.409	1.889	3.008	2.732	2.449	2.628	2.34	2.063	2.824	2.068	2.393	2.715	2.419	2.326	2.708	2.931	2.661	1.654	2.156	2.433	2.731	2.436	2.729	2.388	2.775	2.155	2.989	2.715	2.842	3.898	2.424	3.314	2.52454
sub-044	2.717	2.318	2.747	1.808	3.317	2.593	2.512	2.869	2.305	2.188	2.77	2.178	2.529	2.968	2.573	2.448	2.684	2.847	2.575	1.652	2.081	2.641	2.792	2.471	2.714	2.468	2.92	2.317	2.865	2.629	2.389	3.763	2.577	3.295	2.59046
