"","Participant.Public.ID","gloomy","sad","scared","anxious","upset","stim","condition"
"1","32368",74,28,34,73,38,"Fire 10.jpg","pic"
"2","32368",63,12,58,80,29,"Prison 2.jpg","pic"
"3","32368",6,20,0,0,0,"Snow 1.jpg","pic"
"4","32368",11,41,8,0,0,"Rainbow 2.jpg","pic"
"5","32368",0,0,10,15,0,"Lake 12.jpg","pic"
"6","32368",84,57,28,33,52,"Destruction 2.jpg","pic"
"7","32368",0,0,0,0,0,"Garbage dump 1.jpg","pic"
"8","32368",39,17,9,15,0,"Dirt 1.jpg","pic"
"9","32368",0,0,0,0,0,"Rocks 1.jpg","pic"
"10","32368",28,0,0,0,0,"Fireworks 6.jpg","pic"
"11","32368",0,10,0,0,0,"Heart 3.jpg","pic"
"12","32368",0,7,21,20,0,"Ferret 1.jpg","pic"
"13","32368",0,0,0,0,0,"Clean 1.jpg","pic"
"14","32368",27,78,84,73,29,"Flood 1.jpg","pic"
"15","32368",49,34,84,80,16,"Toilet 4.jpg","pic"
"16","32368",0,16,2,9,0,"Beach 1.jpg","pic"
"17","32449",40,42,28,42,65,"Fireworks 6.jpg","pic"
"18","32449",58,30,28,23,49,"Garbage dump 1.jpg","pic"
"19","32449",4,11,30,44,9,"Dirt 1.jpg","pic"
"20","32449",2,23,1,10,6,"Lake 12.jpg","pic"
"21","32449",23,45,25,42,24,"Flood 1.jpg","pic"
"22","32449",10,27,12,13,5,"Fire 10.jpg","pic"
"23","32449",32,30,7,24,10,"Destruction 2.jpg","pic"
"24","32449",1,10,1,2,2,"Beach 1.jpg","pic"
"25","32449",3,10,23,16,16,"Heart 3.jpg","pic"
"26","32449",1,6,0,9,3,"Clean 1.jpg","pic"
"27","32449",3,6,1,28,18,"Rainbow 2.jpg","pic"
"28","32449",2,15,2,1,3,"Snow 1.jpg","pic"
"29","32449",66,49,33,49,55,"Prison 2.jpg","pic"
"30","32449",46,32,34,23,8,"Toilet 4.jpg","pic"
"31","32449",10,3,77,44,29,"Ferret 1.jpg","pic"
"32","32449",2,8,7,1,3,"Rocks 1.jpg","pic"
"33","31267",0,0,0,0,0,"Rainbow 2.jpg","pic"
"34","31267",0,0,0,0,0,"Clean 1.jpg","pic"
"35","31267",100,50,100,100,100,"Toilet 4.jpg","pic"
"36","31267",0,0,0,23,0,"Fireworks 6.jpg","pic"
"37","31267",62,82,100,100,100,"Destruction 2.jpg","pic"
"38","31267",78,50,92,100,100,"Flood 1.jpg","pic"
"39","31267",0,0,0,11,0,"Rocks 1.jpg","pic"
"40","31267",0,0,0,0,0,"Snow 1.jpg","pic"
"41","31267",0,0,0,0,0,"Beach 1.jpg","pic"
"42","31267",24,0,100,100,100,"Ferret 1.jpg","pic"
"43","31267",20,34,90,100,80,"Fire 10.jpg","pic"
"44","31267",0,0,0,0,0,"Heart 3.jpg","pic"
"45","31267",72,75,56,100,100,"Garbage dump 1.jpg","pic"
"46","31267",0,0,65,81,68,"Dirt 1.jpg","pic"
"47","31267",0,0,64,49,0,"Lake 12.jpg","pic"
"48","31267",72,36,76,88,91,"Prison 2.jpg","pic"
"49","31522",65,69,86,85,87,"Fire 10.jpg","pic"
"50","31522",11,8,7,8,7,"Clean 1.jpg","pic"
"51","31522",14,13,13,28,18,"Beach 1.jpg","pic"
"52","31522",21,19,48,88,14,"Snow 1.jpg","pic"
"53","31522",84,77,95,100,100,"Destruction 2.jpg","pic"
"54","31522",0,0,61,84,0,"Heart 3.jpg","pic"
"55","31522",0,0,0,0,0,"Garbage dump 1.jpg","pic"
"56","31522",12,11,58,85,58,"Ferret 1.jpg","pic"
"57","31522",0,0,60,79,0,"Rocks 1.jpg","pic"
"58","31522",5,5,43,86,0,"Lake 12.jpg","pic"
"59","31522",50,14,90,98,48,"Toilet 4.jpg","pic"
"60","31522",17,17,13,74,10,"Rainbow 2.jpg","pic"
"61","31522",26,21,75,60,66,"Flood 1.jpg","pic"
"62","31522",10,10,49,79,42,"Fireworks 6.jpg","pic"
"63","31522",55,13,91,92,91,"Dirt 1.jpg","pic"
"64","31522",99,69,100,100,0,"Prison 2.jpg","pic"
"65","29986",0,1,0,0,0,"Rocks 1.jpg","pic"
"66","29986",45,27,15,5,13,"Flood 1.jpg","pic"
"67","29986",0,0,0,0,1,"Snow 1.jpg","pic"
"68","29986",0,0,8,5,0,"Ferret 1.jpg","pic"
"69","29986",0,0,4,21,0,"Rainbow 2.jpg","pic"
"70","29986",73,17,8,10,13,"Toilet 4.jpg","pic"
"71","29986",1,11,0,0,0,"Fire 10.jpg","pic"
"72","29986",0,6,0,0,0,"Heart 3.jpg","pic"
"73","29986",23,38,9,10,51,"Destruction 2.jpg","pic"
"74","29986",39,50,21,10,29,"Prison 2.jpg","pic"
"75","29986",0,0,48,55,86,"Dirt 1.jpg","pic"
"76","29986",0,0,0,0,0,"Beach 1.jpg","pic"
"77","29986",28,15,0,6,18,"Garbage dump 1.jpg","pic"
"78","29986",0,0,0,0,0,"Lake 12.jpg","pic"
"79","29986",0,0,0,2,1,"Fireworks 6.jpg","pic"
"80","29986",0,0,0,0,0,"Clean 1.jpg","pic"
"81","30388",0,0,5,0,0,"Clean 1.jpg","pic"
"82","30388",0,0,0,0,0,"Ferret 1.jpg","pic"
"83","30388",0,0,0,0,0,"Rainbow 2.jpg","pic"
"84","30388",0,0,0,0,0,"Snow 1.jpg","pic"
"85","30388",0,0,0,0,0,"Rocks 1.jpg","pic"
"86","30388",0,0,0,0,0,"Fire 10.jpg","pic"
"87","30388",0,0,0,0,0,"Flood 1.jpg","pic"
"88","30388",0,9,0,0,0,"Destruction 2.jpg","pic"
"89","30388",0,0,0,0,0,"Lake 12.jpg","pic"
"90","30388",6,11,0,0,0,"Prison 2.jpg","pic"
"91","30388",0,0,0,0,0,"Garbage dump 1.jpg","pic"
"92","30388",0,0,0,0,0,"Heart 3.jpg","pic"
"93","30388",0,0,0,0,0,"Dirt 1.jpg","pic"
"94","30388",0,0,0,0,0,"Fireworks 6.jpg","pic"
"95","30388",0,0,0,0,0,"Beach 1.jpg","pic"
"96","30388",0,0,0,0,0,"Toilet 4.jpg","pic"
"97","31279",30,11,1,1,23,"Fire 10.jpg","pic"
"98","31279",0,0,0,0,0,"Lake 12.jpg","pic"
"99","31279",61,21,54,91,42,"Toilet 4.jpg","pic"
"100","31279",31,48,0,11,11,"Snow 1.jpg","pic"
"101","31279",0,0,0,0,0,"Beach 1.jpg","pic"
"102","31279",21,43,14,100,66,"Dirt 1.jpg","pic"
"103","31279",82,78,79,77,69,"Prison 2.jpg","pic"
"104","31279",70,60,5,43,62,"Garbage dump 1.jpg","pic"
"105","31279",0,0,0,0,0,"Clean 1.jpg","pic"
"106","31279",27,60,15,17,38,"Destruction 2.jpg","pic"
"107","31279",0,0,3,0,0,"Heart 3.jpg","pic"
"108","31279",0,0,42,22,0,"Fireworks 6.jpg","pic"
"109","31279",79,77,18,79,82,"Flood 1.jpg","pic"
"110","31279",0,11,0,0,0,"Rocks 1.jpg","pic"
"111","31279",0,0,0,0,0,"Rainbow 2.jpg","pic"
"112","31279",0,0,0,0,0,"Ferret 1.jpg","pic"
"113","32551",16,32,77,44,47,"Destruction 2.jpg","pic"
"114","32551",6,5,6,2,3,"Beach 1.jpg","pic"
"115","32551",14,8,3,2,5,"Heart 3.jpg","pic"
"116","32551",76,27,61,11,67,"Prison 2.jpg","pic"
"117","32551",5,1,2,5,9,"Lake 12.jpg","pic"
"118","32551",1,4,4,8,4,"Rainbow 2.jpg","pic"
"119","32551",3,3,4,5,27,"Clean 1.jpg","pic"
"120","32551",3,31,3,3,6,"Snow 1.jpg","pic"
"121","32551",6,39,5,23,59,"Dirt 1.jpg","pic"
"122","32551",36,24,58,63,52,"Toilet 4.jpg","pic"
"123","32551",30,68,21,21,75,"Garbage dump 1.jpg","pic"
"124","32551",29,67,34,46,74,"Flood 1.jpg","pic"
"125","32551",1,18,87,51,42,"Ferret 1.jpg","pic"
"126","32551",1,1,1,1,2,"Fireworks 6.jpg","pic"
"127","32551",1,1,1,2,1,"Rocks 1.jpg","pic"
"128","32551",21,30,55,46,55,"Fire 10.jpg","pic"
"129","32569",0,0,0,0,0,"Heart 3.jpg","pic"
"130","32569",0,0,0,0,13,"Ferret 1.jpg","pic"
"131","32569",0,0,0,0,0,"Dirt 1.jpg","pic"
"132","32569",0,0,0,0,0,"Beach 1.jpg","pic"
"133","32569",0,0,0,0,0,"Fireworks 6.jpg","pic"
"134","32569",0,0,0,0,0,"Rainbow 2.jpg","pic"
"135","32569",5,19,11,13,3,"Flood 1.jpg","pic"
"136","32569",0,0,0,0,0,"Toilet 4.jpg","pic"
"137","32569",0,0,0,0,0,"Lake 12.jpg","pic"
"138","32569",21,0,0,0,0,"Prison 2.jpg","pic"
"139","32569",25,0,0,0,0,"Fire 10.jpg","pic"
"140","32569",0,0,0,0,0,"Rocks 1.jpg","pic"
"141","32569",0,0,0,0,0,"Snow 1.jpg","pic"
"142","32569",36,0,0,0,0,"Garbage dump 1.jpg","pic"
"143","32569",33,19,0,0,0,"Destruction 2.jpg","pic"
"144","32569",0,0,0,0,0,"Clean 1.jpg","pic"
"145","32299",0,10,30,50,0,"Ferret 1.jpg","pic"
"146","32299",1,0,0,0,0,"Clean 1.jpg","pic"
"147","32299",15,50,20,35,70,"Garbage dump 1.jpg","pic"
"148","32299",70,0,30,0,0,"Dirt 1.jpg","pic"
"149","32299",30,0,50,60,0,"Toilet 4.jpg","pic"
"150","32299",50,80,80,80,90,"Destruction 2.jpg","pic"
"151","32299",0,0,0,0,0,"Heart 3.jpg","pic"
"152","32299",0,0,0,0,0,"Rainbow 2.jpg","pic"
"153","32299",0,0,0,0,0,"Fireworks 6.jpg","pic"
"154","32299",0,0,0,0,0,"Rocks 1.jpg","pic"
"155","32299",40,70,80,80,30,"Fire 10.jpg","pic"
"156","32299",0,0,0,0,0,"Lake 12.jpg","pic"
"157","32299",0,0,0,0,0,"Snow 1.jpg","pic"
"158","32299",0,0,0,0,0,"Beach 1.jpg","pic"
"159","32299",75,80,80,80,50,"Flood 1.jpg","pic"
"160","32299",70,0,65,80,20,"Prison 2.jpg","pic"
"161","30766",0,0,0,0,50,"Toilet 4.jpg","pic"
"162","30766",0,0,0,0,0,"Beach 1.jpg","pic"
"163","30766",0,0,0,0,0,"Lake 12.jpg","pic"
"164","30766",0,5,0,0,0,"Snow 1.jpg","pic"
"165","30766",0,0,0,0,35,"Ferret 1.jpg","pic"
"166","30766",0,0,0,0,0,"Garbage dump 1.jpg","pic"
"167","30766",0,0,0,0,100,"Dirt 1.jpg","pic"
"168","30766",5,50,0,0,5,"Flood 1.jpg","pic"
"169","30766",0,0,0,0,0,"Heart 3.jpg","pic"
"170","30766",0,0,0,0,0,"Fireworks 6.jpg","pic"
"171","30766",0,0,0,0,0,"Clean 1.jpg","pic"
"172","30766",0,0,0,0,0,"Rainbow 2.jpg","pic"
"173","30766",20,5,0,0,0,"Prison 2.jpg","pic"
"174","30766",5,100,0,0,15,"Destruction 2.jpg","pic"
"175","30766",0,15,0,0,0,"Fire 10.jpg","pic"
"176","30766",0,0,0,0,0,"Rocks 1.jpg","pic"
"177","30916",47,41,53,28,41,"Flood 1.jpg","pic"
"178","30916",15,3,13,8,2,"Heart 3.jpg","pic"
"179","30916",1,20,13,44,3,"Lake 12.jpg","pic"
"180","30916",14,17,10,21,20,"Rocks 1.jpg","pic"
"181","30916",68,77,92,69,82,"Garbage dump 1.jpg","pic"
"182","30916",44,30,12,67,19,"Beach 1.jpg","pic"
"183","30916",64,77,87,46,58,"Prison 2.jpg","pic"
"184","30916",1,7,3,2,1,"Rainbow 2.jpg","pic"
"185","30916",59,52,37,76,58,"Toilet 4.jpg","pic"
"186","30916",88,92,98,76,51,"Destruction 2.jpg","pic"
"187","30916",19,23,62,71,69,"Dirt 1.jpg","pic"
"188","30916",84,61,72,72,78,"Fire 10.jpg","pic"
"189","30916",4,15,16,35,6,"Fireworks 6.jpg","pic"
"190","30916",13,16,12,30,4,"Clean 1.jpg","pic"
"191","30916",0,0,0,0,0,"Snow 1.jpg","pic"
"192","30916",12,18,53,28,16,"Ferret 1.jpg","pic"
"193","31711",38,24,97,98,11,"Toilet 4.jpg","pic"
"194","31711",1,15,8,1,4,"Fireworks 6.jpg","pic"
"195","31711",12,34,77,75,21,"Ferret 1.jpg","pic"
"196","31711",3,6,5,17,2,"Beach 1.jpg","pic"
"197","31711",10,6,6,2,6,"Snow 1.jpg","pic"
"198","31711",5,12,12,6,12,"Clean 1.jpg","pic"
"199","31711",11,6,4,3,5,"Rocks 1.jpg","pic"
"200","31711",9,8,20,8,4,"Lake 12.jpg","pic"
"201","31711",48,46,66,57,22,"Destruction 2.jpg","pic"
"202","31711",66,76,86,76,75,"Flood 1.jpg","pic"
"203","31711",15,13,4,24,33,"Garbage dump 1.jpg","pic"
"204","31711",20,21,11,21,22,"Fire 10.jpg","pic"
"205","31711",5,11,1,6,7,"Heart 3.jpg","pic"
"206","31711",34,35,51,28,17,"Prison 2.jpg","pic"
"207","31711",2,6,6,4,1,"Rainbow 2.jpg","pic"
"208","31711",7,2,23,5,4,"Dirt 1.jpg","pic"
"209","30475",1,0,0,0,0,"Dirt 1.jpg","pic"
"210","30475",0,0,0,0,0,"Fireworks 6.jpg","pic"
"211","30475",0,0,0,0,0,"Beach 1.jpg","pic"
"212","30475",0,0,0,15,0,"Fire 10.jpg","pic"
"213","30475",0,10,0,0,5,"Garbage dump 1.jpg","pic"
"214","30475",0,0,0,0,0,"Rocks 1.jpg","pic"
"215","30475",0,0,2,0,5,"Destruction 2.jpg","pic"
"216","30475",2,0,5,5,0,"Prison 2.jpg","pic"
"217","30475",0,0,0,0,0,"Rainbow 2.jpg","pic"
"218","30475",0,0,0,0,0,"Heart 3.jpg","pic"
"219","30475",0,0,0,0,0,"Clean 1.jpg","pic"
"220","30475",15,0,5,10,5,"Flood 1.jpg","pic"
"221","30475",0,0,10,5,0,"Ferret 1.jpg","pic"
"222","30475",5,0,10,20,10,"Toilet 4.jpg","pic"
"223","30475",0,0,0,0,0,"Snow 1.jpg","pic"
"224","30475",0,0,0,0,0,"Lake 12.jpg","pic"
"225","30880",0,0,0,0,0,"Clean 1.jpg","pic"
"226","30880",34,39,22,60,28,"Destruction 2.jpg","pic"
"227","30880",0,0,0,0,0,"Snow 1.jpg","pic"
"228","30880",0,0,10,34,0,"Fireworks 6.jpg","pic"
"229","30880",0,0,0,0,0,"Heart 3.jpg","pic"
"230","30880",50,65,9,35,44,"Garbage dump 1.jpg","pic"
"231","30880",0,0,0,0,0,"Rainbow 2.jpg","pic"
"232","30880",0,0,0,0,0,"Beach 1.jpg","pic"
"233","30880",0,0,31,46,0,"Ferret 1.jpg","pic"
"234","30880",68,40,27,36,15,"Flood 1.jpg","pic"
"235","30880",12,0,17,41,14,"Fire 10.jpg","pic"
"236","30880",0,0,0,0,0,"Dirt 1.jpg","pic"
"237","30880",0,0,0,4,0,"Rocks 1.jpg","pic"
"238","30880",18,0,28,61,48,"Toilet 4.jpg","pic"
"239","30880",67,3,24,35,0,"Prison 2.jpg","pic"
"240","30880",0,0,0,0,0,"Lake 12.jpg","pic"
"241","32848",0,0,0,0,0,"Snow 1.jpg","pic"
"242","32848",24,9,27,55,55,"Dirt 1.jpg","pic"
"243","32848",0,0,0,0,0,"Rainbow 2.jpg","pic"
"244","32848",18,5,3,24,8,"Heart 3.jpg","pic"
"245","32848",34,50,30,18,49,"Prison 2.jpg","pic"
"246","32848",6,58,20,9,18,"Ferret 1.jpg","pic"
"247","32848",51,65,62,45,57,"Toilet 4.jpg","pic"
"248","32848",4,2,1,2,5,"Clean 1.jpg","pic"
"249","32848",58,64,51,66,75,"Fire 10.jpg","pic"
"250","32848",67,66,71,39,64,"Garbage dump 1.jpg","pic"
"251","32848",0,0,2,0,1,"Beach 1.jpg","pic"
"252","32848",1,17,0,47,0,"Fireworks 6.jpg","pic"
"253","32848",0,0,18,1,0,"Lake 12.jpg","pic"
"254","32848",89,78,50,40,80,"Flood 1.jpg","pic"
"255","32848",85,79,48,60,77,"Destruction 2.jpg","pic"
"256","32848",0,0,0,0,0,"Rocks 1.jpg","pic"
"257","31168",32,89,48,26,40,"Destruction 2.jpg","pic"
"258","31168",0,0,16,0,0,"Ferret 1.jpg","pic"
"259","31168",0,21,0,0,0,"Lake 12.jpg","pic"
"260","31168",0,0,0,0,0,"Dirt 1.jpg","pic"
"261","31168",30,36,54,60,39,"Toilet 4.jpg","pic"
"262","31168",48,42,14,26,61,"Garbage dump 1.jpg","pic"
"263","31168",0,0,0,0,0,"Beach 1.jpg","pic"
"264","31168",0,0,0,0,0,"Rocks 1.jpg","pic"
