"","Participant.Public.ID","happy","satisfied","excited","joyful","relaxed","stim","condition"
"1","32368","","","","","","Fire 10.jpg","pic"
"2","32368","0","0","0","0","0","Prison 2.jpg","pic"
"3","32368","","","","","","Snow 1.jpg","pic"
"4","32368","0","0","0","0","0","Rainbow 2.jpg","pic"
"5","32368","","","","","","Lake 12.jpg","pic"
"6","32368","80","28","70","42","71","Destruction 2.jpg","pic"
"7","32368","","","","","","Garbage dump 1.jpg","pic"
"8","32368","55","14","10","15","50","Dirt 1.jpg","pic"
"9","32368","","","","","","Rocks 1.jpg","pic"
"10","32368","28","39","27","30","40","Fireworks 6.jpg","pic"
"11","32368","","","","","","Heart 3.jpg","pic"
"12","32368","0","0","0","0","0","Ferret 1.jpg","pic"
"13","32368","","","","","","Clean 1.jpg","pic"
"14","32368","0","0","0","0","0","Flood 1.jpg","pic"
"15","32368","","","","","","Toilet 4.jpg","pic"
"16","32368","0","0","0","0","0","Beach 1.jpg","pic"
"17","32368","","","","","","Fireworks 6.jpg","pic"
"18","32368","72","94","91","77","100","Garbage dump 1.jpg","pic"
"19","32368","","","","","","Dirt 1.jpg","pic"
"20","32368","44","35","50","52","48","Lake 12.jpg","pic"
"21","32368","","","","","","Flood 1.jpg","pic"
"22","32368","89","64","70","66","70","Fire 10.jpg","pic"
"23","32368","","","","","","Destruction 2.jpg","pic"
"24","32368","16","0","13","0","0","Beach 1.jpg","pic"
"25","32368","","","","","","Heart 3.jpg","pic"
"26","32368","0","31","15","0","76","Clean 1.jpg","pic"
"27","32368","","","","","","Rainbow 2.jpg","pic"
"28","32368","0","0","0","0","0","Snow 1.jpg","pic"
"29","32368","","","","","","Prison 2.jpg","pic"
"30","32368","0","0","0","0","0","Toilet 4.jpg","pic"
"31","32368","","","","","","Ferret 1.jpg","pic"
"32","32368","43","25","24","26","51","Rocks 1.jpg","pic"
"33","32449","","","","","","Rainbow 2.jpg","pic"
"34","32449","5","13","25","36","12","Clean 1.jpg","pic"
"35","32449","","","","","","Toilet 4.jpg","pic"
"36","32449","6","10","15","9","6","Fireworks 6.jpg","pic"
"37","32449","","","","","","Destruction 2.jpg","pic"
"38","32449","4","56","12","8","43","Flood 1.jpg","pic"
"39","32449","","","","","","Rocks 1.jpg","pic"
"40","32449","47","64","68","55","59","Snow 1.jpg","pic"
"41","32449","","","","","","Beach 1.jpg","pic"
"42","32449","2","1","3","2","2","Ferret 1.jpg","pic"
"43","32449","","","","","","Fire 10.jpg","pic"
"44","32449","2","14","3","1","2","Heart 3.jpg","pic"
"45","32449","","","","","","Garbage dump 1.jpg","pic"
"46","32449","1","2","3","0","2","Dirt 1.jpg","pic"
"47","32449","","","","","","Lake 12.jpg","pic"
"48","32449","34","27","74","21","47","Prison 2.jpg","pic"
"49","32449","","","","","","Fire 10.jpg","pic"
"50","32449","18","33","60","31","8","Clean 1.jpg","pic"
"51","32449","","","","","","Beach 1.jpg","pic"
"52","32449","21","19","52","6","50","Snow 1.jpg","pic"
"53","32449","","","","","","Destruction 2.jpg","pic"
"54","32449","7","6","8","4","1","Heart 3.jpg","pic"
"55","32449","","","","","","Garbage dump 1.jpg","pic"
"56","32449","20","43","22","8","21","Ferret 1.jpg","pic"
"57","32449","","","","","","Rocks 1.jpg","pic"
"58","32449","0","4","0","1","3","Lake 12.jpg","pic"
"59","32449","","","","","","Toilet 4.jpg","pic"
"60","32449","7","3","0","5","0","Rainbow 2.jpg","pic"
"61","32449","","","","","","Flood 1.jpg","pic"
"62","32449","3","4","3","2","0","Fireworks 6.jpg","pic"
"63","32449","","","","","","Dirt 1.jpg","pic"
"64","32449","61","70","21","22","82","Prison 2.jpg","pic"
"65","31267","","","","","","Rocks 1.jpg","pic"
"66","31267","84","83","65","100","76","Flood 1.jpg","pic"
"67","31267","","","","","","Snow 1.jpg","pic"
"68","31267","100","73","73","58","100","Ferret 1.jpg","pic"
"69","31267","","","","","","Rainbow 2.jpg","pic"
"70","31267","0","0","0","0","0","Toilet 4.jpg","pic"
"71","31267","","","","","","Fire 10.jpg","pic"
"72","31267","60","61","100","84","0","Heart 3.jpg","pic"
"73","31267","","","","","","Destruction 2.jpg","pic"
"74","31267","0","0","0","0","3","Prison 2.jpg","pic"
"75","31267","","","","","","Dirt 1.jpg","pic"
"76","31267","0","0","0","0","0","Beach 1.jpg","pic"
"77","31267","","","","","","Garbage dump 1.jpg","pic"
"78","31267","59","46","53","50","66","Lake 12.jpg","pic"
"79","31267","","","","","","Fireworks 6.jpg","pic"
"80","31267","0","100","100","100","81","Clean 1.jpg","pic"
"81","31267","","","","","","Clean 1.jpg","pic"
"82","31267","100","96","84","100","100","Ferret 1.jpg","pic"
"83","31267","","","","","","Rainbow 2.jpg","pic"
"84","31267","0","0","0","0","0","Snow 1.jpg","pic"
"85","31267","","","","","","Rocks 1.jpg","pic"
"86","31267","0","0","0","0","0","Fire 10.jpg","pic"
"87","31267","","","","","","Flood 1.jpg","pic"
"88","31267","45","64","19","64","33","Destruction 2.jpg","pic"
"89","31267","","","","","","Lake 12.jpg","pic"
"90","31267","0","0","0","0","0","Prison 2.jpg","pic"
"91","31267","","","","","","Garbage dump 1.jpg","pic"
"92","31267","0","2","0","0","0","Heart 3.jpg","pic"
"93","31267","","","","","","Dirt 1.jpg","pic"
"94","31267","64","70","71","54","27","Fireworks 6.jpg","pic"
"95","31267","","","","","","Beach 1.jpg","pic"
"96","31267","0","0","0","0","0","Toilet 4.jpg","pic"
"97","31522","","","","","","Fire 10.jpg","pic"
"98","31522","6","8","8","4","6","Lake 12.jpg","pic"
"99","31522","","","","","","Toilet 4.jpg","pic"
"100","31522","87","76","82","79","70","Snow 1.jpg","pic"
"101","31522","","","","","","Beach 1.jpg","pic"
"102","31522","54","82","84","89","73","Dirt 1.jpg","pic"
"103","31522","","","","","","Prison 2.jpg","pic"
"104","31522","22","12","14","13","10","Garbage dump 1.jpg","pic"
"105","31522","","","","","","Clean 1.jpg","pic"
"106","31522","0","0","0","0","0","Destruction 2.jpg","pic"
"107","31522","","","","","","Heart 3.jpg","pic"
"108","31522","0","0","0","0","0","Fireworks 6.jpg","pic"
"109","31522","","","","","","Flood 1.jpg","pic"
"110","31522","0","0","0","0","0","Rocks 1.jpg","pic"
"111","31522","","","","","","Rainbow 2.jpg","pic"
"112","31522","0","0","0","0","0","Ferret 1.jpg","pic"
"113","31522","","","","","","Destruction 2.jpg","pic"
"114","31522","67","23","26","83","0","Beach 1.jpg","pic"
"115","31522","","","","","","Heart 3.jpg","pic"
"116","31522","7","41","93","76","16","Prison 2.jpg","pic"
"117","31522","","","","","","Lake 12.jpg","pic"
"118","31522","12","17","6","13","6","Rainbow 2.jpg","pic"
"119","31522","","","","","","Clean 1.jpg","pic"
"120","31522","67","23","69","67","12","Snow 1.jpg","pic"
"121","31522","","","","","","Dirt 1.jpg","pic"
"122","31522","19","7","9","9","7","Toilet 4.jpg","pic"
"123","31522","","","","","","Garbage dump 1.jpg","pic"
"124","31522","64","15","73","54","30","Flood 1.jpg","pic"
"125","31522","","","","","","Ferret 1.jpg","pic"
"126","31522","5","3","9","6","6","Fireworks 6.jpg","pic"
"127","31522","","","","","","Rocks 1.jpg","pic"
"128","31522","0","0","0","0","0","Fire 10.jpg","pic"
"129","29986","","","","","","Heart 3.jpg","pic"
"130","29986","43","48","12","17","51","Ferret 1.jpg","pic"
"131","29986","","","","","","Dirt 1.jpg","pic"
"132","29986","0","0","0","0","0","Beach 1.jpg","pic"
"133","29986","","","","","","Fireworks 6.jpg","pic"
"134","29986","14","21","0","0","72","Rainbow 2.jpg","pic"
"135","29986","","","","","","Flood 1.jpg","pic"
"136","29986","31","19","10","9","6","Toilet 4.jpg","pic"
"137","29986","","","","","","Lake 12.jpg","pic"
"138","29986","57","8","0","0","26","Prison 2.jpg","pic"
"139","29986","","","","","","Fire 10.jpg","pic"
"140","29986","0","0","0","0","0","Rocks 1.jpg","pic"
"141","29986","","","","","","Snow 1.jpg","pic"
"142","29986","12","21","6","0","57","Garbage dump 1.jpg","pic"
"143","29986","","","","","","Destruction 2.jpg","pic"
"144","29986","8","0","11","1","4","Clean 1.jpg","pic"
"145","29986","","","","","","Ferret 1.jpg","pic"
"146","29986","0","0","0","0","0","Clean 1.jpg","pic"
"147","29986","","","","","","Garbage dump 1.jpg","pic"
"148","29986","0","0","0","0","0","Dirt 1.jpg","pic"
"149","29986","","","","","","Toilet 4.jpg","pic"
"150","29986","0","0","0","0","0","Destruction 2.jpg","pic"
"151","29986","","","","","","Heart 3.jpg","pic"
"152","29986","40","36","0","15","62","Rainbow 2.jpg","pic"
"153","29986","","","","","","Fireworks 6.jpg","pic"
"154","29986","0","0","0","0","0","Rocks 1.jpg","pic"
"155","29986","","","","","","Fire 10.jpg","pic"
"156","29986","18","72","37","15","84","Lake 12.jpg","pic"
"157","29986","","","","","","Snow 1.jpg","pic"
"158","29986","26","6","23","16","0","Beach 1.jpg","pic"
"159","29986","","","","","","Flood 1.jpg","pic"
"160","29986","17","22","5","0","68","Prison 2.jpg","pic"
"161","30388","","","","","","Toilet 4.jpg","pic"
"162","30388","32","0","0","0","52","Beach 1.jpg","pic"
"163","30388","","","","","","Lake 12.jpg","pic"
"164","30388","14","0","0","0","0","Snow 1.jpg","pic"
"165","30388","","","","","","Ferret 1.jpg","pic"
"166","30388","0","84","0","0","86","Garbage dump 1.jpg","pic"
"167","30388","","","","","","Dirt 1.jpg","pic"
"168","30388","0","78","0","0","88","Flood 1.jpg","pic"
"169","30388","","","","","","Heart 3.jpg","pic"
"170","30388","0","0","0","0","0","Fireworks 6.jpg","pic"
"171","30388","","","","","","Clean 1.jpg","pic"
"172","30388","0","0","0","0","0","Rainbow 2.jpg","pic"
"173","30388","","","","","","Prison 2.jpg","pic"
"174","30388","0","0","0","0","0","Destruction 2.jpg","pic"
"175","30388","","","","","","Fire 10.jpg","pic"
"176","30388","0","0","0","0","0","Rocks 1.jpg","pic"
"177","30388","","","","","","Flood 1.jpg","pic"
"178","30388","36","100","0","0","90","Heart 3.jpg","pic"
"179","30388","","","","","","Lake 12.jpg","pic"
"180","30388","0","0","0","0","0","Rocks 1.jpg","pic"
"181","30388","","","","","","Garbage dump 1.jpg","pic"
"182","30388","0","0","0","0","0","Beach 1.jpg","pic"
"183","30388","","","","","","Prison 2.jpg","pic"
"184","30388","0","0","0","0","0","Rainbow 2.jpg","pic"
"185","30388","","","","","","Toilet 4.jpg","pic"
"186","30388","0","0","0","0","0","Destruction 2.jpg","pic"
"187","30388","","","","","","Dirt 1.jpg","pic"
"188","30388","6","8","0","0","0","Fire 10.jpg","pic"
"189","30388","","","","","","Fireworks 6.jpg","pic"
"190","30388","30","60","0","20","90","Clean 1.jpg","pic"
"191","30388","","","","","","Snow 1.jpg","pic"
"192","30388","20","0","0","0","0","Ferret 1.jpg","pic"
"193","31279","","","","","","Toilet 4.jpg","pic"
"194","31279","29","50","21","12","63","Fireworks 6.jpg","pic"
"195","31279","","","","","","Ferret 1.jpg","pic"
"196","31279","97","100","98","100","99","Beach 1.jpg","pic"
"197","31279","","","","","","Snow 1.jpg","pic"
"198","31279","0","0","0","0","0","Clean 1.jpg","pic"
"199","31279","","","","","","Rocks 1.jpg","pic"
"200","31279","71","66","31","52","52","Lake 12.jpg","pic"
"201","31279","","","","","","Destruction 2.jpg","pic"
"202","31279","100","99","100","100","100","Flood 1.jpg","pic"
"203","31279","","","","","","Garbage dump 1.jpg","pic"
"204","31279","12","0","0","0","0","Fire 10.jpg","pic"
"205","31279","","","","","","Heart 3.jpg","pic"
"206","31279","0","0","0","0","0","Prison 2.jpg","pic"
"207","31279","","","","","","Rainbow 2.jpg","pic"
"208","31279","0","0","0","0","0","Dirt 1.jpg","pic"
"209","31279","","","","","","Dirt 1.jpg","pic"
"210","31279","87","87","87","86","89","Fireworks 6.jpg","pic"
"211","31279","","","","","","Beach 1.jpg","pic"
"212","31279","12","0","0","0","3","Fire 10.jpg","pic"
"213","31279","","","","","","Garbage dump 1.jpg","pic"
"214","31279","89","83","65","89","46","Rocks 1.jpg","pic"
"215","31279","","","","","","Destruction 2.jpg","pic"
"216","31279","85","71","70","87","20","Prison 2.jpg","pic"
"217","31279","","","","","","Rainbow 2.jpg","pic"
"218","31279","0","0","0","0","0","Heart 3.jpg","pic"
"219","31279","","","","","","Clean 1.jpg","pic"
"220","31279","62","69","79","84","83","Flood 1.jpg","pic"
"221","31279","","","","","","Ferret 1.jpg","pic"
"222","31279","99","98","100","100","99","Toilet 4.jpg","pic"
"223","31279","","","","","","Snow 1.jpg","pic"
"224","31279","83","16","0","58","25","Lake 12.jpg","pic"
"225","32551","","","","","","Clean 1.jpg","pic"
"226","32551","1","2","1","1","3","Destruction 2.jpg","pic"
"227","32551","","","","","","Snow 1.jpg","pic"
"228","32551","62","22","65","69","68","Fireworks 6.jpg","pic"
"229","32551","","","","","","Heart 3.jpg","pic"
"230","32551","56","80","5","25","61","Garbage dump 1.jpg","pic"
"231","32551","","","","","","Rainbow 2.jpg","pic"
"232","32551","2","2","3","1","2","Beach 1.jpg","pic"
"233","32551","","","","","","Ferret 1.jpg","pic"
"234","32551","44","86","28","38","48","Flood 1.jpg","pic"
"235","32551","","","","","","Fire 10.jpg","pic"
"236","32551","46","32","35","53","45","Dirt 1.jpg","pic"
"237","32551","","","","","","Rocks 1.jpg","pic"
"238","32551","40","4","4","4","26","Toilet 4.jpg","pic"
"239","32551","","","","","","Prison 2.jpg","pic"
"240","32551","64","29","49","50","23","Lake 12.jpg","pic"
"241","32551","","","","","","Snow 1.jpg","pic"
"242","32551","4","7","5","7","4","Dirt 1.jpg","pic"
"243","32551","","","","","","Rainbow 2.jpg","pic"
