"","X240712CPAR.Participant.Public.ID","X240712CPAR.anger","X240712CPAR.disgusted","X240712CPAR.sad","X240712CPAR.scared","X240712CPAR.anxious","TEAM_YA_029.Participant.Public.ID","TEAM_YA_029.anger","TEAM_YA_029.disgusted","TEAM_YA_029.sad","TEAM_YA_029.scared","TEAM_YA_029.anxious","TEAM_YA_031.Participant.Public.ID","TEAM_YA_031.anger","TEAM_YA_031.disgusted","TEAM_YA_031.sad","TEAM_YA_031.scared","TEAM_YA_031.anxious"
"21","240712CPAR",0,0,48,63,46,"TEAM_YA_029",0,0,0,0,11,"TEAM_YA_031",2,6,31,8,5
"22","240712CPAR",0,0,3,48,15,"TEAM_YA_029",0,0,34,8,22,"TEAM_YA_031",8,13,16,6,27
"23","240712CPAR",1,0,0,0,0,"TEAM_YA_029",0,0,29,0,22,"TEAM_YA_031",13,11,39,14,25
"24","240712CPAR",0,0,86,11,10,"TEAM_YA_029",22,10,17,14,33,"TEAM_YA_031",12,7,25,15,10
"25","240712CPAR",0,4,0,0,15,"TEAM_YA_029",0,0,12,1,9,"TEAM_YA_031",50,9,70,19,19
"26","240712CPAR",1,1,89,10,69,"TEAM_YA_029",0,0,10,10,8,"TEAM_YA_031",38,8,17,11,37
"27","240712CPAR",3,8,77,90,81,"TEAM_YA_029",0,0,16,12,16,"TEAM_YA_031",9,2,8,21,46
"28","240712CPAR",10,4,12,81,88,"TEAM_YA_029",0,0,0,0,5,"TEAM_YA_031",11,11,39,20,43
"29","240712CPAR",0,1,0,16,19,"TEAM_YA_029",12,7,22,3,21,"TEAM_YA_031",5,6,60,8,30
"30","240712CPAR",2,9,86,7,60,"TEAM_YA_029",0,5,33,14,30,"TEAM_YA_031",13,1,10,10,14
"31","240712CPAR",9,0,92,8,51,"TEAM_YA_029",14,0,5,21,35,"TEAM_YA_031",11,14,72,8,8
"32","240712CPAR",2,3,63,1,7,"TEAM_YA_029",29,5,7,30,20,"TEAM_YA_031",16,4,40,5,9
"33","240712CPAR",2,1,54,32,21,"TEAM_YA_029",0,4,33,17,0,"TEAM_YA_031",11,4,61,9,9
"34","240712CPAR",9,7,94,4,26,"TEAM_YA_029",5,0,22,11,12,"TEAM_YA_031",19,14,77,18,18
"35","240712CPAR",7,7,54,11,10,"TEAM_YA_029",26,12,25,9,32,"TEAM_YA_031",18,8,7,9,14
"36","240712CPAR",5,3,65,18,45,"TEAM_YA_029",6,6,15,4,24,"TEAM_YA_031",5,6,15,13,6
"37","240712CPAR",1,3,1,5,13,"TEAM_YA_029",7,6,32,23,0,"TEAM_YA_031",5,8,63,8,4
"38","240712CPAR",4,4,47,36,42,"TEAM_YA_029",0,0,27,29,9,"TEAM_YA_031",12,7,33,5,10
"39","240712CPAR",5,5,29,16,36,"TEAM_YA_029",7,0,0,17,32,"TEAM_YA_031",5,4,9,5,12
"40","240712CPAR",7,12,6,27,62,"TEAM_YA_029",1,0,0,9,34,"TEAM_YA_031",11,6,9,6,11
