"","pos2_anger_1","sad2_anger_1","sad8_anger_1","sad1_anger_1","happy7_anger_1","happy10_anger_1","happy1_anger_1","pos3_anger_1","pos2_disgust_1","sad2_disgust_1","sad8_disgust_1","sad1_disgust_1","happy7_disgust_1","happy10_disgust_1","happy1_disgust_1","pos3_disgust_1","pos2_sadness_1","sad2_sadness_1","sad8_sadness_1","sad1_sadness_1","happy7_sadness_1","happy10_sadness_1","happy1_sadness_1","pos3_sadness_1","pos2_scared_1","sad2_scared_1","sad8_scared_1","sad1_scared_1","happy7_scared_1","happy10_scared_1","happy1_scared_1","pos3_scared_1","pos2_upset_1","sad2_upset_1","sad8_upset_1","sad1_upset_1","happy7_upset_1","happy10_upset_1","happy1_upset_1","pos3_upset_1"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",0,0,0,0,0,0,0,0,0,13,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,18,0,51,0,9,0,0
"3",5,1,0,25,2,29,8,0,1,1,0,36,1,0,0,0,2,26,37,21,3,14,0,2,2,29,0,23,2,19,0,0,5,13,30,40,2,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,71,42,0,0,0,0,0,0,0,19,0,0,0,0,0,96,0,43,0,0,0,0
"6",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,25,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"7",0,12,1,79,0,0,0,0,0,0,0,29,0,1,0,0,0,55,8,51,0,3,1,0,0,4,3,0,0,0,0,0,0,0,0,70,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,6,0,15,0,0,0,0,0,43,0,29,0,11,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,31,0,4,0,0
"10",0,21,33,70,100,0,5,0,0,11,56,58,0,0,58,0,0,100,83,74,0,0,0,38,0,66,0,0,0,0,0,54,0,18,5,43,0,0,0,0
"11",0,0,0,60,0,15,20,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,30,0,60,0,0,20,0
"12",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,15,31,6,0,0,0,0,0,0,0,15,0,0,0,0,0,7,0,13,0,0,0,0
"13",0,0,0,0,0,2,0,0,8,3,0,60,0,60,6,0,0,6,0,8,0,0,0,0,0,3,0,13,6,9,2,0,0,3,0,59,2,39,7,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"15",0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,5,3,10,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,42,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,72,0,0,0,0
"17",0,0,0,0,0,57,61,0,0,0,0,13,50,65,84,0,0,0,0,50,31,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,89,0
"18",3,1,7,0,7,6,5,5,5,5,7,0,0,0,4,0,0,7,10,4,0,0,4,4,6,3,6,3,5,0,4,5,0,6,4,0,4,5,0,7
