"","Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Public.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.fj4d","Manipulation..Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Context","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Image","Spreadsheet..Audio","Spreadsheet..randomise_block","Spreadsheet..gloomy_rating","Spreadsheet..upset_rating","Spreadsheet..scared_rating","Spreadsheet..sad_rating","Spreadsheet..anxious_rating","Spreadsheet..happy_rating","Spreadsheet..satisfied_rating","Spreadsheet..excited_rating","Spreadsheet..joyful_rating","Spreadsheet..relaxed_rating","Store..progress","Store..progress_practice"
"1","841",1766167446300,"19/12/2025 18:04:06",1766167446300,-8,"19/12/2025 10:04:06",169297,29,"task-6dig","repeat-xtpj#1",51535226,"546ec14dfdf99b2bc7ebd032",14784451,NA,"complete",NA,"69458cb1599a379c36f7e6e4","computer","Desktop or Laptop","Linux x86_64","Chrome 143.0.0.0","1536x864","1536x864",NA,NA,0,"rating-task",17,"Correct","Spreadsheet","",NA,"","","",NA,"info","END",NA,NA,NA,1188774,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","",NA,"","","","","","","","","","",NA,NA
"2","839",1766167330061,"19/12/2025 18:02:10",1766167330061,-8,"19/12/2025 10:02:10",169297,29,"task-6dig","repeat-xtpj#1",51534891,"559347f6fdf99b790feb6435",14784502,NA,"complete",NA,"69458d75eadd2c3e8cc1e0cb","computer","Desktop or Laptop","Windows 10","Chrome 143.0.0.0","3072x1728","3072x1603",NA,NA,0,"rating-task",17,"Correct","Spreadsheet","",NA,"","","",NA,"info","END",NA,NA,NA,1284988,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","",NA,"","","","","","","","","","",NA,NA
"3","839",1766167436369,"19/12/2025 18:03:56",1766167436369,-6,"19/12/2025 12:03:56",169297,29,"task-6dig","repeat-xtpj#1",51535384,"55bb9ae7fdf99b26d27fda01",14784587,NA,"complete",NA,"69458e85a54fb877a49c5872","computer","Desktop or Laptop","Windows 10","Chrome 143.0.0.0","2560x1080","1463x520",NA,NA,0,"rating-task",17,"Correct","Spreadsheet","",NA,"","","",NA,"info","END",NA,NA,NA,1071182,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","",NA,"","","","","","","","","","",NA,NA
"4","840",1766172939661,"19/12/2025 19:35:39",1766172939661,-5,"19/12/2025 14:35:39",169297,29,"task-6dig","repeat-xtpj#1",51539242,"564e93659b124900127eb55b",14784776,NA,"complete",NA,"69458fbb0fb0b185861abda2","computer","Desktop or Laptop","Windows 10","Chrome 143.0.0.0","1536x864","767x703",NA,NA,0,"rating-task",17,"Correct","Spreadsheet","",NA,"","","",NA,"info","END",NA,NA,NA,2017303,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","",NA,"","","","","","","","","","",NA,NA
"5","840",1766175085174,"19/12/2025 20:11:25",1766175085174,-5,"19/12/2025 15:11:25",169297,29,"task-6dig","repeat-xtpj#1",51541052,"56588a127d69570012dfe00a",14785351,NA,"complete",NA,"69459c279c4043fe5132d181","computer","Desktop or Laptop","Windows 10","Chrome 143.0.0.0","1366x768","1707x748",NA,NA,0,"rating-task",17,"Correct","Spreadsheet","",NA,"","","",NA,"info","END",NA,NA,NA,1108509,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","",NA,"","","","","","","","","","",NA,NA
"6","841",1766167508125,"19/12/2025 18:05:08",1766167508125,-8,"19/12/2025 10:05:08",169297,29,"task-6dig","repeat-xtpj#1",51535387,"56d39b96da2aaa000dab6178",14784573,NA,"complete",NA,"69458e5912e6f656a4eea698","computer","Desktop or Laptop","Windows 10","Chrome 132.0.0.0","2560x1440","2560x1305",NA,NA,0,"rating-task",17,"Correct","Spreadsheet","",NA,"","","",NA,"info","END",NA,NA,NA,1130717,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","",NA,"","","","","","","","","","",NA,NA
"7","841",1766167733316,"19/12/2025 18:08:53",1766167733316,-5,"19/12/2025 13:08:53",169297,29,"task-6dig","repeat-xtpj#1",51535315,"56e6a66af6ed900006a5867c",14784583,NA,"complete",NA,"69458eb4dc8abacc81b6cd34","computer","Desktop or Laptop","Windows 10","Edge 143.0.0.0","1366x1024","1086x713",NA,NA,0,"rating-task",17,"Correct","Spreadsheet","",NA,"","","",NA,"info","END",NA,NA,NA,1419101,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","",NA,"","","","","","","","","","",NA,NA
"8","842",1766168374418,"19/12/2025 18:19:34",1766168374418,-5,"19/12/2025 13:19:34",169297,29,"task-6dig","repeat-xtpj#1",51536060,"57656f6c2bfddf000125cce5",14784656,NA,"complete",NA,"69458da11d8e2b54e082361f","computer","Desktop or Laptop","Windows 10","Edge 143.0.0.0","1536x864","1024x576",NA,NA,0,"rating-task",17,"Correct","Spreadsheet","",NA,"","","",NA,"info","END",NA,NA,NA,1421658,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","",NA,"","","","","","","","","","",NA,NA
"9","835",1766168954150,"19/12/2025 18:29:14",1766168954150,-5,"19/12/2025 13:29:14",169297,29,"task-6dig","repeat-xtpj#1",51537188,"57dd186e6598aa0001992616",14784479,NA,"complete",NA,"69458d2be72af6a13c9eaa77","computer","Desktop or Laptop","Windows 10","Edge 143.0.0.0","2560x1440","1463x823",NA,NA,0,"rating-task",17,"Correct","Spreadsheet","",NA,"","","",NA,"info","END",NA,NA,NA,960886,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","",NA,"","","","","","","","","","",NA,NA
"10","835",1766167279842,"19/12/2025 18:01:19",1766167279842,-5,"19/12/2025 13:01:19",169297,29,"task-6dig","repeat-xtpj#1",51534893,"580cab86b869700001d71628",14784496,NA,"complete",NA,"69458d659291cbab5f921107","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 143.0.0.0","1920x1080","1920x1080",NA,NA,0,"rating-task",17,"Correct","Spreadsheet","",NA,"","","",NA,"info","END",NA,NA,NA,1235860,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","",NA,"","","","","","","","","","",NA,NA
"11","841",1766167887500,"19/12/2025 18:11:27",1766167887500,-6,"19/12/2025 12:11:27",169297,29,"task-6dig","repeat-xtpj#1",51535552,"58f90ebc3f4fef000199e2fd",14784471,NA,"complete",NA,"69458c9dc3863b45995d808e","computer","Desktop or Laptop","Windows 10","Chrome 143.0.0.0","1536x864","1229x691",NA,NA,0,"rating-task",17,"Correct","Spreadsheet","",NA,"","","",NA,"info","END",NA,NA,NA,1369259,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","",NA,"","","","","","","","","","",NA,NA
