"","Theme","quad"
"1","Beach 1","Positive Valence, High Arousal"
"2","Cat 5","Positive Valence, High Arousal"
"3","Dog 16","Positive Valence, High Arousal"
"4","Dog 18","Positive Valence, High Arousal"
"5","Dog 6","Positive Valence, High Arousal"
"6","Fireworks 2","Positive Valence, High Arousal"
"7","Fireworks 6","Positive Valence, High Arousal"
"8","Lake 12","Positive Valence, High Arousal"
"9","Rainbow 2","Positive Valence, High Arousal"
"10","Rollercoaster 1","Positive Valence, High Arousal"
"11","Rollercoaster 2","Positive Valence, High Arousal"
"12","Skydiving 1","Positive Valence, High Arousal"
"13","Tiger 1","Positive Valence, High Arousal"
"14","Acorns 1","Positive Valence, Low Arousal"
"15","Acorns 3","Positive Valence, Low Arousal"
"16","Bark 3","Positive Valence, Low Arousal"
"17","Clean 1","Positive Valence, Low Arousal"
"18","Cold 2","Positive Valence, Low Arousal"
"19","Cold 3","Positive Valence, Low Arousal"
"20","Crow 1","Positive Valence, Low Arousal"
"21","Cups 3","Positive Valence, Low Arousal"
"22","Grass 1","Positive Valence, Low Arousal"
"23","Grass 2","Positive Valence, Low Arousal"
"24","Grass 3","Positive Valence, Low Arousal"
"25","Grass 4","Positive Valence, Low Arousal"
"26","Grass 5","Positive Valence, Low Arousal"
"27","Grass 7","Positive Valence, Low Arousal"
"28","Heart 1","Positive Valence, Low Arousal"
"29","Heart 3","Positive Valence, Low Arousal"
"30","Path 1","Positive Valence, Low Arousal"
"31","Pigeon 3","Positive Valence, Low Arousal"
"32","Pinecone 1","Positive Valence, Low Arousal"
"33","Pinecone 3","Positive Valence, Low Arousal"
"34","Pumpkin 1","Positive Valence, Low Arousal"
"35","Rocks 1","Positive Valence, Low Arousal"
"36","Snow 1","Positive Valence, Low Arousal"
"37","Solar panel 1","Positive Valence, Low Arousal"
"38","Statue 1","Positive Valence, Low Arousal"
"39","Street 4","Positive Valence, Low Arousal"
"40","Wedding 12","Positive Valence, Low Arousal"
