"","Theme","quad"
"1","Destruction 2","Low Arousal, Low Valence"
"2","Feces 1","Low Arousal, Low Valence"
"3","Fence 4","Low Arousal, Low Valence"
"4","Garbage dump 1","Low Arousal, Low Valence"
"5","Garbage dump 5","Low Arousal, Low Valence"
"6","Garbage dump 7","Low Arousal, Low Valence"
"7","Garbage dump 8","Low Arousal, Low Valence"
"8","Jail 5","Low Arousal, Low Valence"
"9","Prison 2","Low Arousal, Low Valence"
"10","Sidewalk 6","Low Arousal, Low Valence"
"11","Toilet 4","Low Arousal, Low Valence"
"12","Torture chamber 1","Low Arousal, Low Valence"
"13","Windmill 1","Low Arousal, Low Valence"
"14","Yarn 1","Low Arousal, Low Valence"
"15","Acorns 1","Low Arousal, High Valence"
"16","Acorns 2","Low Arousal, High Valence"
"17","Acorns 3","Low Arousal, High Valence"
"18","Alcohol 1","Low Arousal, High Valence"
"19","Alcohol 2","Low Arousal, High Valence"
"20","Alcohol 3","Low Arousal, High Valence"
"21","Alcohol 4","Low Arousal, High Valence"
"22","Alcohol 6","Low Arousal, High Valence"
"23","Alcohol 7","Low Arousal, High Valence"
"24","Bar 3","Low Arousal, High Valence"
"25","Bark 1","Low Arousal, High Valence"
"26","Bark 2","Low Arousal, High Valence"
"27","Bark 3","Low Arousal, High Valence"
"28","Bark 4","Low Arousal, High Valence"
"29","Bark 5","Low Arousal, High Valence"
"30","Bark 6","Low Arousal, High Valence"
"31","Barrels 1","Low Arousal, High Valence"
"32","Bear 1","Low Arousal, High Valence"
"33","Bed 1","Low Arousal, High Valence"
"34","Billiards 1","Low Arousal, High Valence"
"35","Bird 1","Low Arousal, High Valence"
"36","Boat 1","Low Arousal, High Valence"
"37","Bottle 1","Low Arousal, High Valence"
"38","Bricks 1","Low Arousal, High Valence"
"39","Bubble 1","Low Arousal, High Valence"
"40","Bubble 2","Low Arousal, High Valence"
"41","Building 1","Low Arousal, High Valence"
"42","Building 2","Low Arousal, High Valence"
"43","Candle 1","Low Arousal, High Valence"
"44","Car 2","Low Arousal, High Valence"
"45","Car race 1","Low Arousal, High Valence"
"46","Cardboard 1","Low Arousal, High Valence"
"47","Cardboard 2","Low Arousal, High Valence"
"48","Cardboard 3","Low Arousal, High Valence"
"49","Chipmunk 1","Low Arousal, High Valence"
"50","City 1","Low Arousal, High Valence"
"51","Clean 1","Low Arousal, High Valence"
"52","Cold 2","Low Arousal, High Valence"
"53","Cold 3","Low Arousal, High Valence"
"54","Cold 4","Low Arousal, High Valence"
"55","Cold 5","Low Arousal, High Valence"
"56","Cotton swabs 1","Low Arousal, High Valence"
"57","Cotton swabs 2","Low Arousal, High Valence"
"58","Cotton swabs 3","Low Arousal, High Valence"
"59","Crosswalk 1 ","Low Arousal, High Valence"
