,SectionID,original song,file name,start time,end time,,
"Negative Valence, Negative Arousal",Section 1,stimuli/11_pieceA_calm_anxious_sad,11_pieceA_calm_anxious_sad_1,65.5,73.5,,*piece 12 is only 110 to 117.5*
65.5 to 87.5 for 11 (2 clips),Section 2,stimuli/11_pieceA_calm_anxious_sad,11_pieceA_calm_anxious_sad_2,75.0,83.0,,More negative arousal than above
,Section 3,stimuli/5_pieceB_calm_sad_anxious,5_pieceB_calm_sad_anxious_1,3.0,11.0,,
0.5 to 12.0 of 5 (1 clip) and 27.5 to 120.0 (11 clips),Section 4,stimuli/5_pieceB_calm_sad_anxious,5_pieceB_calm_sad_anxious_2,28.0,36.0,Bit of dead time,
,Section 5,stimuli/5_pieceB_calm_sad_anxious,5_pieceB_calm_sad_anxious_3,38.0,46.0,Same melody as above,"More negative valence than above, but less negative arousal"
,Section 6,stimuli/5_pieceB_calm_sad_anxious,5_pieceB_calm_sad_anxious_4,48.0,56.0,Same melody as above ,"More negative valence than both above, but less negative arousal"
,Section 7,stimuli/5_pieceB_calm_sad_anxious,5_pieceB_calm_sad_anxious_5,68.0,76.0,"Same melody as above, prefer these above all three","More negative valence than all three above, but less negative arousal"
,Section 8,stimuli/5_pieceB_calm_sad_anxious,5_pieceB_calm_sad_anxious_6,103.0,111.0,,"How is this low arousal… weird transition section, not a fan"
NEW HERE,Section 9,stimuli/5_pieceB_calm_sad_anxious,5_pieceB_calm_sax_anxious_9,85.0,93.0,,
,Section 10,stimuli/5_pieceB_calm_sad_anxious,5_pieceB_calm_sax_anxious_10,94.0,102.0,,"Theme from 103-111 section returns here, weird transition"
,Section 11,stimuli/5_pieceB_calm_sad_anxious,5_pieceB_calm_sax_anxious_11,112.0,120.0,,Also does not feel like low arousal
,Section 12,stimuli/6_pieceB_anxious_calm_joyous,6_pieceB_anxious_calm_joyous_8,1.0,9.0,,Oh these all sound the same
,Section 13,stimuli/6_pieceB_anxious_calm_joyous,6_pieceB_anxious_calm_joyous_9,9.5,17.5,,
,,,,,,,
,,,,,,,
,,,,,,,
"Negative Valence, Positive Arousal",Section 1,stimuli/11_pieceA_calm_anxious_sad,11_pieceA_calm_anxious_sad_3,11.0,19.0,,Sounds similar to 19-27 section
0.5 to 50 (6 clips) of 11 and 88 to 120 (4 clips),Section 2,stimuli/11_pieceA_calm_anxious_sad,11_pieceA_calm_anxious_sad_4,32.0,40.0,,Good
,Section 3,stimuli/11_pieceA_calm_anxious_sad,11_pieceA_calm_anxious_sad_5,104.0,112.0,#changed by 1 sec,Feels calm
,Section 4,stimuli/3_pieceB_joyous_anxious_sad,3_pieceB_joyous_anxious_sad_2,97.0,105.0,,
,Section 5,stimuli/3_pieceB_joyous_anxious_sad,3_pieceB_joyous_anxious_sad_1,110.0,118.0,,
20 to 31.5 of 6 (1 clip),Section 6,stimuli/6_pieceB_anxious_calm_joyous,,21.0,29.0,,See this is the same as 6_8 and 6_9 why is it a different section
57 to 73.5 (2 clips) of 7 and 91 to 113 (2 clips),Section 7,stimuli/7_pieceB_joyous_anxious_sad,7_pieceB_joyous_anxious_sad_1,97.0,105.0,,Feels calm
,Section 8,stimuli/7_pieceB_joyous_anxious_sad,7_pieceB_joyous_anxious_sad_2,110.0,118.0,,
NEW HERE,Section 9,stimuli/11_pieceA_calm_anxious_sad,11_pieceA_calm_anxious_sad_6,19.0,27.0,,Sounds similar to 11-19 section
,Section 10,stimuli/11_pieceA_calm_anxious_sad,11_pieceA_calm_anxious_sad_7,41.0,49.0,,Sounds similar to 32-40 section
,Section 11,stimuli/11_pieceA_calm_anxious_sad,11_pieceA_calm_anxious_sad_8,95.0,103.0,,
,Section 12,stimuli/11_pieceA_calm_anxious_sad,11_pieceA_calm_anxious_sad_9,112.0,120.0,,Sounds similar to 104-112 section
,Section 13,stimuli/7_pieceB_joyous_anxious_sad,7_pieceB_joyous_anxious_sad_9,57.5,65.5,,
,Section 14,stimuli/7_pieceB_joyous_anxious_sad,7_pieceB_joyous_anxious_sad_10,65.5,73.5,Similar to above,
,,,,,,,
,,,,,,,
,,,,,,,
"Positive Valence, Positive Arousal",Section 1,stimuli/3_pieceB_joyous_anxious_sad,3_pieceB_joyous_anxious_sad_3,1.0,9.0,,
17 clips,Section 2,stimuli/3_pieceB_joyous_anxious_sad,3_pieceB_joyous_anxious_sad_4,10.0,18.0,Similar to above,
,Section 3,stimuli/3_pieceB_joyous_anxious_sad,3_pieceB_joyous_anxious_sad_5,19.0,27.0,"Similar to above, my preferred one",
,Section 4,stimuli/3_pieceB_joyous_anxious_sad,3_pieceB_joyous_anxious_sad_6,42.0,50.0,"Feels more scary than positive, also annoying tremolo",
